start_id,end_id,start_date,end_date
35,41,1997-05-04,1997-05-04
67,68,1997-05-18,1997-05-18
80,82,1997-05-30,1997-05-31
89,0,1997-06-14,1998-04-22
43,44,1998-05-05,1998-05-05
61,69,1998-05-14,1998-05-16
74,74,1998-05-23,1998-05-23
77,77,1998-05-26,1998-05-26
79,79,1998-05-28,1998-05-28
81,81,1998-05-30,1998-05-30
89,0,1998-06-15,1999-05-07
9,12,1999-05-10,1999-05-10
56,57,1999-05-24,1999-05-24
59,68,1999-05-26,1999-05-29
80,82,1999-06-07,1999-06-15
88,0,1999-06-26,2000-04-21
67,68,2000-05-17,2000-05-19
82,82,2000-06-03,2000-06-06
89,0,2000-06-20,2001-04-20
83,83,2001-06-04,2001-06-07
86,86,2001-06-11,2001-06-14
88,100,2001-06-16,2002-04-19
174,200,2002-04-29,2002-05-04
236,300,2002-05-15,2002-05-18
315,315,2002-05-27,2002-05-30
318,400,2002-06-03,2002-06-04
405,100,2002-06-13,2003-04-19
177,200,2003-05-02,2003-05-05
236,236,2003-05-14,2003-05-16
315,315,2003-05-26,2003-05-28
317,400,2003-05-30,2003-06-03
407,100,2003-06-16,2004-04-16
176,200,2004-04-30,2004-05-05
205,205,2004-05-13,2004-05-17
213,213,2004-05-08,2004-05-10
233,233,2004-05-06,2004-05-10
235,300,2004-05-12,2004-05-21
317,400,2004-06-01,2004-06-05
406,100,2004-06-16,2005-04-23
236,300,2005-05-18,2005-05-22
316,400,2005-06-02,2005-06-08
408,999,2005-06-24,2005-06-26
1002,100,2005-06-29,2006-04-22
175,200,2006-05-02,2006-05-06
205,205,2006-05-16,2006-05-18
212,212,2006-05-09,2006-05-11
225,225,2006-05-16,2006-05-18
232,232,2006-05-09,2006-05-11
313,313,2006-05-27,2006-05-29
317,400,2006-06-04,2006-06-07
407,100,2006-06-21,2007-04-20
122,122,2007-04-22,2007-04-26
125,125,2007-04-30,2007-05-03
132,132,2007-04-22,2007-04-26
145,145,2007-04-30,2007-05-02
152,152,2007-04-23,2007-04-25
237,300,2007-05-19,2007-05-20
316,400,2007-05-31,2007-06-06
405,100,2007-06-15,2008-04-19
177,200,2008-05-03,2008-05-05
224,224,2008-05-10,2008-05-13
234,234,2008-05-09,2008-05-12
316,400,2008-05-30,2008-06-04
407,100,2008-06-18,2009-04-17
177,200,2009-05-01,2009-05-04
236,300,2009-05-14,2009-05-19
317,400,2009-05-30,2009-06-03
406,101,2009-06-15,2010-04-18
235,300,2010-05-11,2010-05-15
317,400,2010-05-30,2010-06-02
408,101,2010-06-18,2011-04-17
122,122,2011-04-18,2011-04-21
176,200,2011-04-28,2011-05-01
204,204,2011-05-07,2011-05-09
213,213,2011-05-04,2011-05-08
223,223,2011-05-04,2011-05-08
234,301,2011-05-07,2011-05-17
316,400,2011-05-26,2011-05-30
407,100,2011-06-13,2012-04-27
204,204,2012-05-18,2012-05-21
236,300,2012-05-22,2012-05-27
317,400,2012-06-07,2012-06-11
406,100,2012-06-22,2013-04-20
102,102,2013-04-22,2013-04-24
112,112,2013-04-21,2013-04-25
162,162,2013-04-21,2013-04-25
177,200,2013-05-04,2013-05-05
202,202,2013-05-07,2013-05-09
232,232,2013-05-07,2013-05-09
237,300,2013-05-17,2013-05-21
315,400,2013-05-28,2013-06-05
408,100,2013-06-21,2014-04-18
177,200,2014-05-03,2014-05-04
214,214,2014-05-11,2014-05-13
224,224,2014-05-11,2014-05-13
237,301,2014-05-16,2014-05-19
317,400,2014-06-01,2014-06-04
403,403,2014-06-09,2014-06-11
406,100,2014-06-16,2015-04-18
176,200,2015-04-30,2015-05-02
238,300,2015-05-18,2015-05-19
314,314,2015-05-24,2015-05-26
316,400,2015-05-28,2015-06-03
407,100,2015-06-17,2016-04-16
177,200,2016-04-30,2016-05-01
237,300,2016-05-13,2016-05-16
318,401,2016-05-31,2016-06-04
408,100,2016-06-20,2017-04-15
213,213,2017-05-04,2017-05-06
233,233,2017-05-04,2017-05-06
237,300,2017-05-12,2017-05-16
315,400,2017-05-23,2017-05-31
406,100,2017-06-13,2018-04-13
177,200,2018-04-28,2018-04-30
202,202,2018-05-02,2018-05-04
212,212,2018-05-01,2018-05-04
236,300,2018-05-09,2018-05-12
318,400,2018-05-29,2018-05-30
405,100,2018-06-09,2019-04-13
176,200,2019-04-25,2019-04-27
204,204,2019-05-04,2019-05-07
214,214,2019-05-03,2019-05-06
224,224,2019-05-05,2019-05-07
234,234,2019-05-04,2019-05-06
238,300,2019-05-13,2019-05-14
315,400,2019-05-21,2019-05-29
407,100,2019-06-14,2020-08-17
316,400,2020-09-27,2020-09-29
407,100,2020-10-12,2021-05-22
215,215,2021-06-14,2021-06-16
235,300,2021-06-14,2021-06-22
317,400,2021-07-01,2021-07-05
407,100,2021-07-21,2022-04-16
145,145,2022-04-25,2022-04-27
155,155,2022-04-24,2022-04-28
177,200,2022-04-29,2022-05-01
212,212,2022-05-02,2022-05-06
232,232,2022-05-02,2022-05-06
237,300,2022-05-14,2022-05-16
316,400,2022-05-27,2022-06-01
407,100,2022-06-17,2023-04-15
176,200,2023-04-26,2023-04-29
237,300,2023-05-13,2023-05-16
315,400,2023-05-23,2023-05-31
406,100,2023-06-13,2024-04-20
177,200,2024-05-04,2024-05-06
238,300,2024-05-20,2024-05-20
316,400,2024-05-31,2024-06-05
