game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0944,4,08:45,LAC,,MIN,,B. Boston Jr.,LAC,Boston Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0944,4,08:41,LAC,,MIN,,B. Boston Jr.,LAC,MISS Boston Jr. 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-17,109,11,1,2.0,0.0,h
S2324-G0944,4,07:18,LAC,,MIN,,B. Boston Jr.,LAC,SUB: Powell FOR Boston Jr.,Substitution,,0,0,0,0,,,h
S2324-G0944,4,03:35,LAC,96.0,MIN,114.0,B. Boston Jr.,LAC,Boston Jr. 3' Running Layup (2 PTS) (Plumlee 1 AST),Made Shot,Running Layup Shot,26,8,3,1,2.0,2.0,h
S2324-G0944,4,03:16,LAC,,MIN,,B. Boston Jr.,LAC,Boston Jr. S.FOUL (P1.T3) (K.Scott),Foul,Shooting,0,0,0,0,,,h
S2324-G0944,4,02:56,LAC,,MIN,,B. Boston Jr.,LAC,MISS Boston Jr. 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,135,232,27,1,3.0,0.0,h
S2324-G0944,4,02:12,LAC,,MIN,,B. Boston Jr.,LAC,MISS Boston Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0944,4,02:12,LAC,,MIN,,B. Boston Jr.,LAC,MISS Boston Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0944,4,00:32.300000,LAC,,MIN,,B. Boston Jr.,LAC,Boston Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0379,1,03:20,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-153,209,26,1,3.0,0.0,v
S2324-G0379,1,02:09,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 5' Running Layup,Missed Shot,Running Layup Shot,-53,3,5,1,2.0,0.0,v
S2324-G0379,1,01:19,OKC,,LAC,,B. Boston Jr.,LAC,Boston Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0379,1,00:42.200000,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,17,3,2,1,2.0,0.0,v
S2324-G0379,1,00:41.200000,OKC,,LAC,,B. Boston Jr.,LAC,Boston Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0379,1,00:41,OKC,32.0,LAC,27.0,B. Boston Jr.,LAC,Boston Jr. 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,5,5,1,1,2.0,2.0,v
S2324-G0379,2,11:22,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,31,255,26,1,3.0,0.0,v
S2324-G0379,2,09:53,OKC,,LAC,,B. Boston Jr.,LAC,SUB: Zubac FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2324-G0379,4,09:14,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-199,160,26,1,3.0,0.0,v
S2324-G0379,4,09:07,OKC,115.0,LAC,98.0,B. Boston Jr.,LAC,Boston Jr. 24' 3PT Jump Shot (5 PTS) (Hyland 1 AST),Made Shot,Jump Shot,-227,76,24,1,3.0,3.0,v
S2324-G0379,4,06:24,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,23,142,14,1,2.0,0.0,v
S2324-G0379,4,03:19,OKC,,LAC,,B. Boston Jr.,LAC,MISS Boston Jr. 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,136,225,26,1,3.0,0.0,v
S2324-G0379,4,02:09,OKC,,LAC,,B. Boston Jr.,LAC,Boston Jr. P.FOUL (P1.T2) (M.Smith),Foul,Personal,0,0,0,0,,,v
S2324-G0379,4,01:19,OKC,132.0,LAC,115.0,B. Boston Jr.,LAC,Boston Jr. 11' Pullup Jump Shot (7 PTS) (Hyland 2 AST),Made Shot,Pullup Jump shot,-20,104,11,1,2.0,2.0,v
S2324-G0343,4,03:42,LAC,,NYK,,B. Boston Jr.,LAC,Boston Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0343,4,03:34,LAC,138.0,NYK,109.0,B. Boston Jr.,LAC,Boston Jr. 27' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,-37,268,27,1,3.0,3.0,h
S2324-G0343,4,03:21,LAC,,NYK,,B. Boston Jr.,LAC,Boston Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
