game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0071,1,05:32,MEM,17.0,NOP,16.0,D. Daniels,NOP,Daniels 4' Driving Finger Roll Layup (2 PTS) (Jones 1 AST),Made Shot,Driving Finger Roll Layup Shot,25,29,4,1,2.0,2.0,v
S2324-G0071,1,01:45,MEM,,NOP,,D. Daniels,NOP,Daniels S.FOUL (P1.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,v
S2324-G0071,1,01:09,MEM,,NOP,,D. Daniels,NOP,Daniels STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0071,1,00:57.200000,MEM,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0071,1,00:34,MEM,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0071,2,11:19,MEM,,NOP,,D. Daniels,NOP,Daniels BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0071,2,10:48,MEM,,NOP,,D. Daniels,NOP,Daniels OFF.Foul (P2) (C.Kirkland),Foul,Offensive,0,0,0,0,,,v
S2324-G0071,2,10:48,MEM,,NOP,,D. Daniels,NOP,Daniels Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0071,2,10:06,MEM,,NOP,,D. Daniels,NOP,Daniels STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0071,2,10:00,MEM,,NOP,,D. Daniels,NOP,MISS Daniels 1' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,10,10,1,1,2.0,0.0,v
S2324-G0071,2,09:55,MEM,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0071,2,09:55,MEM,,NOP,,D. Daniels,NOP,MISS Daniels Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G0071,2,09:54,MEM,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0071,2,09:54,MEM,33.0,NOP,30.0,D. Daniels,NOP,Daniels Putback Layup (4 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0071,2,09:23,MEM,33.0,NOP,32.0,D. Daniels,NOP,Daniels 9' Driving Floating Jump Shot (6 PTS) (McCollum 2 AST),Made Shot,Driving Floating Jump Shot,31,88,9,1,2.0,2.0,v
S2324-G0071,2,08:25,MEM,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0071,2,07:32,MEM,,NOP,,D. Daniels,NOP,Daniels P.FOUL (P3.T2) (C.Kirkland),Foul,Personal,0,0,0,0,,,v
S2324-G0071,2,07:32,MEM,,NOP,,D. Daniels,NOP,SUB: Jones FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G0071,3,02:30,MEM,,NOP,,D. Daniels,NOP,Daniels P.FOUL (P4.T1) (R.Mott),Foul,Personal,0,0,0,0,,,v
S2324-G0071,3,01:30,MEM,,NOP,,D. Daniels,NOP,SUB: Ryan FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G0071,4,06:30,MEM,,NOP,,D. Daniels,NOP,Daniels Traveling Turnover (P2.T20),Turnover,Traveling,0,0,0,0,,,v
S2324-G0071,4,04:45,MEM,,NOP,,D. Daniels,NOP,SUB: McCollum FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G0071,4,00:24.300000,MEM,,NOP,,D. Daniels,NOP,MISS Daniels 25' 3PT Jump Shot,Missed Shot,Jump Shot,-143,211,25,1,3.0,0.0,v
S2324-G1230,1,00:02.900000,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,1,00:00.300000,LAL,,NOP,,D. Daniels,NOP,MISS Daniels 50' 3PT Jump Shot,Missed Shot,Jump Shot,93,488,50,1,3.0,0.0,v
S2324-G1230,2,07:06,LAL,,NOP,,D. Daniels,NOP,Daniels S.FOUL (P1.T2) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2324-G1230,2,03:58,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,2,03:18,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,2,03:08,LAL,,NOP,,D. Daniels,NOP,SUB: Williamson FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G1230,4,10:11,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,4,10:06,LAL,114.0,NOP,75.0,D. Daniels,NOP,Daniels 1' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,10,2,1,1,2.0,2.0,v
S2324-G1230,4,08:28,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,4,07:10,LAL,,NOP,,D. Daniels,NOP,MISS Daniels 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-31,83,9,1,2.0,0.0,v
S2324-G1230,4,07:06,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,4,06:14,LAL,,NOP,,D. Daniels,NOP,MISS Daniels 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,12,92,9,1,2.0,0.0,v
S2324-G1230,4,05:53,LAL,122.0,NOP,82.0,D. Daniels,NOP,Daniels Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G1230,4,05:53,LAL,122.0,NOP,83.0,D. Daniels,NOP,Daniels Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1230,4,05:36,LAL,,NOP,,D. Daniels,NOP,Daniels BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1230,4,05:31,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,4,01:37,LAL,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2324-G1230,4,00:24.100000,LAL,,NOP,,D. Daniels,NOP,MISS Daniels 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,154,236,28,1,3.0,0.0,v
S2324-G0525,1,04:06,GSW,18.0,NOP,29.0,D. Daniels,NOP,Daniels Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0525,1,04:06,GSW,,NOP,,D. Daniels,NOP,MISS Daniels Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0525,1,01:05,GSW,25.0,NOP,41.0,D. Daniels,NOP,Daniels 26' 3PT Jump Shot (4 PTS) (Murphy III 2 AST),Made Shot,Jump Shot,-147,217,26,1,3.0,3.0,v
S2324-G0525,1,00:20,GSW,,NOP,,D. Daniels,NOP,SUB: McCollum FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G0525,2,04:21,GSW,47.0,NOP,67.0,D. Daniels,NOP,Daniels 7' Driving Floating Jump Shot (6 PTS) (Williamson 4 AST),Made Shot,Driving Floating Jump Shot,-10,73,7,1,2.0,2.0,v
S2324-G0525,2,03:50,GSW,,NOP,,D. Daniels,NOP,Daniels Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0525,2,03:34,GSW,,NOP,,D. Daniels,NOP,Daniels P.FOUL (P1.PN) (B.Taylor),Foul,Personal,0,0,0,0,,,v
S2324-G0525,2,02:36,GSW,,NOP,,D. Daniels,NOP,SUB: McCollum FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G0525,3,03:18,GSW,,NOP,,D. Daniels,NOP,MISS Daniels 3PT Jump Shot,Missed Shot,Jump Shot,233,19,0,1,3.0,0.0,v
S2324-G0525,3,01:32,GSW,,NOP,,D. Daniels,NOP,Daniels P.FOUL (P2.T4) (S.Twardoski),Foul,Personal,0,0,0,0,,,v
S2324-G0525,4,09:16,GSW,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0525,4,08:41,GSW,,NOP,,D. Daniels,NOP,Daniels STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0525,4,07:55,GSW,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0525,4,07:11,GSW,,NOP,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0525,4,06:58,GSW,88.0,NOP,125.0,D. Daniels,NOP,Daniels 7' Turnaround Jump Shot (8 PTS) (Marshall 1 AST),Made Shot,Turnaround Jump Shot,10,68,7,1,2.0,2.0,v
S2324-G0525,4,02:43,GSW,,NOP,,D. Daniels,NOP,SUB: Liddell FOR Daniels,Substitution,,0,0,0,0,,,v
S2324-G1123,1,11:37,NOP,,SAS,,D. Daniels,NOP,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
