game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0277,4,04:07,DAL,,MEM,,D. Dennis,DAL,MISS Dennis 12' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,100,62,12,1,2.0,0.0,h
S2324-G0277,4,02:41,DAL,90.0,MEM,108.0,D. Dennis,DAL,Dennis 2' Running Layup (2 PTS) (Hardy 5 AST),Made Shot,Running Layup Shot,16,1,2,1,2.0,2.0,h
S2324-G0277,4,01:04,DAL,94.0,MEM,108.0,D. Dennis,DAL,Dennis 2' Driving Reverse Layup (4 PTS),Made Shot,Driving Reverse Layup Shot,-6,23,2,1,2.0,2.0,h
S2324-G0277,4,01:04,DAL,,MEM,,D. Dennis,DAL,MISS Dennis Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0277,4,00:36.300000,DAL,,MEM,,D. Dennis,DAL,MISS Dennis 25' 3PT Jump Shot,Missed Shot,Jump Shot,214,126,25,1,3.0,0.0,h
S2324-G0385,3,04:18,HOU,85.0,DAL,50.0,D. Dennis,DAL,Dennis 25' 3PT Jump Shot (3 PTS) (Williams 2 AST),Made Shot,Jump Shot,170,184,25,1,3.0,3.0,v
S2324-G0385,3,03:47,HOU,,DAL,,D. Dennis,DAL,MISS Dennis 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,202,128,24,1,3.0,0.0,v
S2324-G0385,3,02:14,HOU,88.0,DAL,52.0,D. Dennis,DAL,Dennis 5' Driving Reverse Layup (5 PTS),Made Shot,Driving Reverse Layup Shot,-31,34,5,1,2.0,2.0,v
S2324-G0385,3,02:14,HOU,,DAL,,D. Dennis,DAL,MISS Dennis Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2324-G0385,3,00:32.100000,HOU,,DAL,,D. Dennis,DAL,Dennis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0385,4,10:01,HOU,,DAL,,D. Dennis,DAL,MISS Dennis 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,33,163,17,1,2.0,0.0,v
S2324-G0385,4,08:55,HOU,98.0,DAL,66.0,D. Dennis,DAL,Dennis 1' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,13,-6,1,1,2.0,2.0,v
S2324-G0385,4,08:55,HOU,98.0,DAL,67.0,D. Dennis,DAL,Dennis Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0385,4,08:39,HOU,,DAL,,D. Dennis,DAL,Dennis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0385,4,08:21,HOU,,DAL,,D. Dennis,DAL,Dennis REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0385,4,07:43,HOU,100.0,DAL,70.0,D. Dennis,DAL,Dennis 1' Reverse Layup (10 PTS),Made Shot,Reverse Layup Shot,-6,-6,1,1,2.0,2.0,v
S2324-G0385,4,07:27,HOU,,DAL,,D. Dennis,DAL,Dennis REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
