game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0358,1,02:56,SAC,,WAS,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0358,1,00:00,SAC,,WAS,,K. Ellis,SAC,MISS Ellis 38' 3PT Floating Jump Shot,Missed Shot,Floating Jump shot,-17,378,38,1,3.0,0.0,h
S2324-G0358,2,11:03,SAC,,WAS,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0358,2,10:58,SAC,,WAS,,K. Ellis,SAC,MISS Ellis 25' 3PT Jump Shot,Missed Shot,Jump Shot,-6,254,25,1,3.0,0.0,h
S2324-G0358,2,09:08,SAC,,WAS,,K. Ellis,SAC,MISS Ellis 26' 3PT Jump Shot,Missed Shot,Jump Shot,-186,176,26,1,3.0,0.0,h
S2324-G0358,2,08:24,SAC,,WAS,,K. Ellis,SAC,MISS Ellis 24' 3PT Jump Shot,Missed Shot,Jump Shot,233,52,24,1,3.0,0.0,h
S2324-G0358,2,08:11,SAC,,WAS,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0358,2,07:54,SAC,,WAS,,K. Ellis,SAC,Ellis S.FOUL (P1.T1) (S.Corbin),Foul,Shooting,0,0,0,0,,,h
S2324-G0358,2,06:00,SAC,,WAS,,K. Ellis,SAC,Ellis BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0358,2,05:34,SAC,,WAS,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0358,3,04:15,SAC,,WAS,,K. Ellis,SAC,Ellis S.FOUL (P2.PN) (E.Scott),Foul,Shooting,0,0,0,0,,,h
S2324-G0358,3,02:46,SAC,,WAS,,K. Ellis,SAC,Ellis S.FOUL (P3.PN) (S.Corbin),Foul,Shooting,0,0,0,0,,,h
S2324-G0358,3,02:14,SAC,,WAS,,K. Ellis,SAC,Ellis S.FOUL (P4.PN) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2324-G0358,3,01:54,SAC,107.0,WAS,82.0,K. Ellis,SAC,Ellis 26' 3PT Jump Shot (3 PTS) (Sabonis 7 AST),Made Shot,Jump Shot,0,261,26,1,3.0,3.0,h
S2324-G0358,3,01:29,SAC,,WAS,,K. Ellis,SAC,SUB: Vezenkov FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0358,4,05:16,SAC,,WAS,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0303,1,03:26,SAC,,BKN,,K. Ellis,SAC,MISS Ellis 26' 3PT Jump Shot,Missed Shot,Jump Shot,167,201,26,1,3.0,0.0,h
S2324-G0303,1,02:50,SAC,,BKN,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0303,2,07:23,SAC,,BKN,,K. Ellis,SAC,Ellis S.FOUL (P1.T2) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,h
S2324-G0303,2,04:51,SAC,,BKN,,K. Ellis,SAC,SUB: Monk FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0303,3,04:06,SAC,,BKN,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0303,3,02:30,SAC,92.0,BKN,78.0,K. Ellis,SAC,Ellis 25' 3PT Jump Shot (3 PTS) (Monk 8 AST),Made Shot,Jump Shot,-97,229,25,1,3.0,3.0,h
S2324-G0303,3,00:31.100000,SAC,,BKN,,K. Ellis,SAC,MISS Ellis 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-89,234,25,1,3.0,0.0,h
S2324-G0303,3,00:00.800000,SAC,,BKN,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0303,4,07:47,SAC,,BKN,,K. Ellis,SAC,MISS Ellis 25' 3PT Jump Shot,Missed Shot,Jump Shot,-137,208,25,1,3.0,0.0,h
S2324-G0303,4,07:18,SAC,,BKN,,K. Ellis,SAC,SUB: Barnes FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0929,1,03:40,SAC,,HOU,,K. Ellis,SAC,MISS Ellis 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,16,24,1,3.0,0.0,h
S2324-G0929,1,00:45.800000,SAC,,HOU,,K. Ellis,SAC,MISS Ellis 10' Floating Jump Shot,Missed Shot,Floating Jump shot,-28,96,10,1,2.0,0.0,h
S2324-G0929,2,05:37,SAC,,HOU,,K. Ellis,SAC,SUB: Huerter FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0929,3,07:15,SAC,,HOU,,K. Ellis,SAC,Ellis P.FOUL (P1.T4) (S.Mitchell),Foul,Personal,0,0,0,0,,,h
S2324-G0929,3,04:41,SAC,,HOU,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0929,3,01:44,SAC,,HOU,,K. Ellis,SAC,SUB: Murray FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0342,1,10:41,SAC,,UTA,,K. Ellis,SAC,Ellis Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0342,1,07:28,SAC,,UTA,,K. Ellis,SAC,MISS Ellis 3PT Jump Shot,Missed Shot,Jump Shot,-224,71,0,1,3.0,0.0,h
S2324-G0342,1,05:25,SAC,19.0,UTA,15.0,K. Ellis,SAC,Ellis Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0342,1,05:25,SAC,20.0,UTA,15.0,K. Ellis,SAC,Ellis Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0342,1,03:04,SAC,,UTA,,K. Ellis,SAC,Ellis Bad Pass Turnover (P2.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0342,1,02:08,SAC,,UTA,,K. Ellis,SAC,SUB: McGee FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0342,2,05:50,SAC,,UTA,,K. Ellis,SAC,Ellis S.FOUL (P1.T3) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2324-G0342,2,05:30,SAC,,UTA,,K. Ellis,SAC,MISS Ellis 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-28,263,26,1,3.0,0.0,h
S2324-G0342,3,11:21,SAC,,UTA,,K. Ellis,SAC,MISS Ellis 26' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,188,183,26,1,3.0,0.0,h
S2324-G0342,3,11:01,SAC,,UTA,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0342,3,07:13,SAC,,UTA,,K. Ellis,SAC,Ellis S.FOUL (P2.T1) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2324-G0342,3,06:22,SAC,,UTA,,K. Ellis,SAC,"Double Technical - Ellis, Sexton (M.Lindsay)",Foul,Double Technical,0,0,0,0,,,
S2324-G0342,3,04:36,SAC,,UTA,,K. Ellis,SAC,SUB: Mitchell FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0342,4,06:03,SAC,,UTA,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0342,4,05:58,SAC,,UTA,,K. Ellis,SAC,Ellis Lost Ball Turnover (P3.T16),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0342,4,05:55,SAC,,UTA,,K. Ellis,SAC,Ellis T.FOUL (P2.T4) (N.Buchert),Foul,Technical,0,0,0,0,,,h
S2324-G0342,4,05:55,SAC,,UTA,,K. Ellis,SAC,SUB: Huerter FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0342,4,05:55,SAC,,UTA,,K. Ellis,SAC,Ellis Ejection:Other,Ejection,Other,0,0,0,0,,,h
S2324-G0786,2,04:40,DEN,,SAC,,K. Ellis,SAC,MISS Ellis 3PT Jump Shot,Missed Shot,Jump Shot,-227,-4,0,1,3.0,0.0,v
S2324-G0786,2,04:17,DEN,,SAC,,K. Ellis,SAC,MISS Ellis 2' Running Layup,Missed Shot,Running Layup Shot,-15,4,2,1,2.0,0.0,v
S2324-G0786,2,02:16,DEN,,SAC,,K. Ellis,SAC,SUB: Murray FOR Ellis,Substitution,,0,0,0,0,,,v
S2324-G0512,1,01:21,DET,,SAC,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,v
S2324-G0512,4,11:22,DET,,SAC,,K. Ellis,SAC,Ellis S.FOUL (P1.T1) (N.Green),Foul,Shooting,0,0,0,0,,,v
S2324-G0512,4,11:22,DET,,SAC,,K. Ellis,SAC,SUB: Huerter FOR Ellis,Substitution,,0,0,0,0,,,v
S2324-G0400,1,04:29,SAC,,MIN,,K. Ellis,SAC,MISS Ellis 24' 3PT Jump Shot,Missed Shot,Jump Shot,243,1,24,1,3.0,0.0,h
S2324-G0400,1,03:46,SAC,,MIN,,K. Ellis,SAC,MISS Ellis 3PT Jump Shot,Missed Shot,Jump Shot,-224,-13,0,1,3.0,0.0,h
S2324-G0400,1,01:58,SAC,,MIN,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0400,2,06:36,SAC,,MIN,,K. Ellis,SAC,Ellis S.FOUL (P1.T3) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2324-G0400,2,04:32,SAC,,MIN,,K. Ellis,SAC,MISS Ellis 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-203,-32,21,1,2.0,0.0,h
S2324-G0400,2,02:21,SAC,,MIN,,K. Ellis,SAC,SUB: Jones FOR Ellis,Substitution,,0,0,0,0,,,h
S2324-G0400,3,01:59,SAC,,MIN,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
