game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0860,1,06:51,TOR,,GSW,,L. Quinones,GSW,Quinones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0860,1,03:33,TOR,,GSW,,L. Quinones,GSW,MISS Quinones 29' 3PT Jump Shot,Missed Shot,Jump Shot,-110,265,29,1,3.0,0.0,v
S2324-G0860,1,01:49,TOR,,GSW,,L. Quinones,GSW,Quinones REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0860,1,01:40,TOR,27.0,GSW,25.0,L. Quinones,GSW,Quinones 25' 3PT Jump Shot (3 PTS) (Looney 1 AST),Made Shot,Jump Shot,212,126,25,1,3.0,3.0,v
S2324-G0860,2,10:03,TOR,,GSW,,L. Quinones,GSW,MISS Quinones 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,230,81,24,1,3.0,0.0,v
S2324-G0860,2,09:51,TOR,,GSW,,L. Quinones,GSW,Quinones REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0860,2,08:49,TOR,,GSW,,L. Quinones,GSW,SUB: Moody FOR Quinones,Substitution,,0,0,0,0,,,v
S2324-G0860,3,03:22,TOR,,GSW,,L. Quinones,GSW,Quinones REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0860,3,02:09,TOR,,GSW,,L. Quinones,GSW,MISS Quinones 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,123,227,26,1,3.0,0.0,v
S2324-G0860,3,01:21,TOR,,GSW,,L. Quinones,GSW,MISS Quinones 26' 3PT Jump Shot,Missed Shot,Jump Shot,174,195,26,1,3.0,0.0,v
S2324-G0860,4,11:32,TOR,,GSW,,L. Quinones,GSW,MISS Quinones Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0860,4,11:32,TOR,86.0,GSW,94.0,L. Quinones,GSW,Quinones Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0860,4,09:34,TOR,89.0,GSW,102.0,L. Quinones,GSW,Quinones 16' Turnaround Fadeaway (6 PTS),Made Shot,Turnaround Fadeaway shot,49,150,16,1,2.0,2.0,v
S2324-G0860,4,07:09,TOR,,GSW,,L. Quinones,GSW,SUB: Thompson FOR Quinones,Substitution,,0,0,0,0,,,v
S2324-G0525,4,05:54,GSW,91.0,NOP,129.0,L. Quinones,GSW,Quinones 26' 3PT Jump Shot (3 PTS) (Kuminga 4 AST),Made Shot,Jump Shot,-159,211,26,1,3.0,3.0,h
S2324-G0525,4,05:29,GSW,,NOP,,L. Quinones,GSW,MISS Quinones 25' 3PT Jump Shot,Missed Shot,Jump Shot,-190,169,25,1,3.0,0.0,h
S2324-G0525,4,03:04,GSW,,NOP,,L. Quinones,GSW,MISS Quinones 4' Layup,Missed Shot,Layup Shot,-37,21,4,1,2.0,0.0,h
