game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0071,1,10:29,MEM,8.0,NOP,4.0,M. Smart,MEM,Smart 27' 3PT Jump Shot (3 PTS) (Tillman 1 AST),Made Shot,Jump Shot,-137,231,27,1,3.0,3.0,h
S2324-G0071,1,09:07,MEM,,NOP,,M. Smart,MEM,Smart P.FOUL (P1.T3) (D.Scott),Foul,Personal,0,0,0,0,,,h
S2324-G0071,1,08:42,MEM,,NOP,,M. Smart,MEM,MISS Smart 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,125,216,25,1,3.0,0.0,h
S2324-G0071,1,05:17,MEM,18.0,NOP,16.0,M. Smart,MEM,Smart Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0071,1,05:17,MEM,,NOP,,M. Smart,MEM,MISS Smart Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0071,1,04:15,MEM,20.0,NOP,18.0,M. Smart,MEM,Smart 9' Driving Floating Jump Shot (6 PTS) (Kennard 1 AST),Made Shot,Driving Floating Jump Shot,-6,91,9,1,2.0,2.0,h
S2324-G0071,1,04:04,MEM,,NOP,,M. Smart,MEM,SUB: Rose FOR Smart,Substitution,,0,0,0,0,,,h
S2324-G0071,2,06:56,MEM,35.0,NOP,41.0,M. Smart,MEM,Smart 12' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,26,122,12,1,2.0,2.0,h
S2324-G0071,2,06:34,MEM,,NOP,,M. Smart,MEM,MISS Smart 3' Driving Layup,Missed Shot,Driving Layup Shot,23,17,3,1,2.0,0.0,h
S2324-G0071,2,05:34,MEM,,NOP,,M. Smart,MEM,MISS Smart 26' 3PT Jump Shot,Missed Shot,Jump Shot,103,239,26,1,3.0,0.0,h
S2324-G0071,2,04:26,MEM,,NOP,,M. Smart,MEM,Smart Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0071,2,02:18,MEM,,NOP,,M. Smart,MEM,Jump Ball Smart vs. Ingram: Tip to Tillman,Jump Ball,,0,0,0,0,,,h
S2324-G0071,2,02:18,MEM,,NOP,,M. Smart,MEM,Smart STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0071,2,01:22,MEM,,NOP,,M. Smart,MEM,Smart Lost Ball Turnover (P2.T5),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0071,2,01:22,MEM,,NOP,,M. Smart,MEM,Smart P.FOUL (P2.T2) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2324-G0071,2,00:05.800000,MEM,,NOP,,M. Smart,MEM,Smart S.FOUL (P3.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0071,2,00:05.800000,MEM,,NOP,,M. Smart,MEM,SUB: Rose FOR Smart,Substitution,,0,0,0,0,,,h
S2324-G0071,3,10:00,MEM,51.0,NOP,59.0,M. Smart,MEM,Smart 3' Driving Layup (10 PTS),Made Shot,Driving Layup Shot,-27,10,3,1,2.0,2.0,h
S2324-G0071,3,07:03,MEM,,NOP,,M. Smart,MEM,MISS Smart 25' 3PT Jump Shot,Missed Shot,Jump Shot,-129,216,25,1,3.0,0.0,h
S2324-G0071,3,06:29,MEM,,NOP,,M. Smart,MEM,Smart STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0071,3,06:27,MEM,,NOP,,M. Smart,MEM,Smart Out of Bounds - Bad Pass Turnover Turnover (P3.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0071,3,05:04,MEM,60.0,NOP,71.0,M. Smart,MEM,Smart 12' Driving Floating Jump Shot (12 PTS),Made Shot,Driving Floating Jump Shot,69,96,12,1,2.0,2.0,h
S2324-G0071,3,03:08,MEM,,NOP,,M. Smart,MEM,Smart T.FOUL (P3.T3) (C.Kirkland),Foul,Technical,0,0,0,0,,,h
S2324-G0071,3,03:08,MEM,,NOP,,M. Smart,MEM,SUB: Jackson Jr. FOR Smart,Substitution,,0,0,0,0,,,h
S2324-G0071,4,07:35,MEM,84.0,NOP,97.0,M. Smart,MEM,Smart 25' 3PT Jump Shot (15 PTS) (Bane 5 AST),Made Shot,Jump Shot,181,176,25,1,3.0,3.0,h
S2324-G0071,4,07:08,MEM,,NOP,,M. Smart,MEM,Smart Out of Bounds - Bad Pass Turnover Turnover (P4.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0071,4,06:48,MEM,,NOP,,M. Smart,MEM,MISS Smart 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,145,211,26,1,3.0,0.0,h
S2324-G0071,4,06:17,MEM,,NOP,,M. Smart,MEM,Smart Lost Ball Turnover (P5.T12),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0071,4,02:45,MEM,96.0,NOP,111.0,M. Smart,MEM,Smart Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0071,4,02:45,MEM,,NOP,,M. Smart,MEM,MISS Smart Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0071,4,01:56,MEM,,NOP,,M. Smart,MEM,MISS Smart Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0071,4,01:56,MEM,100.0,NOP,111.0,M. Smart,MEM,Smart Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0026,1,11:05,LAL,,MEM,,M. Smart,MEM,Smart REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0026,1,10:17,LAL,,MEM,,M. Smart,MEM,MISS Smart 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,31,148,15,1,2.0,0.0,v
S2324-G0026,1,09:42,LAL,5.0,MEM,6.0,M. Smart,MEM,Smart 3PT Jump Shot (3 PTS) (Biyombo 1 AST),Made Shot,Jump Shot,-232,9,0,1,3.0,3.0,v
S2324-G0026,1,05:46,LAL,,MEM,,M. Smart,MEM,Smart BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0026,1,05:12,LAL,,MEM,,M. Smart,MEM,Smart STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0026,1,04:06,LAL,,MEM,,M. Smart,MEM,MISS Smart 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-124,222,25,1,3.0,0.0,v
S2324-G0026,1,03:35,LAL,,MEM,,M. Smart,MEM,SUB: Williams FOR Smart,Substitution,,0,0,0,0,,,v
S2324-G0460,1,08:16,MEM,,SAS,,M. Smart,MEM,Smart Out of Bounds Lost Ball Turnover (P1.T2),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0460,1,07:36,MEM,,SAS,,M. Smart,MEM,MISS Smart 8' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-66,53,8,1,2.0,0.0,h
S2324-G0460,1,04:31,MEM,,SAS,,M. Smart,MEM,SUB: Kennard FOR Smart,Substitution,,0,0,0,0,,,h
S2324-G0460,2,04:40,MEM,,SAS,,M. Smart,MEM,MISS Smart 27' 3PT Jump Shot,Missed Shot,Jump Shot,173,210,27,1,3.0,0.0,h
S2324-G0460,2,00:00.200000,MEM,,SAS,,M. Smart,MEM,MISS Smart 47' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,114,458,47,1,3.0,0.0,h
S2324-G0460,3,06:41,MEM,,SAS,,M. Smart,MEM,MISS Smart 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-18,242,24,1,3.0,0.0,h
S2324-G0460,3,05:20,MEM,60.0,SAS,53.0,M. Smart,MEM,Smart 2' Reverse Layup (2 PTS) (Bane 1 AST),Made Shot,Reverse Layup Shot,16,10,2,1,2.0,2.0,h
S2324-G0460,3,05:06,MEM,,SAS,,M. Smart,MEM,Smart S.FOUL (P1.T3) (M.Ervin),Foul,Shooting,0,0,0,0,,,h
