game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0270,1,09:54,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 8' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-43,73,8,1,2.0,0.0,h
S2324-G0270,1,09:18,MIN,5.0,UTA,2.0,N. Alexander-Walker,MIN,Alexander-Walker 26' 3PT Jump Shot (3 PTS) (Conley 1 AST),Made Shot,Jump Shot,-66,247,26,1,3.0,3.0,h
S2324-G0270,1,07:08,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0270,1,03:59,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 25' 3PT Jump Shot,Missed Shot,Jump Shot,49,246,25,1,3.0,0.0,h
S2324-G0270,1,02:51,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,1,02:36,MIN,,UTA,,N. Alexander-Walker,MIN,SUB: Conley FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2324-G0270,2,09:19,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-23,42,5,1,2.0,0.0,h
S2324-G0270,2,09:00,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-9,251,25,1,3.0,0.0,h
S2324-G0270,2,06:48,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,2,06:46,MIN,29.0,UTA,35.0,N. Alexander-Walker,MIN,Alexander-Walker 3PT Jump Shot (6 PTS) (Brown Jr. 1 AST),Made Shot,Jump Shot,-228,7,0,1,3.0,3.0,h
S2324-G0270,2,06:34,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker L.B.FOUL (P1.T2) (J.Ralls),Foul,Loose Ball,0,0,0,0,,,h
S2324-G0270,2,06:30,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0270,2,06:27,MIN,31.0,UTA,35.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Running Layup (8 PTS),Made Shot,Running Layup Shot,-2,-9,1,1,2.0,2.0,h
S2324-G0270,2,05:46,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,2,04:47,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker Violation:Kicked Ball (T.Ford),Violation,Kicked Ball,0,0,0,0,,,h
S2324-G0270,2,04:20,MIN,41.0,UTA,37.0,N. Alexander-Walker,MIN,Alexander-Walker 3PT Jump Shot (11 PTS) (Towns 2 AST),Made Shot,Jump Shot,234,-1,0,1,3.0,3.0,h
S2324-G0270,2,01:27,MIN,46.0,UTA,45.0,N. Alexander-Walker,MIN,Alexander-Walker 8' Pullup Jump Shot (13 PTS),Made Shot,Pullup Jump shot,-70,43,8,1,2.0,2.0,h
S2324-G0270,2,00:45.400000,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0270,2,00:00.200000,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 53' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-34,525,53,1,3.0,0.0,h
S2324-G0270,3,09:45,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P2.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0270,3,09:11,MIN,54.0,UTA,54.0,N. Alexander-Walker,MIN,Alexander-Walker 3PT Jump Shot (16 PTS) (Conley 4 AST),Made Shot,Jump Shot,232,3,0,1,3.0,3.0,h
S2324-G0270,3,08:49,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 3' Running Layup,Missed Shot,Running Layup Shot,-13,27,3,1,2.0,0.0,h
S2324-G0270,3,08:32,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0270,3,08:29,MIN,58.0,UTA,54.0,N. Alexander-Walker,MIN,Alexander-Walker 2' Running Dunk (18 PTS),Made Shot,Running Dunk Shot,0,15,2,1,2.0,2.0,h
S2324-G0270,3,07:43,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0270,3,05:56,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker Out of Bounds - Bad Pass Turnover Turnover (P3.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0270,3,03:46,MIN,,UTA,,N. Alexander-Walker,MIN,SUB: Anderson FOR Alexander-Walker,Substitution,,0,0,0,0,,,h
S2324-G0270,4,08:41,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (4 STL),,,0,0,0,0,,,h
S2324-G0270,4,08:27,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker P.FOUL (P2.T1) (T.Ford),Foul,Personal,0,0,0,0,,,h
S2324-G0270,4,08:23,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker STEAL (5 STL),,,0,0,0,0,,,h
S2324-G0270,4,08:19,MIN,95.0,UTA,75.0,N. Alexander-Walker,MIN,Alexander-Walker 1' Running Dunk (20 PTS),Made Shot,Running Dunk Shot,-11,3,1,1,2.0,2.0,h
S2324-G0270,4,06:59,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker P.FOUL (P3.T3) (J.Ralls),Foul,Personal,0,0,0,0,,,h
S2324-G0270,4,06:11,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,4,06:04,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker Bad Pass Turnover (P4.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0270,4,04:32,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker BLOCK (2 BLK),,,0,0,0,0,,,h
S2324-G0270,4,03:28,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker S.FOUL (P4.PN) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2324-G0270,4,02:32,MIN,,UTA,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0270,4,02:15,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,40,85,9,1,2.0,0.0,h
S2324-G0270,4,01:15,MIN,,UTA,,N. Alexander-Walker,MIN,MISS Alexander-Walker 3PT Jump Shot,Missed Shot,Jump Shot,-234,-7,0,1,3.0,0.0,h
S2324-G0620,1,10:21,WAS,6.0,MIN,3.0,N. Alexander-Walker,MIN,Alexander-Walker 26' 3PT Pullup Jump Shot (3 PTS) (Gobert 1 AST),Made Shot,Pullup Jump shot,1,263,26,1,3.0,3.0,v
S2324-G0620,1,09:41,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker S.FOUL (P1.T1) (L.Wood),Foul,Shooting,0,0,0,0,,,v
S2324-G0620,1,08:06,WAS,9.0,MIN,10.0,N. Alexander-Walker,MIN,Alexander-Walker 3' Running Layup (5 PTS),Made Shot,Running Layup Shot,-29,3,3,1,2.0,2.0,v
S2324-G0620,1,06:39,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,1,05:18,WAS,,MIN,,N. Alexander-Walker,MIN,SUB: Reid FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2324-G0620,2,05:35,WAS,38.0,MIN,41.0,N. Alexander-Walker,MIN,Alexander-Walker Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0620,2,05:35,WAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0620,2,00:04.200000,WAS,,MIN,,N. Alexander-Walker,MIN,MISS Alexander-Walker 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,116,240,27,1,3.0,0.0,v
S2324-G0620,3,11:13,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,3,08:51,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,3,08:40,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0620,3,03:43,WAS,,MIN,,N. Alexander-Walker,MIN,SUB: Milton FOR Alexander-Walker,Substitution,,0,0,0,0,,,v
S2324-G0620,4,07:44,WAS,,MIN,,N. Alexander-Walker,MIN,Alexander-Walker S.FOUL (P2.T3) (J.Goble),Foul,Shooting,0,0,0,0,,,v
