game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0564,1,02:35,UTA,,IND,,T. McConnell,IND,MISS McConnell 10' Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-48,90,10,1,2.0,0.0,v
S2324-G0564,1,02:11,UTA,29.0,IND,24.0,T. McConnell,IND,McConnell 7' Jump Bank Shot (2 PTS) (Smith 1 AST),Made Shot,Jump Bank Shot,54,46,7,1,2.0,2.0,v
S2324-G0564,1,01:21,UTA,,IND,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,1,00:06.400000,UTA,,IND,,T. McConnell,IND,MISS McConnell 7' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,69,15,7,1,2.0,0.0,v
S2324-G0564,2,11:51,UTA,,IND,,T. McConnell,IND,MISS McConnell 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,48,88,10,1,2.0,0.0,v
S2324-G0564,2,08:56,UTA,,IND,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,2,07:56,UTA,43.0,IND,36.0,T. McConnell,IND,McConnell Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0564,2,07:56,UTA,43.0,IND,37.0,T. McConnell,IND,McConnell Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0564,2,06:53,UTA,,IND,,T. McConnell,IND,SUB: Jackson FOR McConnell,Substitution,,0,0,0,0,,,v
S2324-G0564,3,02:31,UTA,,IND,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,3,02:30,UTA,,IND,,T. McConnell,IND,McConnell Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0564,3,00:21.700000,UTA,103.0,IND,79.0,T. McConnell,IND,McConnell 12' Turnaround Jump Shot (6 PTS) (Nwora 2 AST),Made Shot,Turnaround Jump Shot,37,109,12,1,2.0,2.0,v
S2324-G0564,4,11:22,UTA,,IND,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,4,10:47,UTA,105.0,IND,83.0,T. McConnell,IND,McConnell 13' Turnaround Jump Shot (8 PTS) (Sheppard 1 AST),Made Shot,Turnaround Jump Shot,-77,100,13,1,2.0,2.0,v
S2324-G0564,4,10:21,UTA,,IND,,T. McConnell,IND,McConnell Out of Bounds - Bad Pass Turnover Turnover (P2.T12),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0564,4,09:18,UTA,,IND,,T. McConnell,IND,McConnell STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0564,4,08:57,UTA,,IND,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,4,08:43,UTA,,IND,,T. McConnell,IND,McConnell Bad Pass Turnover (P3.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0564,4,08:36,UTA,,IND,,T. McConnell,IND,McConnell S.FOUL (P1.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0564,4,06:16,UTA,,IND,,T. McConnell,IND,SUB: Nwora FOR McConnell,Substitution,,0,0,0,0,,,v
S2324-G0533,1,03:35,ATL,,IND,,T. McConnell,IND,McConnell Out of Bounds - Bad Pass Turnover Turnover (P1.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0533,2,11:21,ATL,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0533,2,11:15,ATL,30.0,IND,39.0,T. McConnell,IND,McConnell 12' Running Pull-Up Jump Shot (2 PTS),Made Shot,Running Pull-Up Jump Shot,113,31,12,1,2.0,2.0,v
S2324-G0533,2,10:39,ATL,,IND,,T. McConnell,IND,McConnell STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0533,2,10:09,ATL,,IND,,T. McConnell,IND,McConnell BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0533,2,10:04,ATL,,IND,,T. McConnell,IND,McConnell Out of Bounds - Bad Pass Turnover Turnover (P2.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0533,2,09:25,ATL,32.0,IND,49.0,T. McConnell,IND,McConnell 11' Floating Jump Shot (4 PTS) (Mathurin 2 AST),Made Shot,Floating Jump shot,108,-6,11,1,2.0,2.0,v
S2324-G0533,2,06:32,ATL,,IND,,T. McConnell,IND,MISS McConnell 7' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-1,67,7,1,2.0,0.0,v
S2324-G0533,2,06:04,ATL,,IND,,T. McConnell,IND,SUB: B. Brown FOR McConnell,Substitution,,0,0,0,0,,,v
S2324-G0533,3,01:43,ATL,,IND,,T. McConnell,IND,McConnell Traveling Turnover (P3.T17),Turnover,Traveling,0,0,0,0,,,v
S2324-G0533,3,00:34.100000,ATL,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0533,3,00:05.200000,ATL,,IND,,T. McConnell,IND,McConnell Lost Ball Turnover (P4.T18),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0533,4,08:48,ATL,,IND,,T. McConnell,IND,McConnell STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0533,4,08:29,ATL,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0533,4,08:16,ATL,89.0,IND,113.0,T. McConnell,IND,McConnell 7' Turnaround Jump Shot (6 PTS),Made Shot,Turnaround Jump Shot,-26,63,7,1,2.0,2.0,v
S2324-G0533,4,07:53,ATL,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0533,4,06:54,ATL,,IND,,T. McConnell,IND,McConnell STEAL (3 STL),,,0,0,0,0,,,v
S2324-G0533,4,05:08,ATL,,IND,,T. McConnell,IND,MISS McConnell 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,107,15,11,1,2.0,0.0,v
S2324-G0533,4,03:50,ATL,,IND,,T. McConnell,IND,McConnell Bad Pass Turnover (P5.T23),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0533,4,03:42,ATL,,IND,,T. McConnell,IND,SUB: Nwora FOR McConnell,Substitution,,0,0,0,0,,,v
S2324-G1174,1,03:35,CLE,,IND,,T. McConnell,IND,MISS McConnell 27' 3PT Jump Shot,Missed Shot,Jump Shot,86,254,27,1,3.0,0.0,v
