game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0499,2,09:19,ORL,,ATL,,W. Matthews,ATL,Matthews S.FOUL (P1.T1) (K.Scott),Foul,Shooting,0,0,0,0,,,v
S2324-G0499,2,08:29,ORL,,ATL,,W. Matthews,ATL,SUB: Murray FOR Matthews,Substitution,,0,0,0,0,,,v
S2324-G0499,3,02:46,ORL,,ATL,,W. Matthews,ATL,SUB: Capela FOR Matthews,Substitution,,0,0,0,0,,,v
S2324-G0499,4,09:07,ORL,,ATL,,W. Matthews,ATL,Matthews BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0499,4,09:03,ORL,,ATL,,W. Matthews,ATL,Matthews REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0499,4,08:28,ORL,,ATL,,W. Matthews,ATL,SUB: Murray FOR Matthews,Substitution,,0,0,0,0,,,v
S2324-G0925,1,05:37,ATL,,NOP,,W. Matthews,ATL,MISS Matthews 3PT Jump Shot,Missed Shot,Jump Shot,-224,9,0,1,3.0,0.0,h
S2324-G0925,1,03:10,ATL,,NOP,,W. Matthews,ATL,SUB: Bey FOR Matthews,Substitution,,0,0,0,0,,,h
S2324-G0175,1,02:02,ATL,,MIA,,W. Matthews,ATL,Matthews S.FOUL (P1.T2) (B.Schwab),Foul,Shooting,0,0,0,0,,,h
S2324-G0175,1,01:47,ATL,,MIA,,W. Matthews,ATL,Matthews Offensive Charge Foul (P2) (B.Schwab),Foul,Offensive Charge,0,0,0,0,,,h
S2324-G0175,1,01:47,ATL,,MIA,,W. Matthews,ATL,Matthews Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0175,1,01:33,ATL,,MIA,,W. Matthews,ATL,Matthews REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0175,3,01:28,ATL,,MIA,,W. Matthews,ATL,Matthews REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0175,3,01:28,ATL,74.0,MIA,86.0,W. Matthews,ATL,Matthews Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0175,3,01:28,ATL,,MIA,,W. Matthews,ATL,MISS Matthews Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
