game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0968,4,03:30,IND,,BKN,,K. Bates-Diop,BKN,Bates-Diop S.FOUL (P1.T4) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2324-G0968,4,01:20,IND,,BKN,,K. Bates-Diop,BKN,Bates-Diop REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0780,4,09:50,BOS,110.0,BKN,62.0,K. Bates-Diop,BKN,Bates-Diop 2' Running Layup (2 PTS) (K. Johnson 1 AST),Made Shot,Running Layup Shot,10,16,2,1,2.0,2.0,v
S2324-G0780,4,09:14,BOS,113.0,BKN,64.0,K. Bates-Diop,BKN,Bates-Diop 13' Driving Floating Jump Shot (4 PTS) (Wilson 1 AST),Made Shot,Driving Floating Jump Shot,126,38,13,1,2.0,2.0,v
S2324-G0780,4,05:46,BOS,,BKN,,K. Bates-Diop,BKN,MISS Bates-Diop 7' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-50,46,7,1,2.0,0.0,v
S2324-G0780,4,03:36,BOS,,BKN,,K. Bates-Diop,BKN,Bates-Diop REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0780,4,03:28,BOS,,BKN,,K. Bates-Diop,BKN,Bates-Diop Lost Ball Turnover (P1.T11),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0780,4,02:50,BOS,,BKN,,K. Bates-Diop,BKN,Bates-Diop STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0780,4,02:44,BOS,132.0,BKN,81.0,K. Bates-Diop,BKN,Bates-Diop 26' 3PT Running Jump Shot (7 PTS) (Clowney 1 AST),Made Shot,Running Jump Shot,137,224,26,1,3.0,3.0,v
S2324-G0830,4,02:12,MEM,,BKN,,K. Bates-Diop,BKN,MISS Bates-Diop 26' 3PT Jump Shot,Missed Shot,Jump Shot,-168,194,26,1,3.0,0.0,v
S2324-G0830,4,01:40,MEM,84.0,BKN,110.0,K. Bates-Diop,BKN,Bates-Diop Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0830,4,01:40,MEM,84.0,BKN,111.0,K. Bates-Diop,BKN,Bates-Diop Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0830,4,01:26,MEM,,BKN,,K. Bates-Diop,BKN,Bates-Diop BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0830,4,00:45.700000,MEM,,BKN,,K. Bates-Diop,BKN,MISS Bates-Diop 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,44,24,1,3.0,0.0,v
