game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1066,1,02:29,BKN,,CHI,,L. Walker IV,BKN,Walker IV P.FOUL (P1.PN) (M.Boland),Foul,Personal,0,0,0,0,,,h
S2324-G1066,1,00:06.500000,BKN,,CHI,,L. Walker IV,BKN,MISS Walker IV 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-64,243,25,1,3.0,0.0,h
S2324-G1066,2,09:42,BKN,,CHI,,L. Walker IV,BKN,SUB: Bridges FOR Walker IV,Substitution,,0,0,0,0,,,h
S2324-G1066,4,00:44.400000,BKN,125.0,CHI,108.0,L. Walker IV,BKN,Walker IV 26' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,80,243,26,1,3.0,3.0,h
S2324-G0677,1,05:48,BKN,17.0,PHX,14.0,L. Walker IV,BKN,Walker IV 13' Pullup Jump Shot (2 PTS) (Watford 1 AST),Made Shot,Pullup Jump shot,126,21,13,1,2.0,2.0,h
S2324-G0677,1,04:51,BKN,,PHX,,L. Walker IV,BKN,MISS Walker IV 26' 3PT Jump Shot,Missed Shot,Jump Shot,-167,196,26,1,3.0,0.0,h
S2324-G0677,1,04:41,BKN,,PHX,,L. Walker IV,BKN,Walker IV REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0677,1,03:31,BKN,,PHX,,L. Walker IV,BKN,Walker IV REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0677,1,02:24,BKN,,PHX,,L. Walker IV,BKN,Walker IV STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0677,1,01:42,BKN,,PHX,,L. Walker IV,BKN,MISS Walker IV 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-7,174,17,1,2.0,0.0,h
S2324-G0677,2,11:44,BKN,,PHX,,L. Walker IV,BKN,MISS Walker IV 3' Driving Layup,Missed Shot,Driving Layup Shot,-27,18,3,1,2.0,0.0,h
S2324-G0677,2,10:21,BKN,,PHX,,L. Walker IV,BKN,MISS Walker IV 2' Driving Layup,Missed Shot,Driving Layup Shot,23,2,2,1,2.0,0.0,h
