game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1011,4,00:57.300000,DET,100.0,BOS,127.0,J. Davison,BOS,Davison 28' 3PT Jump Shot (3 PTS) (Queta 2 AST),Made Shot,Jump Shot,115,256,28,1,3.0,3.0,v
S2324-G1173,2,11:07,BOS,,CHA,,J. Davison,BOS,MISS Davison 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-118,230,26,1,3.0,0.0,h
S2324-G1173,2,10:05,BOS,,CHA,,J. Davison,BOS,Davison REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1173,2,07:13,BOS,44.0,CHA,35.0,J. Davison,BOS,Davison 18' Pullup Jump Shot (2 PTS) (Hauser 2 AST),Made Shot,Pullup Jump shot,65,163,18,1,2.0,2.0,h
S2324-G1173,2,06:52,BOS,,CHA,,J. Davison,BOS,SUB: Pritchard FOR Davison,Substitution,,0,0,0,0,,,h
S2324-G1173,4,09:06,BOS,,CHA,,J. Davison,BOS,Davison REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1173,4,09:02,BOS,,CHA,,J. Davison,BOS,MISS Davison 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-39,59,7,1,2.0,0.0,h
S2324-G1173,4,07:55,BOS,,CHA,,J. Davison,BOS,Davison REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1173,4,06:55,BOS,,CHA,,J. Davison,BOS,Davison S.FOUL (P1.T3) (M.Lindsay),Foul,Shooting,0,0,0,0,,,h
S2324-G1173,4,05:41,BOS,,CHA,,J. Davison,BOS,Davison Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1173,4,03:57,BOS,,CHA,,J. Davison,BOS,MISS Davison 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,124,233,26,1,3.0,0.0,h
S2324-G1173,4,02:19,BOS,123.0,CHA,96.0,J. Davison,BOS,Davison 27' 3PT Pullup Jump Shot (5 PTS) (Queta 5 AST),Made Shot,Pullup Jump shot,99,247,27,1,3.0,3.0,h
S2324-G1173,4,01:54,BOS,,CHA,,J. Davison,BOS,MISS Davison 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,99,131,16,1,2.0,0.0,h
S2324-G1173,4,01:35,BOS,,CHA,,J. Davison,BOS,Davison REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1173,4,00:35.700000,BOS,131.0,CHA,96.0,J. Davison,BOS,Davison 1' Running Reverse Layup (7 PTS) (Springer 4 AST),Made Shot,Running Reverse Layup Shot,1,5,1,1,2.0,2.0,h
S2324-G1173,4,00:14.800000,BOS,,CHA,,J. Davison,BOS,Davison BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1186,2,10:46,BOS,35.0,WAS,32.0,J. Davison,BOS,Davison Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1186,2,10:46,BOS,,WAS,,J. Davison,BOS,MISS Davison Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G1186,2,10:05,BOS,,WAS,,J. Davison,BOS,Davison S.FOUL (P1.T1) (T.Washington),Foul,Shooting,0,0,0,0,,,h
S2324-G1186,2,08:29,BOS,,WAS,,J. Davison,BOS,Davison STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1186,2,07:24,BOS,,WAS,,J. Davison,BOS,Davison REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1186,2,06:47,BOS,,WAS,,J. Davison,BOS,Davison Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1186,2,05:59,BOS,,WAS,,J. Davison,BOS,SUB: Kornet FOR Davison,Substitution,,0,0,0,0,,,h
S2324-G1186,4,11:36,BOS,,WAS,,J. Davison,BOS,MISS Davison 5' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-45,14,5,1,2.0,0.0,h
S2324-G1186,4,11:01,BOS,,WAS,,J. Davison,BOS,Davison REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1186,4,08:27,BOS,,WAS,,J. Davison,BOS,Davison REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1186,4,08:09,BOS,,WAS,,J. Davison,BOS,MISS Davison 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,206,174,27,1,3.0,0.0,h
S2324-G1186,4,07:35,BOS,,WAS,,J. Davison,BOS,Davison S.FOUL (P2.T1) (T.Washington),Foul,Shooting,0,0,0,0,,,h
S2324-G1186,4,07:35,BOS,,WAS,,J. Davison,BOS,SUB: Mykhailiuk FOR Davison,Substitution,,0,0,0,0,,,h
S2324-G0938,4,01:17,POR,,BOS,,J. Davison,BOS,Davison REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0938,4,01:07,POR,,BOS,,J. Davison,BOS,Davison S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,v
S2324-G0938,4,00:51,POR,97.0,BOS,120.0,J. Davison,BOS,Davison 26' 3PT Step Back Jump Shot (3 PTS) (Queta 1 AST),Made Shot,Step Back Jump shot,-136,227,26,1,3.0,3.0,v
S2324-G0389,4,02:01,LAC,,BOS,,J. Davison,BOS,MISS Davison 24' 3PT Jump Shot,Missed Shot,Jump Shot,233,69,24,1,3.0,0.0,v
