game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0933,1,05:53,DET,,CHA,,J. Thor,CHA,MISS Thor 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,39,24,1,3.0,0.0,v
S2324-G0933,1,04:51,DET,,CHA,,J. Thor,CHA,MISS Thor 5' Layup,Missed Shot,Layup Shot,-31,39,5,1,2.0,0.0,v
S2324-G0933,1,04:41,DET,,CHA,,J. Thor,CHA,Thor REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,1,04:00,DET,,CHA,,J. Thor,CHA,Thor S.FOUL (P1.T4) (M.Myers),Foul,Shooting,0,0,0,0,,,v
S2324-G0933,1,00:02.100000,DET,,CHA,,J. Thor,CHA,Thor REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0933,3,02:12,DET,,CHA,,J. Thor,CHA,MISS Thor 3PT Jump Shot,Missed Shot,Jump Shot,-230,-1,0,1,3.0,0.0,v
S2324-G0933,3,00:25.500000,DET,83.0,CHA,67.0,J. Thor,CHA,Thor 1' Running Finger Roll Layup (2 PTS) (Bridges 3 AST),Made Shot,Running Finger Roll Layup Shot,-10,9,1,1,2.0,2.0,v
S2324-G0122,1,04:53,HOU,,CHA,,J. Thor,CHA,Thor STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0122,1,04:49,HOU,,CHA,,J. Thor,CHA,Thor Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0122,1,04:12,HOU,25.0,CHA,20.0,J. Thor,CHA,Thor 20' Jump Shot (2 PTS) (Miller 1 AST),Made Shot,Jump Shot,199,2,20,1,2.0,2.0,v
S2324-G0122,1,02:31,HOU,,CHA,,J. Thor,CHA,MISS Thor 26' 3PT Jump Shot,Missed Shot,Jump Shot,-97,237,26,1,3.0,0.0,v
