game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0335,4,06:19,CHA,66.0,PHI,113.0,L. Black,CHA,Black 1' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,1,5,1,1,2.0,2.0,h
S2324-G0335,4,04:19,CHA,,PHI,,L. Black,CHA,Black STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0335,4,04:19,CHA,,PHI,,L. Black,CHA,Black Lost Ball Turnover (P1.T12),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0335,4,01:10,CHA,,PHI,,L. Black,CHA,Black BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0335,4,01:07,CHA,,PHI,,L. Black,CHA,Black REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,2,11:35,TOR,,CHA,,L. Black,CHA,Black REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0354,2,09:46,TOR,,CHA,,L. Black,CHA,Black REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0354,2,09:11,TOR,25.0,CHA,34.0,L. Black,CHA,Black 1' Running Dunk (2 PTS) (Washington 3 AST),Made Shot,Running Dunk Shot,5,1,1,1,2.0,2.0,v
S2324-G0354,2,05:42,TOR,,CHA,,L. Black,CHA,SUB: Washington FOR Black,Substitution,,0,0,0,0,,,v
S2324-G0354,4,11:17,TOR,,CHA,,L. Black,CHA,Black REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0354,4,11:11,TOR,81.0,CHA,83.0,L. Black,CHA,Black 1' Running Alley Oop Layup Shot (4 PTS) (Rozier 5 AST),Made Shot,Running Alley Oop Layup Shot,7,1,1,1,2.0,2.0,v
S2324-G0354,4,10:51,TOR,,CHA,,L. Black,CHA,Black REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0354,4,09:47,TOR,,CHA,,L. Black,CHA,Black S.FOUL (P1.T1) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2324-G0354,4,07:03,TOR,,CHA,,L. Black,CHA,SUB: Miller FOR Black,Substitution,,0,0,0,0,,,v
S2324-G0745,1,11:02,MIL,,CHA,,L. Black,CHA,Black REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,1,05:59,MIL,,CHA,,L. Black,CHA,SUB: Smith Jr. FOR Black,Substitution,,0,0,0,0,,,v
S2324-G0745,1,00:04.200000,MIL,,CHA,,L. Black,CHA,Black Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0745,2,11:39,MIL,,CHA,,L. Black,CHA,Black REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,2,09:50,MIL,,CHA,,L. Black,CHA,Black REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,2,09:33,MIL,,CHA,,L. Black,CHA,Black REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0745,2,09:16,MIL,,CHA,,L. Black,CHA,MISS Black 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,16,32,4,1,2.0,0.0,v
S2324-G0745,2,09:13,MIL,,CHA,,L. Black,CHA,Black REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
