game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0122,1,01:52,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,1,01:23,HOU,,CHA,,T. Maledon,CHA,MISS Maledon 24' 3PT Jump Shot,Missed Shot,Jump Shot,213,121,24,1,3.0,0.0,v
S2324-G0122,1,01:19,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,1,01:17,HOU,,CHA,,T. Maledon,CHA,Maledon Lost Ball Turnover (P1.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0122,1,00:26.500000,HOU,,CHA,,T. Maledon,CHA,Maledon Bad Pass Turnover (P2.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0122,1,00:01.400000,HOU,,CHA,,T. Maledon,CHA,MISS Maledon 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-13,4,1,1,2.0,0.0,v
S2324-G0122,2,08:28,HOU,45.0,CHA,35.0,T. Maledon,CHA,Maledon 8' Driving Floating Jump Shot (2 PTS) (Ball 4 AST),Made Shot,Driving Floating Jump Shot,-11,80,8,1,2.0,2.0,v
S2324-G0122,2,07:29,HOU,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P1.PN) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2324-G0122,2,05:59,HOU,53.0,CHA,38.0,T. Maledon,CHA,Maledon 26' 3PT Jump Shot (5 PTS) (Hayward 1 AST),Made Shot,Jump Shot,-112,236,26,1,3.0,3.0,v
S2324-G0122,2,03:42,HOU,,CHA,,T. Maledon,CHA,Maledon STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0122,2,03:38,HOU,,CHA,,T. Maledon,CHA,MISS Maledon 2' Running Layup,Missed Shot,Running Layup Shot,12,15,2,1,2.0,0.0,v
S2324-G0122,2,01:05,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,2,01:02,HOU,,CHA,,T. Maledon,CHA,Maledon Bad Pass Turnover (P3.T11),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0122,2,00:00.200000,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,3,02:55,HOU,,CHA,,T. Maledon,CHA,MISS Maledon 10' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-78,58,10,1,2.0,0.0,v
S2324-G0122,3,01:05,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,3,00:32.200000,HOU,,CHA,,T. Maledon,CHA,Maledon P.FOUL (P2.T2) (E.Malloy),Foul,Personal,0,0,0,0,,,v
S2324-G0122,3,00:12.600000,HOU,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0122,4,10:56,HOU,,CHA,,T. Maledon,CHA,MISS Maledon 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,5,78,8,1,2.0,0.0,v
S2324-G0122,4,10:49,HOU,,CHA,,T. Maledon,CHA,SUB: Rozier FOR Maledon,Substitution,,0,0,0,0,,,v
S2324-G0143,1,05:19,DAL,15.0,CHA,20.0,T. Maledon,CHA,Maledon 26' 3PT Pullup Jump Shot (3 PTS) (Williams 1 AST),Made Shot,Pullup Jump shot,94,239,26,1,3.0,3.0,v
S2324-G0143,1,04:19,DAL,15.0,CHA,22.0,T. Maledon,CHA,Maledon 15' Pullup Jump Shot (5 PTS) (Thor 1 AST),Made Shot,Pullup Jump shot,-65,134,15,1,2.0,2.0,v
S2324-G0143,1,02:49,DAL,,CHA,,T. Maledon,CHA,Maledon Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0143,1,02:05,DAL,,CHA,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,-167,188,25,1,3.0,0.0,v
S2324-G0143,1,01:16,DAL,24.0,CHA,28.0,T. Maledon,CHA,Maledon 8' Driving Floating Jump Shot (7 PTS),Made Shot,Driving Floating Jump Shot,50,65,8,1,2.0,2.0,v
S2324-G0143,2,08:47,DAL,,CHA,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,-189,165,25,1,3.0,0.0,v
S2324-G0143,2,08:04,DAL,,CHA,,T. Maledon,CHA,SUB: Hayward FOR Maledon,Substitution,,0,0,0,0,,,v
S2324-G0143,2,02:29,DAL,45.0,CHA,58.0,T. Maledon,CHA,Maledon 1' Driving Finger Roll Layup (9 PTS) (Ball 11 AST),Made Shot,Driving Finger Roll Layup Shot,6,4,1,1,2.0,2.0,v
S2324-G0143,2,00:48.700000,DAL,,CHA,,T. Maledon,CHA,MISS Maledon 3PT Jump Shot,Missed Shot,Jump Shot,233,-5,0,1,3.0,0.0,v
S2324-G0143,2,00:00.200000,DAL,,CHA,,T. Maledon,CHA,MISS Maledon 43' 3PT Floating Jump Shot,Missed Shot,Floating Jump shot,-51,424,43,1,3.0,0.0,v
S2324-G0143,3,03:50,DAL,,CHA,,T. Maledon,CHA,Maledon P.FOUL (P1.T1) (J.Orr),Foul,Personal,0,0,0,0,,,v
S2324-G0143,3,00:00.300000,DAL,,CHA,,T. Maledon,CHA,MISS Maledon 26' 3PT Jump Shot,Missed Shot,Jump Shot,-201,157,26,1,3.0,0.0,v
S2324-G0143,4,09:15,DAL,,CHA,,T. Maledon,CHA,SUB: Williams FOR Maledon,Substitution,,0,0,0,0,,,v
S2324-G0027,4,01:48,CHA,,MIL,,T. Maledon,CHA,Maledon Out of Bounds Lost Ball Turnover (P1.T12),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0057,4,03:07,NYK,,CHA,,T. Maledon,CHA,MISS Maledon 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,161,16,1,2.0,0.0,v
S2324-G0057,4,01:42,NYK,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P1.T2) (M.Myers),Foul,Shooting,0,0,0,0,,,v
S2324-G0057,4,00:25.100000,NYK,,CHA,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,-108,221,25,1,3.0,0.0,v
S2324-G0077,1,00:58,CHA,,DET,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0077,1,00:52.400000,CHA,,DET,,T. Maledon,CHA,MISS Maledon 2' Running Layup,Missed Shot,Running Layup Shot,-12,9,2,1,2.0,0.0,h
S2324-G0077,1,00:12.300000,CHA,,DET,,T. Maledon,CHA,Maledon Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0077,2,11:42,CHA,,DET,,T. Maledon,CHA,Maledon STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0077,2,09:48,CHA,,DET,,T. Maledon,CHA,Maledon STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0077,2,09:46,CHA,25.0,DET,36.0,T. Maledon,CHA,Maledon 1' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,-2,8,1,1,2.0,2.0,h
S2324-G0077,2,09:46,CHA,,DET,,T. Maledon,CHA,MISS Maledon Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0077,2,08:10,CHA,,DET,,T. Maledon,CHA,SUB: Rozier FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0077,4,09:22,CHA,80.0,DET,87.0,T. Maledon,CHA,Maledon Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0077,4,09:22,CHA,81.0,DET,87.0,T. Maledon,CHA,Maledon Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0077,4,08:34,CHA,82.0,DET,89.0,T. Maledon,CHA,Maledon Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0077,4,08:34,CHA,83.0,DET,89.0,T. Maledon,CHA,Maledon Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0077,4,08:19,CHA,,DET,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0077,4,08:13,CHA,,DET,,T. Maledon,CHA,SUB: Rozier FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0133,1,01:28,IND,,CHA,,T. Maledon,CHA,MISS Maledon 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,21,26,3,1,2.0,0.0,v
S2324-G0133,1,00:03,IND,,CHA,,T. Maledon,CHA,Maledon P.FOUL (P1.T2) (R.Acosta),Foul,Personal,0,0,0,0,,,v
S2324-G0133,2,09:02,IND,,CHA,,T. Maledon,CHA,Maledon Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0133,2,08:57,IND,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P2.T3) (C.Kirkland),Foul,Shooting,0,0,0,0,,,v
S2324-G0133,2,08:57,IND,,CHA,,T. Maledon,CHA,SUB: Hayward FOR Maledon,Substitution,,0,0,0,0,,,v
S2324-G0133,3,03:59,IND,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P3.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,v
S2324-G0133,3,01:21,IND,,CHA,,T. Maledon,CHA,MISS Maledon 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-228,-1,0,1,3.0,0.0,v
S2324-G0133,3,00:16.400000,IND,,CHA,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,181,171,25,1,3.0,0.0,v
S2324-G0133,4,10:40,IND,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P4.T1) (R.Acosta),Foul,Shooting,0,0,0,0,,,v
S2324-G0133,4,07:59,IND,,CHA,,T. Maledon,CHA,SUB: Williams FOR Maledon,Substitution,,0,0,0,0,,,v
S2324-G0017,1,11:11,CHA,1.0,MIA,2.0,T. Maledon,CHA,Maledon Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0017,1,11:11,CHA,2.0,MIA,2.0,T. Maledon,CHA,Maledon Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0017,1,08:28,CHA,,MIA,,T. Maledon,CHA,Maledon Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0017,1,05:46,CHA,,MIA,,T. Maledon,CHA,MISS Maledon 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-13,112,11,1,2.0,0.0,h
S2324-G0017,1,02:35,CHA,,MIA,,T. Maledon,CHA,SUB: Ball FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0017,2,07:10,CHA,,MIA,,T. Maledon,CHA,MISS Maledon 12' Jump Shot,Missed Shot,Jump Shot,-51,104,12,1,2.0,0.0,h
S2324-G0017,2,06:10,CHA,,MIA,,T. Maledon,CHA,MISS Maledon 5' Layup,Missed Shot,Layup Shot,-4,47,5,1,2.0,0.0,h
S2324-G0017,2,05:38,CHA,,MIA,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0017,2,03:53,CHA,,MIA,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0017,2,03:46,CHA,,MIA,,T. Maledon,CHA,Maledon Backcourt Turnover (P2.T7),Turnover,Backcourt Turnover,0,0,0,0,,,h
S2324-G0017,2,03:04,CHA,,MIA,,T. Maledon,CHA,SUB: Thor FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0017,3,09:30,CHA,,MIA,,T. Maledon,CHA,MISS Maledon 26' 3PT Jump Shot,Missed Shot,Jump Shot,157,206,26,1,3.0,0.0,h
S2324-G0017,3,08:58,CHA,,MIA,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0017,3,06:36,CHA,,MIA,,T. Maledon,CHA,Maledon S.FOUL (P1.T3) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2324-G0017,3,04:32,CHA,,MIA,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,-34,250,25,1,3.0,0.0,h
S2324-G0017,3,03:29,CHA,,MIA,,T. Maledon,CHA,SUB: Ball FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0063,1,02:31,CHA,,ATL,,T. Maledon,CHA,Maledon P.FOUL (P1.T3) (L.Holtkamp),Foul,Personal,0,0,0,0,,,h
S2324-G0063,1,02:21,CHA,,ATL,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0063,1,02:02,CHA,,ATL,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0063,1,01:29,CHA,,ATL,,T. Maledon,CHA,Maledon Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0063,2,10:59,CHA,,ATL,,T. Maledon,CHA,Maledon REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0063,2,10:40,CHA,,ATL,,T. Maledon,CHA,Maledon S.FOUL (P2.T2) (L.Holtkamp),Foul,Shooting,0,0,0,0,,,h
S2324-G0063,2,08:44,CHA,31.0,ATL,35.0,T. Maledon,CHA,Maledon 2' Running Layup (2 PTS) (Washington 1 AST),Made Shot,Running Layup Shot,-16,18,2,1,2.0,2.0,h
S2324-G0063,2,07:31,CHA,,ATL,,T. Maledon,CHA,SUB: Hayward FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0063,2,00:52.400000,CHA,,ATL,,T. Maledon,CHA,Maledon S.FOUL (P3.PN) (L.Holtkamp),Foul,Shooting,0,0,0,0,,,h
S2324-G0063,2,00:43.400000,CHA,,ATL,,T. Maledon,CHA,SUB: Smith Jr. FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0063,3,00:29.400000,CHA,,ATL,,T. Maledon,CHA,MISS Maledon 26' 3PT Jump Shot,Missed Shot,Jump Shot,146,211,26,1,3.0,0.0,h
S2324-G0063,4,11:48,CHA,80.0,ATL,73.0,T. Maledon,CHA,Maledon 9' Driving Floating Jump Shot (4 PTS) (Ball 8 AST),Made Shot,Driving Floating Jump Shot,7,87,9,1,2.0,2.0,h
S2324-G0063,4,10:23,CHA,,ATL,,T. Maledon,CHA,MISS Maledon 25' 3PT Jump Shot,Missed Shot,Jump Shot,211,126,25,1,3.0,0.0,h
S2324-G0063,4,09:16,CHA,,ATL,,T. Maledon,CHA,MISS Maledon 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-31,74,8,1,2.0,0.0,h
S2324-G0063,4,09:07,CHA,,ATL,,T. Maledon,CHA,SUB: Rozier FOR Maledon,Substitution,,0,0,0,0,,,h
S2324-G0177,1,05:26,NYK,,CHA,,T. Maledon,CHA,MISS Maledon 17' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-65,154,17,1,2.0,0.0,v
S2324-G0177,1,05:23,NYK,,CHA,,T. Maledon,CHA,Maledon REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0177,1,04:43,NYK,,CHA,,T. Maledon,CHA,Maledon S.FOUL (P1.T3) (B.Adair),Foul,Shooting,0,0,0,0,,,v
S2324-G0177,1,03:52,NYK,,CHA,,T. Maledon,CHA,MISS Maledon 26' 3PT Jump Shot,Missed Shot,Jump Shot,-169,200,26,1,3.0,0.0,v
S2324-G0177,1,02:55,NYK,,CHA,,T. Maledon,CHA,Maledon Personal Take Foul (P2.T4) (B.Adair),Foul,Personal Take,0,0,0,0,,,v
S2324-G0177,1,00:40.800000,NYK,,CHA,,T. Maledon,CHA,MISS Maledon 1' Driving Layup,Missed Shot,Driving Layup Shot,-9,-1,1,1,2.0,0.0,v
