game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1119,1,06:41,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,1,04:10,CHI,23.0,NYK,11.0,J. Green,CHI,Green Dunk (2 PTS) (Dosunmu 2 AST),Made Shot,Dunk Shot,1,0,0,1,2.0,2.0,h
S2324-G1119,1,02:10,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,1,01:52,CHI,25.0,NYK,14.0,J. Green,CHI,Green 1' Driving Layup (4 PTS) (Dosunmu 3 AST),Made Shot,Driving Layup Shot,2,10,1,1,2.0,2.0,h
S2324-G1119,1,00:34.100000,CHI,,NYK,,J. Green,CHI,Green BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1119,1,00:34.100000,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,1,00:34.100000,CHI,28.0,NYK,17.0,J. Green,CHI,Green Free Throw Flagrant 1 of 2 (5 PTS),Free Throw,Free Throw Flagrant 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1119,1,00:34.100000,CHI,29.0,NYK,17.0,J. Green,CHI,Green Free Throw Flagrant 2 of 2 (6 PTS),Free Throw,Free Throw Flagrant 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1119,2,07:29,CHI,,NYK,,J. Green,CHI,Green STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1119,2,07:27,CHI,,NYK,,J. Green,CHI,Green Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G1119,2,05:41,CHI,43.0,NYK,27.0,J. Green,CHI,Green Alley Oop Dunk (8 PTS) (Dosunmu 4 AST),Made Shot,Alley Oop Dunk Shot,0,-2,0,1,2.0,2.0,h
S2324-G1119,2,04:54,CHI,,NYK,,J. Green,CHI,MISS Green 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-21,88,9,1,2.0,0.0,h
S2324-G1119,2,04:17,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,2,04:12,CHI,47.0,NYK,29.0,J. Green,CHI,Green Driving Reverse Dunk Shot (10 PTS) (Dosunmu 5 AST),Made Shot,Driving Reverse Dunk Shot,-1,4,0,1,2.0,2.0,h
S2324-G1119,2,03:45,CHI,50.0,NYK,30.0,J. Green,CHI,Green 24' 3PT Jump Shot (13 PTS) (DeRozan 7 AST),Made Shot,Jump Shot,-206,131,24,1,3.0,3.0,h
S2324-G1119,2,02:47,CHI,52.0,NYK,32.0,J. Green,CHI,Green 3' Driving Finger Roll Layup (15 PTS) (Vucevic 1 AST),Made Shot,Driving Finger Roll Layup Shot,15,22,3,1,2.0,2.0,h
S2324-G1119,2,00:07.400000,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,2,00:07.400000,CHI,61.0,NYK,42.0,J. Green,CHI,Green Tip Layup Shot (17 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G1119,3,10:10,CHI,,NYK,,J. Green,CHI,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,-173,186,25,1,3.0,0.0,h
S2324-G1119,3,09:43,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,09:29,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,09:29,CHI,,NYK,,J. Green,CHI,MISS Green 1' Tip Layup Shot,Missed Shot,Tip Layup Shot,5,12,1,1,2.0,0.0,h
S2324-G1119,3,09:29,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,07:56,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:4 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,07:56,CHI,69.0,NYK,55.0,J. Green,CHI,Green Tip Layup Shot (19 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G1119,3,07:36,CHI,71.0,NYK,58.0,J. Green,CHI,Green 1' Dunk (21 PTS) (Vucevic 3 AST),Made Shot,Dunk Shot,-1,7,1,1,2.0,2.0,h
S2324-G1119,3,07:17,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:4 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,05:59,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:4 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,3,03:38,CHI,,NYK,,J. Green,CHI,SUB: Craig FOR Green,Substitution,,0,0,0,0,,,h
S2324-G1119,4,09:40,CHI,87.0,NYK,80.0,J. Green,CHI,Green Free Throw 1 of 2 (22 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1119,4,09:40,CHI,88.0,NYK,80.0,J. Green,CHI,Green Free Throw 2 of 2 (23 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1119,4,08:21,CHI,,NYK,,J. Green,CHI,MISS Green 2' Running Layup,Missed Shot,Running Layup Shot,-11,17,2,1,2.0,0.0,h
S2324-G1119,4,07:12,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:4 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,4,06:44,CHI,,NYK,,J. Green,CHI,SUB: Caruso FOR Green,Substitution,,0,0,0,0,,,h
S2324-G1119,4,02:29,CHI,,NYK,,J. Green,CHI,Green S.FOUL (P1.T4) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2324-G1119,4,02:08,CHI,,NYK,,J. Green,CHI,Green REBOUND (Off:5 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2324-G1119,4,02:06,CHI,103.0,NYK,97.0,J. Green,CHI,Green Putback Layup (25 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G1119,4,00:57.900000,CHI,,NYK,,J. Green,CHI,Green STEAL (2 STL),,,0,0,0,0,,,h
S2324-G1066,2,10:58,BKN,29.0,CHI,25.0,J. Green,CHI,Green 3' Driving Layup (2 PTS) (White 2 AST),Made Shot,Driving Layup Shot,0,34,3,1,2.0,2.0,v
S2324-G1066,2,09:37,BKN,29.0,CHI,30.0,J. Green,CHI,Green 25' 3PT Jump Shot (5 PTS) (DeRozan 1 AST),Made Shot,Jump Shot,112,222,25,1,3.0,3.0,v
S2324-G1066,2,09:24,BKN,,CHI,,J. Green,CHI,Green S.FOUL (P1.T1) (M.Ervin),Foul,Shooting,0,0,0,0,,,v
S2324-G1066,2,06:13,BKN,,CHI,,J. Green,CHI,Green STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1066,2,05:28,BKN,,CHI,,J. Green,CHI,MISS Green 26' 3PT Jump Shot,Missed Shot,Jump Shot,163,199,26,1,3.0,0.0,v
S2324-G1066,2,03:12,BKN,,CHI,,J. Green,CHI,Green STEAL (2 STL),,,0,0,0,0,,,v
S2324-G1066,2,03:09,BKN,37.0,CHI,44.0,J. Green,CHI,Green 1' Running Dunk (7 PTS),Made Shot,Running Dunk Shot,5,13,1,1,2.0,2.0,v
S2324-G1066,2,02:51,BKN,,CHI,,J. Green,CHI,SUB: White FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1066,4,08:19,BKN,,CHI,,J. Green,CHI,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1066,4,06:15,BKN,,CHI,,J. Green,CHI,SUB: Caruso FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1084,2,08:46,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,2,07:52,MIN,,CHI,,J. Green,CHI,Green BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1084,2,06:53,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,2,04:49,MIN,,CHI,,J. Green,CHI,SUB: Caruso FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1084,3,07:11,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,3,07:08,MIN,,CHI,,J. Green,CHI,MISS Green Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2324-G1084,3,07:07,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,3,07:06,MIN,,CHI,,J. Green,CHI,MISS Green 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,-9,22,2,1,2.0,0.0,v
S2324-G1084,3,07:04,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,3,05:42,MIN,70.0,CHI,82.0,J. Green,CHI,Green 3PT Jump Shot (3 PTS) (Vucevic 5 AST),Made Shot,Jump Shot,224,60,0,1,3.0,3.0,v
S2324-G1084,3,04:16,MIN,,CHI,,J. Green,CHI,Green REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G1084,3,02:18,MIN,,CHI,,J. Green,CHI,Green Step Out of Bounds Turnover (P1.T13),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2324-G1084,3,01:32,MIN,,CHI,,J. Green,CHI,MISS Green 24' 3PT Jump Shot,Missed Shot,Jump Shot,224,88,24,1,3.0,0.0,v
S2324-G1084,4,06:55,MIN,,CHI,,J. Green,CHI,SUB: DeRozan FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1172,1,11:47,WAS,,CHI,,J. Green,CHI,Green S.FOUL (P1.T1) (B.Barnaky),Foul,Shooting,0,0,0,0,,,v
S2324-G1172,1,10:37,WAS,,CHI,,J. Green,CHI,Green S.FOUL (P2.T2) (M.Kogut),Foul,Shooting,0,0,0,0,,,v
S2324-G1172,1,08:30,WAS,,CHI,,J. Green,CHI,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,-246,-11,25,1,3.0,0.0,v
S2324-G1172,1,08:13,WAS,16.0,CHI,7.0,J. Green,CHI,Green 1' Running Dunk (2 PTS) (Terry 1 AST),Made Shot,Running Dunk Shot,12,-5,1,1,2.0,2.0,v
S2324-G1172,1,06:00,WAS,24.0,CHI,14.0,J. Green,CHI,Green 2' Running Layup (4 PTS) (Terry 3 AST),Made Shot,Running Layup Shot,16,8,2,1,2.0,2.0,v
S2324-G1172,1,05:36,WAS,,CHI,,J. Green,CHI,SUB: Funk FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1172,1,01:27,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,1,01:08,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,1,01:05,WAS,35.0,CHI,28.0,J. Green,CHI,Green 1' Putback Layup (6 PTS),Made Shot,Putback Layup Shot,4,6,1,1,2.0,2.0,v
S2324-G1172,1,00:39,WAS,37.0,CHI,31.0,J. Green,CHI,Green 3PT Jump Shot (9 PTS) (White 3 AST),Made Shot,Jump Shot,232,-1,0,1,3.0,3.0,v
S2324-G1172,2,11:51,WAS,,CHI,,J. Green,CHI,MISS Green 3PT Jump Shot,Missed Shot,Jump Shot,229,11,0,1,3.0,0.0,v
S2324-G1172,2,10:47,WAS,42.0,CHI,35.0,J. Green,CHI,Green 6' Floating Jump Shot (11 PTS) (Carter 3 AST),Made Shot,Floating Jump shot,-23,60,6,1,2.0,2.0,v
S2324-G1172,2,10:47,WAS,42.0,CHI,36.0,J. Green,CHI,Green Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G1172,2,09:53,WAS,42.0,CHI,41.0,J. Green,CHI,Green 3PT Running Jump Shot (15 PTS) (Carter 4 AST),Made Shot,Running Jump Shot,229,4,0,1,3.0,3.0,v
S2324-G1172,2,08:42,WAS,,CHI,,J. Green,CHI,SUB: Craig FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1172,2,06:58,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,2,06:54,WAS,51.0,CHI,47.0,J. Green,CHI,Green 6' Putback Layup (17 PTS),Made Shot,Putback Layup Shot,-47,32,6,1,2.0,2.0,v
S2324-G1172,2,05:20,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,2,04:29,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,2,04:20,WAS,53.0,CHI,57.0,J. Green,CHI,Green 3PT Jump Shot (20 PTS) (Terry 6 AST),Made Shot,Jump Shot,230,-8,0,1,3.0,3.0,v
S2324-G1172,2,03:59,WAS,,CHI,,J. Green,CHI,SUB: White FOR Green,Substitution,,0,0,0,0,,,v
S2324-G1172,3,11:42,WAS,,CHI,,J. Green,CHI,MISS Green 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,37,24,1,3.0,0.0,v
S2324-G1172,3,10:31,WAS,,CHI,,J. Green,CHI,MISS Green 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-45,59,7,1,2.0,0.0,v
S2324-G1172,3,09:26,WAS,,CHI,,J. Green,CHI,Green STEAL (1 STL),,,0,0,0,0,,,v
S2324-G1172,3,07:36,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,3,07:18,WAS,,CHI,,J. Green,CHI,Green STEAL (2 STL),,,0,0,0,0,,,v
S2324-G1172,3,07:13,WAS,77.0,CHI,79.0,J. Green,CHI,Green 12' Running Jump Shot (22 PTS),Made Shot,Running Jump Shot,69,103,12,1,2.0,2.0,v
S2324-G1172,3,06:22,WAS,,CHI,,J. Green,CHI,MISS Green 27' 3PT Jump Shot,Missed Shot,Jump Shot,-55,269,27,1,3.0,0.0,v
S2324-G1172,3,06:04,WAS,,CHI,,J. Green,CHI,Green REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G1172,3,05:43,WAS,78.0,CHI,83.0,J. Green,CHI,Green 4' Driving Floating Jump Shot (24 PTS) (Carter 8 AST),Made Shot,Driving Floating Jump Shot,-13,35,4,1,2.0,2.0,v
