game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1226,2,01:42,POR,,DAL,,M. Morris,DAL,Morris OFF.Foul (P1) (J.Van Duyne),Foul,Offensive,0,0,0,0,,,v
S2324-G1226,2,01:42,POR,,DAL,,M. Morris,DAL,Morris Offensive Foul Turnover (P1.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G1226,3,04:04,POR,76.0,DAL,88.0,M. Morris,DAL,Morris 3' Cutting Layup Shot (2 PTS) (Exum 4 AST),Made Shot,Cutting Layup Shot,-15,22,3,1,2.0,2.0,v
S2324-G1226,3,03:02,POR,,DAL,,M. Morris,DAL,Morris Lost Ball Turnover (P2.T12),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G1226,3,02:47,POR,,DAL,,M. Morris,DAL,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1226,3,02:45,POR,,DAL,,M. Morris,DAL,Morris Bad Pass Turnover (P3.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1181,3,05:49,DAL,,DET,,M. Morris,DAL,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,3,05:43,DAL,,DET,,M. Morris,DAL,MISS Morris 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,94,12,9,1,2.0,0.0,h
S2324-G1181,3,04:05,DAL,,DET,,M. Morris,DAL,MISS Morris 26' 3PT Jump Shot,Missed Shot,Jump Shot,-115,233,26,1,3.0,0.0,h
S2324-G1181,3,04:00,DAL,,DET,,M. Morris,DAL,MISS Morris 26' 3PT Jump Shot,Missed Shot,Jump Shot,-151,206,26,1,3.0,0.0,h
S2324-G1181,3,01:12,DAL,68.0,DET,76.0,M. Morris,DAL,Morris 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,31,6,3,1,2.0,2.0,h
S2324-G1181,4,06:33,DAL,,DET,,M. Morris,DAL,MISS Morris 25' 3PT Jump Shot,Missed Shot,Jump Shot,221,111,25,1,3.0,0.0,h
S2324-G1181,4,04:03,DAL,,DET,,M. Morris,DAL,Morris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,4,02:24,DAL,,DET,,M. Morris,DAL,Morris BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1181,4,00:32.900000,DAL,,DET,,M. Morris,DAL,MISS Morris 27' 3PT Jump Shot,Missed Shot,Jump Shot,-112,247,27,1,3.0,0.0,h
S2324-G1196,1,05:03,OKC,19.0,DAL,14.0,M. Morris,DAL,Morris 26' 3PT Running Jump Shot (3 PTS) (Prosper 1 AST),Made Shot,Running Jump Shot,-214,147,26,1,3.0,3.0,v
S2324-G1196,1,03:27,OKC,,DAL,,M. Morris,DAL,Morris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1196,1,02:34,OKC,,DAL,,M. Morris,DAL,MISS Morris 25' 3PT Jump Shot,Missed Shot,Jump Shot,-228,109,25,1,3.0,0.0,v
S2324-G1196,1,01:25,OKC,,DAL,,M. Morris,DAL,Morris Out of Bounds - Bad Pass Turnover Turnover (P1.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1196,2,04:21,OKC,,DAL,,M. Morris,DAL,Morris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1196,2,04:19,OKC,,DAL,,M. Morris,DAL,Morris Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1196,2,03:50,OKC,,DAL,,M. Morris,DAL,MISS Morris 15' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-38,143,15,1,2.0,0.0,v
S2324-G1196,2,03:26,OKC,,DAL,,M. Morris,DAL,SUB: Powell FOR Morris,Substitution,,0,0,0,0,,,v
S2324-G1196,3,05:42,OKC,,DAL,,M. Morris,DAL,MISS Morris 26' 3PT Jump Shot,Missed Shot,Jump Shot,-142,222,26,1,3.0,0.0,v
S2324-G1196,3,05:27,OKC,,DAL,,M. Morris,DAL,Morris BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1196,3,03:17,OKC,,DAL,,M. Morris,DAL,MISS Morris 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-85,193,21,1,2.0,0.0,v
S2324-G1196,3,02:40,OKC,104.0,DAL,50.0,M. Morris,DAL,Morris Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G1196,3,02:40,OKC,104.0,DAL,51.0,M. Morris,DAL,Morris Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1196,4,05:27,OKC,,DAL,,M. Morris,DAL,MISS Morris 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-148,-4,15,1,2.0,0.0,v
S2324-G1196,4,03:47,OKC,,DAL,,M. Morris,DAL,Morris REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
