game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1226,2,11:37,POR,,DAL,,O. Prosper,DAL,Prosper REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1226,2,10:03,POR,,DAL,,O. Prosper,DAL,MISS Prosper 3PT Jump Shot,Missed Shot,Jump Shot,-223,67,0,1,3.0,0.0,v
S2324-G1226,2,09:57,POR,,DAL,,O. Prosper,DAL,SUB: Doncic FOR Prosper,Substitution,,0,0,0,0,,,v
S2324-G1181,2,11:15,DAL,25.0,DET,27.0,O. Prosper,DAL,Prosper 1' Dunk (2 PTS) (Jones Jr. 3 AST),Made Shot,Dunk Shot,6,10,1,1,2.0,2.0,h
S2324-G1181,2,09:55,DAL,,DET,,O. Prosper,DAL,Prosper REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,2,09:06,DAL,,DET,,O. Prosper,DAL,Prosper BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1181,2,08:44,DAL,,DET,,O. Prosper,DAL,Prosper STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1181,2,07:55,DAL,33.0,DET,31.0,O. Prosper,DAL,Prosper Driving Dunk (4 PTS) (Exum 2 AST),Made Shot,Driving Dunk Shot,1,3,0,1,2.0,2.0,h
S2324-G1181,2,04:42,DAL,,DET,,O. Prosper,DAL,Prosper S.FOUL (P1.T2) (A.Moyer-Gleich),Foul,Shooting,0,0,0,0,,,h
S2324-G1181,2,04:42,DAL,,DET,,O. Prosper,DAL,SUB: Kleber FOR Prosper,Substitution,,0,0,0,0,,,h
S2324-G1181,3,10:15,DAL,,DET,,O. Prosper,DAL,Prosper REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,3,10:15,DAL,48.0,DET,57.0,O. Prosper,DAL,Prosper Tip Dunk Shot (6 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2324-G1181,3,08:53,DAL,51.0,DET,64.0,O. Prosper,DAL,Prosper Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1181,3,08:53,DAL,52.0,DET,64.0,O. Prosper,DAL,Prosper Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1181,3,07:39,DAL,,DET,,O. Prosper,DAL,Prosper STEAL (2 STL),,,0,0,0,0,,,h
S2324-G1181,3,07:33,DAL,,DET,,O. Prosper,DAL,MISS Prosper 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-237,1,24,1,3.0,0.0,h
S2324-G1181,3,04:02,DAL,,DET,,O. Prosper,DAL,Prosper REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,3,03:49,DAL,,DET,,O. Prosper,DAL,Prosper REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,3,03:46,DAL,,DET,,O. Prosper,DAL,Prosper Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G1181,3,03:28,DAL,,DET,,O. Prosper,DAL,Prosper REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1181,3,03:24,DAL,,DET,,O. Prosper,DAL,MISS Prosper 9' Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-32,81,9,1,2.0,0.0,h
