game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1154,1,10:30,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1154,1,06:59,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1154,1,03:12,UTA,13.0,DEN,29.0,K. Caldwell-Pope,DEN,Caldwell-Pope 5' Driving Finger Roll Layup (2 PTS) (Jackson 1 AST),Made Shot,Driving Finger Roll Layup Shot,-42,19,5,1,2.0,2.0,v
S2324-G1154,1,02:42,UTA,,DEN,,K. Caldwell-Pope,DEN,SUB: Holiday FOR Caldwell-Pope,Substitution,,0,0,0,0,,,v
S2324-G1154,2,03:43,UTA,43.0,DEN,56.0,K. Caldwell-Pope,DEN,Caldwell-Pope 15' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,103,114,15,1,2.0,2.0,v
S2324-G1154,2,02:49,UTA,,DEN,,K. Caldwell-Pope,DEN,MISS Caldwell-Pope 3PT Jump Shot,Missed Shot,Jump Shot,-230,4,0,1,3.0,0.0,v
S2324-G1154,3,11:40,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope P.FOUL (P1.T1) (N.Sago),Foul,Personal,0,0,0,0,,,v
S2324-G1154,3,07:54,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1154,3,05:42,UTA,68.0,DEN,76.0,K. Caldwell-Pope,DEN,Caldwell-Pope 2' Running Layup (6 PTS) (Murray 4 AST),Made Shot,Running Layup Shot,7,20,2,1,2.0,2.0,v
S2324-G1154,3,04:42,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1154,3,02:19,UTA,,DEN,,K. Caldwell-Pope,DEN,Caldwell-Pope S.FOUL (P2.T4) (J.Tiven),Foul,Shooting,0,0,0,0,,,v
