game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1197,1,01:01,SAS,,DET,,J. Nowell,DET,Nowell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1197,1,00:57.800000,SAS,,DET,,J. Nowell,DET,MISS Nowell 1' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,-12,6,1,1,2.0,0.0,v
S2324-G1197,1,00:52,SAS,26.0,DET,23.0,J. Nowell,DET,Nowell 7' Driving Floating Jump Shot (2 PTS) (Sasser 3 AST),Made Shot,Driving Floating Jump Shot,67,-8,7,1,2.0,2.0,v
S2324-G1197,2,10:20,SAS,,DET,,J. Nowell,DET,MISS Nowell 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,136,210,25,1,3.0,0.0,v
S2324-G1197,2,10:10,SAS,,DET,,J. Nowell,DET,Nowell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1197,2,10:08,SAS,,DET,,J. Nowell,DET,Nowell Out of Bounds - Bad Pass Turnover Turnover (P1.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1197,2,08:46,SAS,38.0,DET,24.0,J. Nowell,DET,Nowell Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G1197,2,08:46,SAS,38.0,DET,25.0,J. Nowell,DET,Nowell Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1197,2,06:43,SAS,,DET,,J. Nowell,DET,MISS Nowell 25' 3PT Jump Shot,Missed Shot,Jump Shot,-164,186,25,1,3.0,0.0,v
S2324-G1197,2,06:32,SAS,,DET,,J. Nowell,DET,SUB: Rhoden FOR Nowell,Substitution,,0,0,0,0,,,v
S2324-G1128,1,02:51,BKN,16.0,DET,30.0,J. Nowell,DET,Nowell 4' Layup (2 PTS) (Flynn 1 AST),Made Shot,Layup Shot,-25,32,4,1,2.0,2.0,v
