game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0163,4,05:25,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,04:07,HOU,119.0,LAL,88.0,B. Marjanovic,HOU,Marjanovic 3' Dunk (2 PTS) (Williams 1 AST),Made Shot,Dunk Shot,6,34,3,1,2.0,2.0,h
S2324-G0163,4,02:36,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,01:37,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,01:07,HOU,,LAL,,B. Marjanovic,HOU,MISS Marjanovic 5' Layup,Missed Shot,Layup Shot,-34,36,5,1,2.0,0.0,h
S2324-G0163,4,01:06,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,01:06,HOU,126.0,LAL,93.0,B. Marjanovic,HOU,Marjanovic 1' Putback Layup (4 PTS),Made Shot,Putback Layup Shot,-11,6,1,1,2.0,2.0,h
S2324-G0163,4,01:06,HOU,,LAL,,B. Marjanovic,HOU,MISS Marjanovic Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0163,4,01:05,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,01:03,HOU,128.0,LAL,93.0,B. Marjanovic,HOU,Marjanovic 2' Driving Dunk (6 PTS),Made Shot,Driving Dunk Shot,-6,24,2,1,2.0,2.0,h
S2324-G0163,4,00:48.600000,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic S.FOUL (P1.T4) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2324-G0163,4,00:48.100000,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0163,4,00:12.400000,HOU,,LAL,,B. Marjanovic,HOU,Marjanovic REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G1113,4,03:45,HOU,,GSW,,B. Marjanovic,HOU,Marjanovic Bad Pass Turnover (P1.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1113,4,01:37,HOU,105.0,GSW,126.0,B. Marjanovic,HOU,Marjanovic Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1113,4,01:37,HOU,106.0,GSW,126.0,B. Marjanovic,HOU,Marjanovic Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
