game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0338,4,01:55,MIN,,IND,,J. Johnson,IND,Johnson P.FOUL (P1.T4) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2324-G0338,4,01:39,MIN,,IND,,J. Johnson,IND,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0338,4,00:15,MIN,,IND,,J. Johnson,IND,Johnson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0997,4,02:06,DET,,IND,,J. Johnson,IND,Johnson Out of Bounds - Bad Pass Turnover Turnover (P1.T12),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0997,4,00:45.100000,DET,,IND,,J. Johnson,IND,Johnson STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0365,4,00:29.800000,IND,144.0,CHA,111.0,J. Johnson,IND,Johnson 10' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,96,15,10,1,2.0,2.0,h
S2324-G1054,4,04:34,CHI,,IND,,J. Johnson,IND,Johnson Out of Bounds - Bad Pass Turnover Turnover (P1.T13),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1054,4,02:43,CHI,117.0,IND,93.0,J. Johnson,IND,Johnson 1' Driving Dunk (2 PTS),Made Shot,Driving Dunk Shot,-4,10,1,1,2.0,2.0,v
S2324-G1054,4,01:44,CHI,,IND,,J. Johnson,IND,MISS Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,-70,253,26,1,3.0,0.0,v
S2324-G1054,4,00:56.500000,CHI,,IND,,J. Johnson,IND,MISS Johnson 4' Driving Layup,Missed Shot,Driving Layup Shot,-16,32,4,1,2.0,0.0,v
S2324-G0350,4,05:06,IND,,LAC,,J. Johnson,IND,Johnson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0350,4,04:04,IND,,LAC,,J. Johnson,IND,MISS Johnson 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-50,133,14,1,2.0,0.0,h
S2324-G0350,4,03:29,IND,,LAC,,J. Johnson,IND,Johnson STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0350,4,02:52,IND,,LAC,,J. Johnson,IND,Johnson OFF.Foul (P1) (S.Foster),Foul,Offensive,0,0,0,0,,,h
S2324-G0350,4,02:52,IND,,LAC,,J. Johnson,IND,Johnson Offensive Foul Turnover (P1.T11),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G1188,4,04:36,IND,,ATL,,J. Johnson,IND,Johnson P.FOUL (P1.T4) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2324-G1188,4,04:10,IND,,ATL,,J. Johnson,IND,Johnson Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G1188,4,03:10,IND,,ATL,,J. Johnson,IND,Johnson S.FOUL (P2.PN) (D.Collins),Foul,Shooting,0,0,0,0,,,h
S2324-G1188,4,02:58,IND,,ATL,,J. Johnson,IND,MISS Johnson 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,18,151,15,1,2.0,0.0,h
S2324-G0480,4,07:27,IND,,ATL,,J. Johnson,IND,Johnson S.FOUL (P1.T4) (B.Nansel),Foul,Shooting,0,0,0,0,,,h
S2324-G0480,4,07:02,IND,130.0,ATL,98.0,J. Johnson,IND,Johnson 1' Cutting Dunk Shot (2 PTS) (Sheppard 1 AST),Made Shot,Cutting Dunk Shot,6,13,1,1,2.0,2.0,h
S2324-G0480,4,05:10,IND,,ATL,,J. Johnson,IND,MISS Johnson 9' Driving Layup,Missed Shot,Driving Layup Shot,51,75,9,1,2.0,0.0,h
S2324-G0480,4,05:08,IND,,ATL,,J. Johnson,IND,Jump Ball Johnson vs. Fernando: Tip to Nwora,Jump Ball,,0,0,0,0,,,h
S2324-G0480,4,04:53,IND,,ATL,,J. Johnson,IND,Johnson P.FOUL (P2.PN) (T.Ford),Foul,Personal,0,0,0,0,,,h
S2324-G0480,4,04:01,IND,,ATL,,J. Johnson,IND,Johnson STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0480,4,03:38,IND,,ATL,,J. Johnson,IND,Johnson STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0480,4,02:04,IND,,ATL,,J. Johnson,IND,MISS Johnson 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,94,239,26,1,3.0,0.0,h
S2324-G0480,4,01:52,IND,,ATL,,J. Johnson,IND,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0480,4,01:30,IND,,ATL,,J. Johnson,IND,Johnson STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0480,4,01:30,IND,,ATL,,J. Johnson,IND,Johnson Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0863,4,11:15,NOP,,IND,,J. Johnson,IND,MISS Johnson 4' Driving Layup,Missed Shot,Driving Layup Shot,31,32,4,1,2.0,0.0,v
S2324-G0863,4,11:03,NOP,,IND,,J. Johnson,IND,Johnson S.FOUL (P1.T1) (N.Sago),Foul,Shooting,0,0,0,0,,,v
S2324-G0863,4,10:01,NOP,,IND,,J. Johnson,IND,Johnson P.FOUL (P2.T2) (M.Dagher),Foul,Personal,0,0,0,0,,,v
S2324-G0863,4,09:42,NOP,,IND,,J. Johnson,IND,Johnson BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0863,4,07:14,NOP,115.0,IND,87.0,J. Johnson,IND,Johnson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0863,4,07:14,NOP,115.0,IND,88.0,J. Johnson,IND,Johnson Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G0863,4,06:37,NOP,,IND,,J. Johnson,IND,Johnson S.FOUL (P3.T3) (N.Sago),Foul,Shooting,0,0,0,0,,,v
S2324-G0863,4,04:42,NOP,,IND,,J. Johnson,IND,SUB: Tshiebwe FOR Johnson,Substitution,,0,0,0,0,,,v
