game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0564,2,08:53,UTA,,IND,,J. Nwora,IND,Nwora Step Out of Bounds Turnover (P1.T5),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2324-G0564,2,08:23,UTA,,IND,,J. Nwora,IND,MISS Nwora 3PT Jump Shot,Missed Shot,Jump Shot,234,-1,0,1,3.0,0.0,v
S2324-G0564,2,06:53,UTA,,IND,,J. Nwora,IND,SUB: Hield FOR Nwora,Substitution,,0,0,0,0,,,v
S2324-G0564,3,05:57,UTA,,IND,,J. Nwora,IND,Nwora P.FOUL (P1.T3) (B.Kennedy),Foul,Personal,0,0,0,0,,,v
S2324-G0564,3,03:55,UTA,,IND,,J. Nwora,IND,MISS Nwora 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-165,85,19,1,2.0,0.0,v
S2324-G0564,3,02:51,UTA,,IND,,J. Nwora,IND,Nwora REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0564,3,02:50,UTA,,IND,,J. Nwora,IND,MISS Nwora 3' Putback Layup,Missed Shot,Putback Layup Shot,18,22,3,1,2.0,0.0,v
S2324-G0564,3,02:24,UTA,,IND,,J. Nwora,IND,Nwora S.FOUL (P2.PN) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2324-G0564,3,02:09,UTA,95.0,IND,73.0,J. Nwora,IND,Nwora 14' Turnaround Jump Shot (2 PTS) (McConnell 4 AST),Made Shot,Turnaround Jump Shot,26,142,14,1,2.0,2.0,v
S2324-G0564,3,01:39,UTA,97.0,IND,75.0,J. Nwora,IND,Nwora 14' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,113,83,14,1,2.0,2.0,v
S2324-G0564,4,05:27,UTA,,IND,,J. Nwora,IND,MISS Nwora Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
