game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0085,1,11:08,UTA,,LAC,,R. Covington,LAC,Covington STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0085,1,09:56,UTA,,LAC,,R. Covington,LAC,Covington L.B.FOUL (P1.T1) (K.Cutler),Foul,Loose Ball,0,0,0,0,,,v
S2324-G0085,1,07:58,UTA,12.0,LAC,9.0,R. Covington,LAC,Covington 24' 3PT Jump Shot (3 PTS) (Westbrook 2 AST),Made Shot,Jump Shot,-238,-1,24,1,3.0,3.0,v
S2324-G0085,1,06:44,UTA,,LAC,,R. Covington,LAC,MISS Covington 26' 3PT Jump Shot,Missed Shot,Jump Shot,-229,127,26,1,3.0,0.0,v
S2324-G0085,1,05:51,UTA,,LAC,,R. Covington,LAC,Covington STEAL (2 STL),,,0,0,0,0,,,v
S2324-G0085,1,05:48,UTA,20.0,LAC,15.0,R. Covington,LAC,Covington Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G0085,1,05:48,UTA,,LAC,,R. Covington,LAC,MISS Covington Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0085,1,04:35,UTA,,LAC,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,v
S2324-G0085,2,05:36,UTA,,LAC,,R. Covington,LAC,Covington S.FOUL (P2.T4) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2324-G0085,2,02:23,UTA,,LAC,,R. Covington,LAC,MISS Covington 25' 3PT Jump Shot,Missed Shot,Jump Shot,126,220,25,1,3.0,0.0,v
S2324-G0085,2,02:04,UTA,,LAC,,R. Covington,LAC,Covington S.FOUL (P3.PN) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2324-G0085,2,02:04,UTA,,LAC,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,v
S2324-G0085,3,07:24,UTA,,LAC,,R. Covington,LAC,Covington REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0085,3,05:05,UTA,,LAC,,R. Covington,LAC,Covington P.FOUL (P4.T2) (D.Guthrie),Foul,Personal,0,0,0,0,,,v
S2324-G0085,3,05:05,UTA,,LAC,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,v
S2324-G0099,1,10:36,LAC,,SAS,,R. Covington,LAC,MISS Covington 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-232,20,0,1,3.0,0.0,h
S2324-G0099,1,09:25,LAC,,SAS,,R. Covington,LAC,Covington REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0099,1,04:09,LAC,,SAS,,R. Covington,LAC,SUB: Plumlee FOR Covington,Substitution,,0,0,0,0,,,h
S2324-G0099,2,08:19,LAC,,SAS,,R. Covington,LAC,Covington P.FOUL (P1.T3) (C.Flores),Foul,Personal,0,0,0,0,,,h
S2324-G0099,2,02:02,LAC,,SAS,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,h
S2324-G0099,3,07:29,LAC,,SAS,,R. Covington,LAC,Covington BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0099,3,04:57,LAC,,SAS,,R. Covington,LAC,Covington REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0099,3,04:23,LAC,,SAS,,R. Covington,LAC,Covington STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0099,3,01:55,LAC,,SAS,,R. Covington,LAC,Covington REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0099,3,01:25,LAC,,SAS,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,h
S2324-G0074,1,11:46,LAC,,POR,,R. Covington,LAC,MISS Covington 24' 3PT Jump Shot,Missed Shot,Jump Shot,224,83,24,1,3.0,0.0,h
S2324-G0074,1,11:35,LAC,,POR,,R. Covington,LAC,Covington REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0074,1,10:26,LAC,,POR,,R. Covington,LAC,MISS Covington 3PT Running Jump Shot,Missed Shot,Running Jump Shot,225,47,0,1,3.0,0.0,h
S2324-G0074,1,07:05,LAC,,POR,,R. Covington,LAC,Covington STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0074,1,06:04,LAC,15.0,POR,6.0,R. Covington,LAC,Covington 1' Running Dunk (2 PTS) (Leonard 2 AST),Made Shot,Running Dunk Shot,9,8,1,1,2.0,2.0,h
S2324-G0074,1,05:09,LAC,,POR,,R. Covington,LAC,SUB: Hyland FOR Covington,Substitution,,0,0,0,0,,,h
S2324-G0074,2,04:08,LAC,,POR,,R. Covington,LAC,Covington STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0074,2,03:52,LAC,57.0,POR,40.0,R. Covington,LAC,Covington 27' 3PT Jump Shot (5 PTS) (Westbrook 7 AST),Made Shot,Jump Shot,156,218,27,1,3.0,3.0,h
S2324-G0074,2,03:08,LAC,,POR,,R. Covington,LAC,Covington STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0074,2,00:38,LAC,,POR,,R. Covington,LAC,Covington REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0074,2,00:01.500000,LAC,,POR,,R. Covington,LAC,Covington BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0074,3,09:38,LAC,,POR,,R. Covington,LAC,Covington P.FOUL (P1.T2) (J.Tiven),Foul,Personal,0,0,0,0,,,h
S2324-G0074,3,09:36,LAC,,POR,,R. Covington,LAC,Covington S.FOUL (P2.T3) (J.DeRosa),Foul,Shooting,0,0,0,0,,,h
S2324-G0074,3,06:13,LAC,,POR,,R. Covington,LAC,Covington REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0074,3,05:22,LAC,,POR,,R. Covington,LAC,SUB: Powell FOR Covington,Substitution,,0,0,0,0,,,h
S2324-G0074,4,06:37,LAC,,POR,,R. Covington,LAC,MISS Covington 26' 3PT Jump Shot,Missed Shot,Jump Shot,-65,256,26,1,3.0,0.0,h
S2324-G0074,4,05:25,LAC,,POR,,R. Covington,LAC,Covington REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0074,4,05:18,LAC,,POR,,R. Covington,LAC,SUB: Brown FOR Covington,Substitution,,0,0,0,0,,,h
