game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1103,1,03:27,WAS,,LAL,,S. Dinwiddie,LAL,MISS Dinwiddie 26' 3PT Jump Shot,Missed Shot,Jump Shot,196,174,26,1,3.0,0.0,v
S2324-G1103,1,01:59,WAS,24.0,LAL,31.0,S. Dinwiddie,LAL,Dinwiddie Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2324-G1103,1,01:59,WAS,24.0,LAL,32.0,S. Dinwiddie,LAL,Dinwiddie Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2324-G1103,1,01:14,WAS,,LAL,,S. Dinwiddie,LAL,Dinwiddie Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1103,2,02:44,WAS,,LAL,,S. Dinwiddie,LAL,MISS Dinwiddie 26' 3PT Jump Shot,Missed Shot,Jump Shot,-202,159,26,1,3.0,0.0,v
S2324-G1103,2,01:18,WAS,,LAL,,S. Dinwiddie,LAL,Dinwiddie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1103,3,02:45,WAS,78.0,LAL,94.0,S. Dinwiddie,LAL,Dinwiddie 17' Driving Floating Jump Shot (4 PTS) (Prince 1 AST),Made Shot,Driving Floating Jump Shot,-141,100,17,1,2.0,2.0,v
S2324-G1103,3,02:23,WAS,,LAL,,S. Dinwiddie,LAL,MISS Dinwiddie 27' 3PT Jump Shot,Missed Shot,Jump Shot,-234,125,27,1,3.0,0.0,v
S2324-G1103,3,02:13,WAS,,LAL,,S. Dinwiddie,LAL,Dinwiddie REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1103,4,08:43,WAS,,LAL,,S. Dinwiddie,LAL,Dinwiddie S.FOUL (P1.T2) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2324-G1103,4,06:12,WAS,,LAL,,S. Dinwiddie,LAL,SUB: Hachimura FOR Dinwiddie,Substitution,,0,0,0,0,,,v
S2324-G0856,1,03:49,LAL,,WAS,,S. Dinwiddie,LAL,Dinwiddie Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0856,1,03:06,LAL,21.0,WAS,27.0,S. Dinwiddie,LAL,Dinwiddie 6' Driving Floating Jump Shot (2 PTS) (Prince 1 AST),Made Shot,Driving Floating Jump Shot,-43,36,6,1,2.0,2.0,h
S2324-G0856,1,02:53,LAL,,WAS,,S. Dinwiddie,LAL,Dinwiddie P.FOUL (P1.T3) (B.Barnaky),Foul,Personal,0,0,0,0,,,h
S2324-G0856,2,01:40,LAL,65.0,WAS,65.0,S. Dinwiddie,LAL,Dinwiddie 3PT Jump Shot (5 PTS) (Russell 3 AST),Made Shot,Jump Shot,-227,19,0,1,3.0,3.0,h
S2324-G0856,2,01:09,LAL,,WAS,,S. Dinwiddie,LAL,MISS Dinwiddie 26' 3PT Jump Shot,Missed Shot,Jump Shot,-202,166,26,1,3.0,0.0,h
S2324-G0856,2,00:30.800000,LAL,70.0,WAS,67.0,S. Dinwiddie,LAL,Dinwiddie 27' 3PT Step Back Jump Shot (8 PTS),Made Shot,Step Back Jump shot,134,231,27,1,3.0,3.0,h
S2324-G0856,2,00:30.800000,LAL,,WAS,,S. Dinwiddie,LAL,MISS Dinwiddie Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2324-G0856,3,05:55,LAL,81.0,WAS,83.0,S. Dinwiddie,LAL,Dinwiddie Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0856,3,05:55,LAL,82.0,WAS,83.0,S. Dinwiddie,LAL,Dinwiddie Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0856,3,01:23,LAL,,WAS,,S. Dinwiddie,LAL,MISS Dinwiddie 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,34,68,8,1,2.0,0.0,h
