game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0837,4,01:51,NYK,,NOP,,D. Jeffries,NYK,MISS Jeffries 24' 3PT Jump Shot,Missed Shot,Jump Shot,-232,69,24,1,3.0,0.0,h
S2324-G0816,4,00:58.300000,NYK,,BOS,,D. Jeffries,NYK,MISS Jeffries 25' 3PT Jump Shot,Missed Shot,Jump Shot,135,216,25,1,3.0,0.0,h
S2324-G0343,4,03:48,LAC,,NYK,,D. Jeffries,NYK,MISS Jeffries 26' 3PT Jump Shot,Missed Shot,Jump Shot,196,166,26,1,3.0,0.0,v
S2324-G0343,4,03:10,LAC,,NYK,,D. Jeffries,NYK,Jeffries REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0343,4,01:24,LAC,,NYK,,D. Jeffries,NYK,Jeffries REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0368,4,02:13,BKN,,NYK,,D. Jeffries,NYK,Jeffries S.FOUL (P1.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2324-G0368,4,02:00,BKN,96.0,NYK,119.0,D. Jeffries,NYK,Jeffries 7' Driving Layup (2 PTS) (Hart 3 AST),Made Shot,Driving Layup Shot,-28,64,7,1,2.0,2.0,v
S2324-G0368,4,01:32,BKN,98.0,NYK,121.0,D. Jeffries,NYK,Jeffries 13' Driving Floating Jump Shot (4 PTS) (Arcidiacono 1 AST),Made Shot,Driving Floating Jump Shot,-91,89,13,1,2.0,2.0,v
S2324-G0368,4,01:15,BKN,,NYK,,D. Jeffries,NYK,MISS Jeffries 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,108,32,11,1,2.0,0.0,v
S2324-G0112,4,02:11,CLE,,NYK,,D. Jeffries,NYK,Jeffries S.FOUL (P1.T2) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2324-G0112,4,00:31.100000,CLE,,NYK,,D. Jeffries,NYK,MISS Jeffries 3PT Jump Shot,Missed Shot,Jump Shot,-233,22,0,1,3.0,0.0,v
S2324-G0221,4,02:43,MIN,,NYK,,D. Jeffries,NYK,Jeffries REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0221,4,02:33,MIN,,NYK,,D. Jeffries,NYK,MISS Jeffries 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,45,125,13,1,2.0,0.0,v
S2324-G0221,4,02:28,MIN,,NYK,,D. Jeffries,NYK,MISS Jeffries 3PT Jump Shot,Missed Shot,Jump Shot,-224,19,0,1,3.0,0.0,v
S2324-G0221,4,00:57.700000,MIN,,NYK,,D. Jeffries,NYK,MISS Jeffries Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2324-G0221,4,00:57.700000,MIN,,NYK,,D. Jeffries,NYK,MISS Jeffries Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2324-G0221,4,00:32.100000,MIN,,NYK,,D. Jeffries,NYK,MISS Jeffries 5' Driving Layup,Missed Shot,Driving Layup Shot,-42,23,5,1,2.0,0.0,v
S2324-G1082,4,00:01.800000,NYK,,OKC,,D. Jeffries,NYK,SUB: Brunson FOR Jeffries,Substitution,,0,0,0,0,,,h
S2324-G1035,4,02:22,NYK,,DET,,D. Jeffries,NYK,Jeffries BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1035,4,01:46,NYK,,DET,,D. Jeffries,NYK,Jeffries Lost Ball Turnover (P1.T12),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G1035,4,01:24,NYK,123.0,DET,96.0,D. Jeffries,NYK,Jeffries 26' 3PT Jump Shot (3 PTS) (Milton 1 AST),Made Shot,Jump Shot,-188,184,26,1,3.0,3.0,h
