game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1196,3,03:30,OKC,100.0,DAL,49.0,B. Biyombo,OKC,Biyombo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1196,3,03:30,OKC,101.0,DAL,49.0,B. Biyombo,OKC,Biyombo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1196,3,02:40,OKC,,DAL,,B. Biyombo,OKC,Biyombo S.FOUL (P1.T2) (K.Lane),Foul,Shooting,0,0,0,0,,,h
S2324-G1196,3,02:07,OKC,,DAL,,B. Biyombo,OKC,Biyombo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1196,3,01:35,OKC,,DAL,,B. Biyombo,OKC,MISS Biyombo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G1196,3,01:35,OKC,,DAL,,B. Biyombo,OKC,MISS Biyombo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G1196,3,00:46.500000,OKC,,DAL,,B. Biyombo,OKC,Biyombo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1196,3,00:21.300000,OKC,,DAL,,B. Biyombo,OKC,Biyombo BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G1196,4,11:25,OKC,,DAL,,B. Biyombo,OKC,MISS Biyombo 7' Floating Jump Shot,Missed Shot,Floating Jump shot,-2,69,7,1,2.0,0.0,h
S2324-G1196,4,09:21,OKC,,DAL,,B. Biyombo,OKC,Biyombo REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1196,4,06:45,OKC,,DAL,,B. Biyombo,OKC,Biyombo REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1196,4,03:56,OKC,,DAL,,B. Biyombo,OKC,Biyombo REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
