game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0397,1,00:19.800000,OKC,37.0,LAL,34.0,D. Bertans,OKC,Bertans 26' 3PT Jump Shot (3 PTS) (K. Williams 1 AST),Made Shot,Jump Shot,-140,215,26,1,3.0,3.0,h
S2324-G0397,2,02:52,OKC,,LAL,,D. Bertans,OKC,Bertans REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0397,4,07:29,OKC,,LAL,,D. Bertans,OKC,MISS Bertans 27' 3PT Jump Shot,Missed Shot,Jump Shot,-116,248,27,1,3.0,0.0,h
S2324-G0397,4,07:08,OKC,,LAL,,D. Bertans,OKC,SUB: K. Williams FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0302,4,08:32,OKC,,UTA,,D. Bertans,OKC,MISS Bertans 3PT Jump Shot,Missed Shot,Jump Shot,-229,-21,0,1,3.0,0.0,h
S2324-G0302,4,07:11,OKC,124.0,UTA,93.0,D. Bertans,OKC,Bertans 3PT Jump Shot (3 PTS) (Micic 5 AST),Made Shot,Jump Shot,225,9,0,1,3.0,3.0,h
S2324-G0302,4,03:59,OKC,,UTA,,D. Bertans,OKC,Bertans S.FOUL (P1.PN) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2324-G0302,4,03:31,OKC,,UTA,,D. Bertans,OKC,Bertans BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0617,2,02:35,OKC,,POR,,D. Bertans,OKC,Bertans BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0617,2,00:03.200000,OKC,,POR,,D. Bertans,OKC,MISS Bertans 26' 3PT Jump Shot,Missed Shot,Jump Shot,162,201,26,1,3.0,0.0,h
S2324-G0324,4,11:09,SAC,,OKC,,D. Bertans,OKC,Bertans REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0324,4,10:20,SAC,,OKC,,D. Bertans,OKC,Bertans REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0324,4,09:59,SAC,,OKC,,D. Bertans,OKC,Bertans REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0324,4,09:02,SAC,,OKC,,D. Bertans,OKC,Bertans OFF.Foul (P1) (B.Nansel),Foul,Offensive,0,0,0,0,,,v
S2324-G0324,4,09:02,SAC,,OKC,,D. Bertans,OKC,Bertans Offensive Foul Turnover (P1.T13),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0324,4,07:26,SAC,,OKC,,D. Bertans,OKC,MISS Bertans 28' 3PT Jump Shot,Missed Shot,Jump Shot,-47,277,28,1,3.0,0.0,v
S2324-G0324,4,07:17,SAC,,OKC,,D. Bertans,OKC,SUB: Holmgren FOR Bertans,Substitution,,0,0,0,0,,,v
S2324-G0109,1,02:57,OKC,22.0,DET,14.0,D. Bertans,OKC,Bertans Free Throw 1 of 3 (1 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,h
S2324-G0109,1,02:57,OKC,23.0,DET,14.0,D. Bertans,OKC,Bertans Free Throw 2 of 3 (2 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,h
S2324-G0109,1,02:57,OKC,24.0,DET,14.0,D. Bertans,OKC,Bertans Free Throw 3 of 3 (3 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,h
S2324-G0109,1,01:46,OKC,,DET,,D. Bertans,OKC,Bertans REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0109,2,05:32,OKC,49.0,DET,36.0,D. Bertans,OKC,Bertans 29' 3PT Jump Shot (6 PTS) (Gilgeous-Alexander 4 AST),Made Shot,Jump Shot,-12,293,29,1,3.0,3.0,h
S2324-G0109,2,02:52,OKC,,DET,,D. Bertans,OKC,MISS Bertans 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-163,212,27,1,3.0,0.0,h
S2324-G0109,2,02:17,OKC,,DET,,D. Bertans,OKC,Bertans S.FOUL (P1.T2) (B.Schwab),Foul,Shooting,0,0,0,0,,,h
S2324-G0109,2,02:05,OKC,,DET,,D. Bertans,OKC,SUB: Williams FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0239,3,01:28,OKC,,PHI,,D. Bertans,OKC,MISS Bertans 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,-31,24,1,3.0,0.0,h
S2324-G0239,3,00:27.700000,OKC,,PHI,,D. Bertans,OKC,Bertans REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0239,3,00:12.100000,OKC,,PHI,,D. Bertans,OKC,SUB: Dort FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0239,4,11:16,OKC,,PHI,,D. Bertans,OKC,Bertans S.FOUL (P1.T1) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2324-G0239,4,10:00,OKC,,PHI,,D. Bertans,OKC,Bertans P.FOUL (P2.T2) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2324-G0239,4,08:39,OKC,96.0,PHI,103.0,D. Bertans,OKC,Bertans 3PT Jump Shot (3 PTS) (K. Williams 2 AST),Made Shot,Jump Shot,232,-5,0,1,3.0,3.0,h
S2324-G0239,4,07:23,OKC,,PHI,,D. Bertans,OKC,MISS Bertans 16' Jump Shot,Missed Shot,Jump Shot,156,-15,16,1,2.0,0.0,h
S2324-G0239,4,07:03,OKC,,PHI,,D. Bertans,OKC,SUB: Gilgeous-Alexander FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0239,4,01:12,OKC,,PHI,,D. Bertans,OKC,SUB: K. Williams FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0239,4,00:32.500000,OKC,113.0,PHI,120.0,D. Bertans,OKC,Bertans Free Throw 1 of 3 (4 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,h
S2324-G0239,4,00:32.500000,OKC,,PHI,,D. Bertans,OKC,MISS Bertans Free Throw 2 of 3,Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,0.0,h
S2324-G0239,4,00:32.500000,OKC,114.0,PHI,120.0,D. Bertans,OKC,Bertans Free Throw 3 of 3 (5 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,h
S2324-G0239,4,00:32.500000,OKC,,PHI,,D. Bertans,OKC,SUB: Holmgren FOR Bertans,Substitution,,0,0,0,0,,,h
S2324-G0239,4,00:03.400000,OKC,,PHI,,D. Bertans,OKC,SUB: J. Williams FOR Bertans,Substitution,,0,0,0,0,,,h
