game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0636,4,10:00,IND,,PHX,,C. Metu,PHX,Metu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0636,4,08:37,IND,,PHX,,C. Metu,PHX,MISS Metu 3' Layup,Missed Shot,Layup Shot,7,28,3,1,2.0,0.0,v
S2324-G0636,4,08:07,IND,,PHX,,C. Metu,PHX,SUB: Eubanks FOR Metu,Substitution,,0,0,0,0,,,v
S2324-G0456,1,08:06,PHX,,POR,,C. Metu,PHX,MISS Metu 3PT Jump Shot,Missed Shot,Jump Shot,224,52,0,1,3.0,0.0,h
S2324-G0456,1,07:47,PHX,,POR,,C. Metu,PHX,Metu S.FOUL (P1.T1) (S.Wall),Foul,Shooting,0,0,0,0,,,h
S2324-G0456,1,06:45,PHX,,POR,,C. Metu,PHX,Metu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0456,1,06:19,PHX,,POR,,C. Metu,PHX,SUB: Bates-Diop FOR Metu,Substitution,,0,0,0,0,,,h
S2324-G0456,2,10:13,PHX,,POR,,C. Metu,PHX,Metu OFF.Foul (P2) (A.Moyer-Gleich),Foul,Offensive,0,0,0,0,,,h
S2324-G0456,2,10:13,PHX,,POR,,C. Metu,PHX,Metu Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0456,2,09:06,PHX,,POR,,C. Metu,PHX,Metu STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0456,2,09:02,PHX,28.0,POR,33.0,C. Metu,PHX,Metu 1' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,-5,11,1,1,2.0,2.0,h
S2324-G0456,2,08:07,PHX,,POR,,C. Metu,PHX,MISS Metu 10' Driving Layup,Missed Shot,Driving Layup Shot,50,85,10,1,2.0,0.0,h
S2324-G0456,2,06:25,PHX,38.0,POR,33.0,C. Metu,PHX,Metu 1' Running Alley Oop Dunk Shot (4 PTS) (Gordon 1 AST),Made Shot,Running Alley Oop Dunk Shot,-2,8,1,1,2.0,2.0,h
S2324-G0456,2,05:45,PHX,,POR,,C. Metu,PHX,Metu REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0456,2,04:24,PHX,44.0,POR,37.0,C. Metu,PHX,Metu 25' 3PT Jump Shot (7 PTS) (Okogie 3 AST),Made Shot,Jump Shot,129,212,25,1,3.0,3.0,h
S2324-G0456,2,03:01,PHX,,POR,,C. Metu,PHX,SUB: Beal FOR Metu,Substitution,,0,0,0,0,,,h
S2324-G0456,3,10:24,PHX,,POR,,C. Metu,PHX,MISS Metu 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,142,14,1,2.0,0.0,h
S2324-G0456,3,09:44,PHX,,POR,,C. Metu,PHX,Metu REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0456,3,09:03,PHX,60.0,POR,51.0,C. Metu,PHX,Metu Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0456,3,09:03,PHX,61.0,POR,51.0,C. Metu,PHX,Metu Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
