game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0677,1,03:28,BKN,,PHX,,J. Okogie,PHX,Okogie S.FOUL (P1.T2) (B.Barnaky),Foul,Shooting,0,0,0,0,,,v
S2324-G0677,1,02:36,BKN,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0677,1,01:39,BKN,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0677,2,11:41,BKN,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0677,2,11:20,BKN,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0677,2,11:20,BKN,30.0,PHX,32.0,J. Okogie,PHX,Okogie Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0677,2,11:20,BKN,30.0,PHX,33.0,J. Okogie,PHX,Okogie Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2324-G0677,2,10:32,BKN,,PHX,,J. Okogie,PHX,Suns T.Foul (Def. 3 Sec Okogie ) (K.Lane),Foul,Defense 3 Second,0,0,0,0,,,v
S2324-G0677,2,09:16,BKN,33.0,PHX,39.0,J. Okogie,PHX,Okogie 3' Cutting Finger Roll Layup Shot (5 PTS) (Beal 3 AST),Made Shot,Cutting Finger Roll Layup Shot,29,14,3,1,2.0,2.0,v
S2324-G0677,2,07:38,BKN,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0677,2,07:33,BKN,35.0,PHX,45.0,J. Okogie,PHX,Okogie 11' Driving Floating Jump Shot (7 PTS),Made Shot,Driving Floating Jump Shot,23,103,11,1,2.0,2.0,v
S2324-G0677,2,06:00,BKN,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-227,-32,0,1,3.0,0.0,v
S2324-G0677,2,05:50,BKN,,PHX,,J. Okogie,PHX,SUB: Nurkic FOR Okogie,Substitution,,0,0,0,0,,,v
S2324-G0677,2,00:45.800000,BKN,,PHX,,J. Okogie,PHX,SUB: Booker FOR Okogie,Substitution,,0,0,0,0,,,v
