game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0787,4,08:50,PHX,100.0,DET,78.0,T. Maledon,PHX,Maledon Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0787,4,08:50,PHX,101.0,DET,78.0,T. Maledon,PHX,Maledon Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0787,4,07:19,PHX,,DET,,T. Maledon,PHX,Maledon S.FOUL (P1.T2) (K.Lane),Foul,Shooting,0,0,0,0,,,h
S2324-G0787,4,06:52,PHX,,DET,,T. Maledon,PHX,MISS Maledon 6' Driving Layup,Missed Shot,Driving Layup Shot,33,44,6,1,2.0,0.0,h
S2324-G0787,4,04:27,PHX,,DET,,T. Maledon,PHX,Maledon S.FOUL (P2.PN) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,h
S2324-G0787,4,03:21,PHX,,DET,,T. Maledon,PHX,Maledon Bad Pass Turnover (P1.T22),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0787,4,01:44,PHX,,DET,,T. Maledon,PHX,Maledon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0787,4,01:42,PHX,,DET,,T. Maledon,PHX,Maledon Traveling Turnover (P2.T23),Turnover,Traveling,0,0,0,0,,,h
S2324-G0787,4,01:17,PHX,,DET,,T. Maledon,PHX,Maledon OFF.Foul (P3) (K.Lane),Foul,Offensive,0,0,0,0,,,h
S2324-G0787,4,01:17,PHX,,DET,,T. Maledon,PHX,Maledon Offensive Foul Turnover (P3.T24),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0787,4,00:58.600000,PHX,114.0,DET,95.0,T. Maledon,PHX,Maledon 10' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,27,94,10,1,2.0,2.0,h
S2324-G0787,4,00:58.600000,PHX,115.0,DET,95.0,T. Maledon,PHX,Maledon Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G0870,4,00:39.200000,PHX,,HOU,,T. Maledon,PHX,MISS Maledon 1' Driving Layup,Missed Shot,Driving Layup Shot,-7,5,1,1,2.0,0.0,h
S2324-G0739,4,00:19.300000,PHX,,UTA,,T. Maledon,PHX,MISS Maledon 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,22,29,4,1,2.0,0.0,h
