game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0460,1,04:15,MEM,,SAS,,T. Jones,SAS,MISS Jones 7' Pullup Jump Shot,Missed Shot,Pullup Jump shot,32,67,7,1,2.0,0.0,v
S2324-G0460,1,00:47,MEM,,SAS,,T. Jones,SAS,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,158,194,25,1,3.0,0.0,v
S2324-G0460,1,00:01.900000,MEM,,SAS,,T. Jones,SAS,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0460,2,11:37,MEM,,SAS,,T. Jones,SAS,Jones P.FOUL (P1.T1) (M.Ervin),Foul,Personal,0,0,0,0,,,v
S2324-G0460,2,06:40,MEM,,SAS,,T. Jones,SAS,SUB: Wesley FOR Jones,Substitution,,0,0,0,0,,,v
S2324-G0460,3,10:39,MEM,,SAS,,T. Jones,SAS,Jones REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0460,3,10:22,MEM,,SAS,,T. Jones,SAS,Jones STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0460,3,10:19,MEM,50.0,SAS,48.0,T. Jones,SAS,Jones 3' Running Layup (2 PTS),Made Shot,Running Layup Shot,-20,23,3,1,2.0,2.0,v
S2324-G0460,3,08:07,MEM,,SAS,,T. Jones,SAS,MISS Jones 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-48,37,6,1,2.0,0.0,v
S2324-G0460,3,06:38,MEM,,SAS,,T. Jones,SAS,Jones REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0460,3,06:25,MEM,,SAS,,T. Jones,SAS,Jones S.FOUL (P2.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2324-G0460,3,06:10,MEM,,SAS,,T. Jones,SAS,MISS Jones 26' 3PT Jump Shot,Missed Shot,Jump Shot,165,197,26,1,3.0,0.0,v
S2324-G0460,3,05:54,MEM,,SAS,,T. Jones,SAS,MISS Jones 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-151,205,25,1,3.0,0.0,v
S2324-G0460,3,05:45,MEM,,SAS,,T. Jones,SAS,Jones REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0460,3,05:06,MEM,,SAS,,T. Jones,SAS,SUB: Wesley FOR Jones,Substitution,,0,0,0,0,,,v
S2324-G0460,4,04:47,MEM,,SAS,,T. Jones,SAS,SUB: Vassell FOR Jones,Substitution,,0,0,0,0,,,v
S2324-G0437,1,05:35,POR,,SAS,,T. Jones,SAS,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0437,1,03:17,POR,,SAS,,T. Jones,SAS,Jones Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G0437,1,02:16,POR,19.0,SAS,22.0,T. Jones,SAS,Jones 1' Cutting Layup Shot (2 PTS) (Johnson 1 AST),Made Shot,Cutting Layup Shot,10,2,1,1,2.0,2.0,v
S2324-G0437,1,01:31,POR,,SAS,,T. Jones,SAS,Jones S.FOUL (P1.T3) (J.DeRosa),Foul,Shooting,0,0,0,0,,,v
S2324-G0437,1,01:13,POR,,SAS,,T. Jones,SAS,MISS Jones 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-12,104,10,1,2.0,0.0,v
S2324-G0437,1,00:59.900000,POR,25.0,SAS,24.0,T. Jones,SAS,Jones 2' Running Layup (4 PTS),Made Shot,Running Layup Shot,-12,10,2,1,2.0,2.0,v
S2324-G0437,1,00:04.300000,POR,27.0,SAS,29.0,T. Jones,SAS,Jones 1' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,-9,8,1,1,2.0,2.0,v
S2324-G0437,2,10:43,POR,,SAS,,T. Jones,SAS,SUB: Branham FOR Jones,Substitution,,0,0,0,0,,,v
S2324-G0437,2,04:14,POR,,SAS,,T. Jones,SAS,Jones REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0437,2,04:14,POR,56.0,SAS,47.0,T. Jones,SAS,Jones Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2324-G0437,2,02:17,POR,,SAS,,T. Jones,SAS,MISS Jones 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,12,0,1,1,2.0,0.0,v
S2324-G0437,2,01:42,POR,,SAS,,T. Jones,SAS,Jones Bad Pass Turnover (P2.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0437,2,00:02.900000,POR,,SAS,,T. Jones,SAS,Jones REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0437,2,00:01,POR,,SAS,,T. Jones,SAS,Jones Lost Ball Turnover (P3.T11),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G0437,3,04:48,POR,,SAS,,T. Jones,SAS,Jones REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
