game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0354,1,11:47,TOR,,CHA,,D. Schroder,TOR,Schroder Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0354,1,08:28,TOR,,CHA,,D. Schroder,TOR,Schroder Lost Ball Turnover (P2.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0354,1,06:53,TOR,,CHA,,D. Schroder,TOR,Schroder Bad Pass Turnover (P3.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0354,1,05:02,TOR,,CHA,,D. Schroder,TOR,SUB: Flynn FOR Schroder,Substitution,,0,0,0,0,,,h
S2324-G0354,2,10:25,TOR,,CHA,,D. Schroder,TOR,Schroder P.FOUL (P1.T1) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2324-G0354,2,07:40,TOR,,CHA,,D. Schroder,TOR,MISS Schroder 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,181,188,26,1,3.0,0.0,h
S2324-G0354,2,05:50,TOR,,CHA,,D. Schroder,TOR,MISS Schroder 24' 3PT Jump Shot,Missed Shot,Jump Shot,234,62,24,1,3.0,0.0,h
S2324-G0354,2,05:42,TOR,,CHA,,D. Schroder,TOR,SUB: Barnes FOR Schroder,Substitution,,0,0,0,0,,,h
S2324-G0354,2,01:48,TOR,,CHA,,D. Schroder,TOR,Schroder P.FOUL (P2.PN) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2324-G0354,2,01:32,TOR,45.0,CHA,52.0,D. Schroder,TOR,Schroder 26' 3PT Jump Shot (3 PTS) (Anunoby 1 AST),Made Shot,Jump Shot,-161,201,26,1,3.0,3.0,h
S2324-G0354,3,11:14,TOR,51.0,CHA,52.0,D. Schroder,TOR,Schroder 26' 3PT Jump Shot (6 PTS) (Siakam 4 AST),Made Shot,Jump Shot,181,191,26,1,3.0,3.0,h
S2324-G0354,3,06:35,TOR,61.0,CHA,64.0,D. Schroder,TOR,Schroder Driving Layup (8 PTS) (Anunoby 2 AST),Made Shot,Driving Layup Shot,1,4,0,1,2.0,2.0,h
S2324-G0354,3,04:08,TOR,69.0,CHA,70.0,D. Schroder,TOR,Schroder 25' 3PT Pullup Jump Shot (11 PTS),Made Shot,Pullup Jump shot,123,221,25,1,3.0,3.0,h
S2324-G0354,3,03:24,TOR,70.0,CHA,70.0,D. Schroder,TOR,Schroder Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,3,03:24,TOR,71.0,CHA,70.0,D. Schroder,TOR,Schroder Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,3,00:59.600000,TOR,,CHA,,D. Schroder,TOR,SUB: Boucher FOR Schroder,Substitution,,0,0,0,0,,,h
S2324-G0211,1,10:29,TOR,,DET,,D. Schroder,TOR,MISS Schroder Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0211,1,10:29,TOR,5.0,DET,3.0,D. Schroder,TOR,Schroder Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0211,1,08:26,TOR,12.0,DET,5.0,D. Schroder,TOR,Schroder 14' Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,-120,71,14,1,2.0,2.0,h
S2324-G0211,1,07:59,TOR,14.0,DET,5.0,D. Schroder,TOR,Schroder 7' Driving Finger Roll Layup (5 PTS) (Siakam 2 AST),Made Shot,Driving Finger Roll Layup Shot,23,61,7,1,2.0,2.0,h
S2324-G0211,1,06:26,TOR,,DET,,D. Schroder,TOR,MISS Schroder 4' Driving Layup,Missed Shot,Driving Layup Shot,36,5,4,1,2.0,0.0,h
S2324-G0211,1,06:19,TOR,,DET,,D. Schroder,TOR,MISS Schroder 24' 3PT Jump Shot,Missed Shot,Jump Shot,243,4,24,1,3.0,0.0,h
S2324-G0211,1,05:10,TOR,16.0,DET,12.0,D. Schroder,TOR,Schroder 2' Driving Finger Roll Layup (7 PTS) (Poeltl 1 AST),Made Shot,Driving Finger Roll Layup Shot,16,-5,2,1,2.0,2.0,h
S2324-G0211,1,04:31,TOR,18.0,DET,14.0,D. Schroder,TOR,Schroder 18' Pullup Jump Shot (9 PTS),Made Shot,Pullup Jump shot,142,115,18,1,2.0,2.0,h
S2324-G0211,1,04:02,TOR,20.0,DET,16.0,D. Schroder,TOR,Schroder 1' Cutting Layup Shot (11 PTS) (Poeltl 2 AST),Made Shot,Cutting Layup Shot,-5,3,1,1,2.0,2.0,h
S2324-G0211,1,03:12,TOR,,DET,,D. Schroder,TOR,MISS Schroder 24' 3PT Jump Shot,Missed Shot,Jump Shot,-107,218,24,1,3.0,0.0,h
S2324-G0211,1,03:00,TOR,,DET,,D. Schroder,TOR,SUB: Achiuwa FOR Schroder,Substitution,,0,0,0,0,,,h
S2324-G0211,2,01:53,TOR,67.0,DET,43.0,D. Schroder,TOR,Schroder 19' Pullup Jump Shot (13 PTS),Made Shot,Pullup Jump shot,147,113,19,1,2.0,2.0,h
S2324-G0211,2,01:08,TOR,,DET,,D. Schroder,TOR,Schroder STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0211,2,00:54.400000,TOR,,DET,,D. Schroder,TOR,MISS Schroder 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,80,245,26,1,3.0,0.0,h
S2324-G0211,2,00:41,TOR,,DET,,D. Schroder,TOR,Schroder REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0211,2,00:02.900000,TOR,,DET,,D. Schroder,TOR,MISS Schroder 4' Driving Layup,Missed Shot,Driving Layup Shot,-29,22,4,1,2.0,0.0,h
