game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0354,1,09:49,TOR,,CHA,,O. Anunoby,TOR,MISS Anunoby 14' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-140,13,14,1,2.0,0.0,h
S2324-G0354,1,09:19,TOR,5.0,CHA,7.0,O. Anunoby,TOR,Anunoby 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-12,13,2,1,2.0,2.0,h
S2324-G0354,1,07:26,TOR,,CHA,,O. Anunoby,TOR,Anunoby REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,1,06:30,TOR,,CHA,,O. Anunoby,TOR,MISS Anunoby 27' 3PT Jump Shot,Missed Shot,Jump Shot,94,253,27,1,3.0,0.0,h
S2324-G0354,1,02:53,TOR,,CHA,,O. Anunoby,TOR,SUB: Barnes FOR Anunoby,Substitution,,0,0,0,0,,,h
S2324-G0354,2,07:06,TOR,,CHA,,O. Anunoby,TOR,MISS Anunoby 3PT Jump Shot,Missed Shot,Jump Shot,234,6,0,1,3.0,0.0,h
S2324-G0354,2,06:12,TOR,,CHA,,O. Anunoby,TOR,Anunoby P.FOUL (P1.T3) (J.Butler),Foul,Personal,0,0,0,0,,,h
S2324-G0354,2,05:00,TOR,,CHA,,O. Anunoby,TOR,MISS Anunoby 4' Driving Layup,Missed Shot,Driving Layup Shot,-33,15,4,1,2.0,0.0,h
S2324-G0354,2,04:39,TOR,34.0,CHA,43.0,O. Anunoby,TOR,Anunoby 1' Reverse Layup (4 PTS) (Siakam 3 AST),Made Shot,Reverse Layup Shot,-10,9,1,1,2.0,2.0,h
S2324-G0354,2,04:39,TOR,35.0,CHA,43.0,O. Anunoby,TOR,Anunoby Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
