game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1142,1,09:13,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh S.FOUL (P1.T1) (M.Kallio),Foul,Shooting,0,0,0,0,,,v
S2324-G1142,1,06:19,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2324-G1142,1,04:56,GSW,,UTA,,B. Sensabaugh,UTA,MISS Sensabaugh 8' Driving Layup,Missed Shot,Driving Layup Shot,-58,48,8,1,2.0,0.0,v
S2324-G1142,1,04:49,GSW,,UTA,,B. Sensabaugh,UTA,SUB: Potter FOR Sensabaugh,Substitution,,0,0,0,0,,,v
S2324-G1142,2,05:39,GSW,57.0,UTA,39.0,B. Sensabaugh,UTA,Sensabaugh 18' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,1,183,18,1,2.0,2.0,v
S2324-G1142,2,03:41,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1142,2,03:32,GSW,62.0,UTA,45.0,B. Sensabaugh,UTA,Sensabaugh 27' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-7,265,27,1,3.0,3.0,v
S2324-G1142,2,01:42,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G1142,2,01:36,GSW,,UTA,,B. Sensabaugh,UTA,MISS Sensabaugh 28' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-26,274,28,1,3.0,0.0,v
S2324-G1142,2,01:21,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1142,3,09:37,GSW,,UTA,,B. Sensabaugh,UTA,MISS Sensabaugh 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,54,37,7,1,2.0,0.0,v
S2324-G1142,3,04:22,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh P.FOUL (P2.T1) (J.Goble),Foul,Personal,0,0,0,0,,,v
S2324-G1142,3,04:22,GSW,,UTA,,B. Sensabaugh,UTA,SUB: Juzang FOR Sensabaugh,Substitution,,0,0,0,0,,,v
S2324-G1142,4,04:40,GSW,109.0,UTA,97.0,B. Sensabaugh,UTA,Sensabaugh 13' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,55,115,13,1,2.0,2.0,v
S2324-G1142,4,02:24,GSW,,UTA,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G1142,4,00:25.400000,GSW,118.0,UTA,110.0,B. Sensabaugh,UTA,Sensabaugh 3' Running Layup (9 PTS),Made Shot,Running Layup Shot,-2,31,3,1,2.0,2.0,v
S2324-G1154,1,01:27,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 15' Floating Jump Shot,Missed Shot,Floating Jump shot,-100,107,15,1,2.0,0.0,h
S2324-G1154,2,11:49,UTA,19.0,DEN,34.0,B. Sensabaugh,UTA,Sensabaugh 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,37,121,13,1,2.0,2.0,h
S2324-G1154,2,11:04,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh S.FOUL (P1.T1) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2324-G1154,2,10:08,UTA,24.0,DEN,36.0,B. Sensabaugh,UTA,Sensabaugh 26' 3PT Jump Shot (5 PTS) (Horton-Tucker 1 AST),Made Shot,Jump Shot,112,239,26,1,3.0,3.0,h
S2324-G1154,2,09:35,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 10' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,89,34,10,1,2.0,0.0,h
S2324-G1154,2,09:09,UTA,25.0,DEN,40.0,B. Sensabaugh,UTA,Sensabaugh Free Throw 1 of 3 (6 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,h
S2324-G1154,2,09:09,UTA,26.0,DEN,40.0,B. Sensabaugh,UTA,Sensabaugh Free Throw 2 of 3 (7 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,h
S2324-G1154,2,09:09,UTA,27.0,DEN,40.0,B. Sensabaugh,UTA,Sensabaugh Free Throw 3 of 3 (8 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,h
S2324-G1154,2,08:46,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1154,2,08:43,UTA,28.0,DEN,40.0,B. Sensabaugh,UTA,Sensabaugh Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1154,2,08:43,UTA,29.0,DEN,40.0,B. Sensabaugh,UTA,Sensabaugh Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G1154,2,07:31,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1154,2,06:07,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 17' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-87,147,17,1,2.0,0.0,h
S2324-G1154,2,05:57,UTA,,DEN,,B. Sensabaugh,UTA,SUB: Samanic FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G1154,3,03:01,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-71,75,10,1,2.0,0.0,h
S2324-G1154,3,02:45,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G1154,3,00:53.500000,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 3PT Jump Shot,Missed Shot,Jump Shot,-229,20,0,1,3.0,0.0,h
S2324-G1154,4,11:16,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh S.FOUL (P2.T1) (N.Sago),Foul,Shooting,0,0,0,0,,,h
S2324-G1154,4,09:40,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G1154,4,09:19,UTA,,DEN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G1154,4,09:10,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-56,30,6,1,2.0,0.0,h
S2324-G1154,4,07:18,UTA,,DEN,,B. Sensabaugh,UTA,MISS Sensabaugh 3' Driving Layup,Missed Shot,Driving Layup Shot,-28,19,3,1,2.0,0.0,h
S2324-G1154,4,06:57,UTA,,DEN,,B. Sensabaugh,UTA,SUB: Yurtseven FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0987,1,02:19,UTA,31.0,MIN,19.0,B. Sensabaugh,UTA,Sensabaugh 25' 3PT Jump Shot (3 PTS) (Horton-Tucker 2 AST),Made Shot,Jump Shot,174,174,25,1,3.0,3.0,h
S2324-G0987,2,10:45,UTA,,MIN,,B. Sensabaugh,UTA,MISS Sensabaugh 4' Driving Layup,Missed Shot,Driving Layup Shot,40,19,4,1,2.0,0.0,h
S2324-G0987,2,08:54,UTA,,MIN,,B. Sensabaugh,UTA,MISS Sensabaugh 25' 3PT Jump Shot,Missed Shot,Jump Shot,229,111,25,1,3.0,0.0,h
S2324-G0987,2,06:54,UTA,,MIN,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0987,2,06:38,UTA,,MIN,,B. Sensabaugh,UTA,MISS Sensabaugh 25' 3PT Jump Shot,Missed Shot,Jump Shot,-72,236,25,1,3.0,0.0,h
S2324-G0987,2,05:49,UTA,,MIN,,B. Sensabaugh,UTA,MISS Sensabaugh 9' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-91,17,9,1,2.0,0.0,h
S2324-G0987,2,05:14,UTA,,MIN,,B. Sensabaugh,UTA,SUB: Hendricks FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0987,4,08:52,UTA,,MIN,,B. Sensabaugh,UTA,Sensabaugh S.FOUL (P1.T2) (D.Collins),Foul,Shooting,0,0,0,0,,,h
S2324-G0987,4,08:52,UTA,,MIN,,B. Sensabaugh,UTA,SUB: Hendricks FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0769,4,01:20,UTA,,GSW,,B. Sensabaugh,UTA,MISS Sensabaugh 9' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,66,64,9,1,2.0,0.0,h
S2324-G0769,4,00:54.600000,UTA,,GSW,,B. Sensabaugh,UTA,Sensabaugh Lost Ball Turnover (P1.T18),Turnover,Lost Ball,0,0,0,0,,,h
S2324-G0769,4,00:18.700000,UTA,,GSW,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0801,1,03:15,UTA,,CHA,,B. Sensabaugh,UTA,MISS Sensabaugh 3PT Jump Shot,Missed Shot,Jump Shot,-228,11,0,1,3.0,0.0,h
S2324-G0801,1,03:07,UTA,,CHA,,B. Sensabaugh,UTA,Sensabaugh P.FOUL (P1.PN) (M.Lindsay),Foul,Personal,0,0,0,0,,,h
S2324-G0801,1,00:31.300000,UTA,,CHA,,B. Sensabaugh,UTA,Sensabaugh Offensive Charge Foul (P2) (M.Lindsay),Foul,Offensive Charge,0,0,0,0,,,h
S2324-G0801,1,00:31.300000,UTA,,CHA,,B. Sensabaugh,UTA,Sensabaugh Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2324-G0801,2,11:19,UTA,,CHA,,B. Sensabaugh,UTA,Sensabaugh STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0801,2,11:17,UTA,30.0,CHA,34.0,B. Sensabaugh,UTA,Sensabaugh 4' Running Layup (2 PTS) (Clarkson 3 AST),Made Shot,Running Layup Shot,31,19,4,1,2.0,2.0,h
S2324-G0801,2,09:22,UTA,34.0,CHA,39.0,B. Sensabaugh,UTA,Sensabaugh 3' Running Layup (4 PTS) (Markkanen 3 AST),Made Shot,Running Layup Shot,31,1,3,1,2.0,2.0,h
S2324-G0801,2,08:47,UTA,,CHA,,B. Sensabaugh,UTA,SUB: Hendricks FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0801,3,00:00.300000,UTA,90.0,CHA,85.0,B. Sensabaugh,UTA,Sensabaugh 25' 3PT Jump Shot (7 PTS) (Markkanen 5 AST),Made Shot,Jump Shot,173,184,25,1,3.0,3.0,h
S2324-G0801,4,09:26,UTA,,CHA,,B. Sensabaugh,UTA,MISS Sensabaugh 7' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,72,13,7,1,2.0,0.0,h
S2324-G0801,4,08:29,UTA,,CHA,,B. Sensabaugh,UTA,MISS Sensabaugh 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,28,24,1,3.0,0.0,h
S2324-G0801,4,07:49,UTA,,CHA,,B. Sensabaugh,UTA,SUB: Sexton FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0882,1,03:23,UTA,,WAS,,B. Sensabaugh,UTA,Sensabaugh S.FOUL (P1.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2324-G0882,1,02:17,UTA,,WAS,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0882,1,01:52,UTA,,WAS,,B. Sensabaugh,UTA,Sensabaugh Out of Bounds - Bad Pass Turnover Turnover (P1.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2324-G0882,1,00:52.900000,UTA,33.0,WAS,38.0,B. Sensabaugh,UTA,Sensabaugh 4' Running Layup (2 PTS) (Dunn 2 AST),Made Shot,Running Layup Shot,-27,25,4,1,2.0,2.0,h
S2324-G0882,1,00:34.900000,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 25' 3PT Jump Shot,Missed Shot,Jump Shot,-237,92,25,1,3.0,0.0,h
S2324-G0882,2,08:21,UTA,,WAS,,B. Sensabaugh,UTA,SUB: Sexton FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0882,3,06:30,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 25' 3PT Jump Shot,Missed Shot,Jump Shot,-151,200,25,1,3.0,0.0,h
S2324-G0882,3,03:47,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 24' 3PT Jump Shot,Missed Shot,Jump Shot,-228,59,24,1,3.0,0.0,h
S2324-G0882,3,03:30,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-22,31,4,1,2.0,0.0,h
S2324-G0882,3,02:41,UTA,96.0,WAS,101.0,B. Sensabaugh,UTA,Sensabaugh 24' 3PT Running Jump Shot (5 PTS) (Dunn 3 AST),Made Shot,Running Jump Shot,-143,197,24,1,3.0,3.0,h
S2324-G0882,3,02:08,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 24' 3PT Jump Shot,Missed Shot,Jump Shot,-43,241,24,1,3.0,0.0,h
S2324-G0882,3,00:51.500000,UTA,100.0,WAS,101.0,B. Sensabaugh,UTA,Sensabaugh 15' Step Back Jump Shot (7 PTS),Made Shot,Step Back Jump shot,-145,3,15,1,2.0,2.0,h
S2324-G0882,4,10:29,UTA,,WAS,,B. Sensabaugh,UTA,MISS Sensabaugh 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,91,3,9,1,2.0,0.0,h
S2324-G0882,4,09:47,UTA,,WAS,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0882,4,09:04,UTA,,WAS,,B. Sensabaugh,UTA,SUB: Sexton FOR Sensabaugh,Substitution,,0,0,0,0,,,h
S2324-G0898,1,10:19,UTA,,CHI,,B. Sensabaugh,UTA,Sensabaugh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
