game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0564,1,11:37,UTA,,IND,,S. Fontecchio,UTA,MISS Fontecchio 6' Driving Layup,Missed Shot,Driving Layup Shot,43,39,6,1,2.0,0.0,h
S2324-G0564,1,08:35,UTA,,IND,,S. Fontecchio,UTA,Fontecchio REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0564,1,05:09,UTA,26.0,IND,20.0,S. Fontecchio,UTA,Fontecchio 24' 3PT Jump Shot (3 PTS) (George 1 AST),Made Shot,Jump Shot,229,71,24,1,3.0,3.0,h
S2324-G0564,1,04:55,UTA,,IND,,S. Fontecchio,UTA,Fontecchio REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0564,1,04:30,UTA,,IND,,S. Fontecchio,UTA,Fontecchio P.FOUL (P1.T1) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2324-G0564,1,04:14,UTA,,IND,,S. Fontecchio,UTA,Fontecchio REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0564,1,04:13,UTA,,IND,,S. Fontecchio,UTA,Fontecchio Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2324-G0564,1,02:24,UTA,,IND,,S. Fontecchio,UTA,SUB: Agbaji FOR Fontecchio,Substitution,,0,0,0,0,,,h
S2324-G0564,2,04:47,UTA,,IND,,S. Fontecchio,UTA,Fontecchio S.FOUL (P2.T4) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2324-G0564,3,11:40,UTA,,IND,,S. Fontecchio,UTA,Fontecchio REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0564,3,10:47,UTA,69.0,IND,53.0,S. Fontecchio,UTA,Fontecchio 24' 3PT Jump Shot (6 PTS) (Dunn 3 AST),Made Shot,Jump Shot,-212,111,24,1,3.0,3.0,h
S2324-G0564,3,09:26,UTA,76.0,IND,53.0,S. Fontecchio,UTA,Fontecchio 3' Dunk (8 PTS) (Dunn 4 AST),Made Shot,Dunk Shot,-2,30,3,1,2.0,2.0,h
S2324-G0564,3,05:09,UTA,,IND,,S. Fontecchio,UTA,MISS Fontecchio 26' 3PT Jump Shot,Missed Shot,Jump Shot,62,253,26,1,3.0,0.0,h
S2324-G0564,3,02:24,UTA,,IND,,S. Fontecchio,UTA,SUB: Agbaji FOR Fontecchio,Substitution,,0,0,0,0,,,h
S2324-G0270,1,11:24,MIN,,UTA,,S. Fontecchio,UTA,MISS Fontecchio 25' 3PT Jump Shot,Missed Shot,Jump Shot,-232,104,25,1,3.0,0.0,v
S2324-G0270,1,11:24,MIN,,UTA,,S. Fontecchio,UTA,Fontecchio REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0270,1,11:20,MIN,,UTA,,S. Fontecchio,UTA,MISS Fontecchio 3PT Jump Shot,Missed Shot,Jump Shot,-232,16,0,1,3.0,0.0,v
S2324-G0270,1,09:38,MIN,2.0,UTA,2.0,S. Fontecchio,UTA,Fontecchio 5' Driving Finger Roll Layup (2 PTS) (Agbaji 1 AST),Made Shot,Driving Finger Roll Layup Shot,-1,48,5,1,2.0,2.0,v
