game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0270,1,01:54,MIN,,UTA,,T. Horton-Tucker,UTA,MISS Horton-Tucker 25' 3PT Jump Shot,Missed Shot,Jump Shot,-87,232,25,1,3.0,0.0,v
S2324-G0270,1,00:08.200000,MIN,,UTA,,T. Horton-Tucker,UTA,MISS Horton-Tucker 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,91,68,11,1,2.0,0.0,v
S2324-G0270,2,08:38,MIN,,UTA,,T. Horton-Tucker,UTA,Horton-Tucker P.FOUL (P1.T2) (E.Dalen),Foul,Personal,0,0,0,0,,,v
S2324-G0270,2,08:19,MIN,,UTA,,T. Horton-Tucker,UTA,Horton-Tucker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0270,2,07:47,MIN,,UTA,,T. Horton-Tucker,UTA,MISS Horton-Tucker 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-9,14,2,1,2.0,0.0,v
S2324-G0270,2,07:30,MIN,,UTA,,T. Horton-Tucker,UTA,SUB: George FOR Horton-Tucker,Substitution,,0,0,0,0,,,v
S2324-G0270,3,00:00,MIN,,UTA,,T. Horton-Tucker,UTA,MISS Horton-Tucker 48' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,162,447,48,1,3.0,0.0,v
S2324-G0270,4,10:48,MIN,88.0,UTA,70.0,T. Horton-Tucker,UTA,Horton-Tucker 2' Driving Dunk (2 PTS),Made Shot,Driving Dunk Shot,0,20,2,1,2.0,2.0,v
S2324-G0270,4,09:38,MIN,88.0,UTA,75.0,T. Horton-Tucker,UTA,Horton-Tucker 4' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,25,29,4,1,2.0,2.0,v
S2324-G0270,4,07:54,MIN,95.0,UTA,78.0,T. Horton-Tucker,UTA,Horton-Tucker 24' 3PT Jump Shot (7 PTS) (Agbaji 3 AST),Made Shot,Jump Shot,235,7,24,1,3.0,3.0,v
S2324-G0270,4,04:57,MIN,,UTA,,T. Horton-Tucker,UTA,SUB: Kessler FOR Horton-Tucker,Substitution,,0,0,0,0,,,v
S2324-G0289,1,03:35,UTA,,POR,,T. Horton-Tucker,UTA,Horton-Tucker STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0289,1,02:45,UTA,,POR,,T. Horton-Tucker,UTA,MISS Horton-Tucker 26' 3PT Jump Shot,Missed Shot,Jump Shot,-218,144,26,1,3.0,0.0,h
S2324-G0289,1,02:00,UTA,,POR,,T. Horton-Tucker,UTA,Jump Ball Horton-Tucker vs. Brogdon: Tip to Samanic,Jump Ball,,0,0,0,0,,,h
S2324-G0289,1,02:00,UTA,,POR,,T. Horton-Tucker,UTA,Horton-Tucker STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0289,1,00:21.400000,UTA,,POR,,T. Horton-Tucker,UTA,Horton-Tucker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0289,2,10:14,UTA,,POR,,T. Horton-Tucker,UTA,MISS Horton-Tucker 4' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-28,27,4,1,2.0,0.0,h
S2324-G0289,2,08:10,UTA,37.0,POR,34.0,T. Horton-Tucker,UTA,Horton-Tucker 3PT Jump Shot (3 PTS) (Sexton 1 AST),Made Shot,Jump Shot,-232,32,0,1,3.0,3.0,h
S2324-G0289,2,06:45,UTA,40.0,POR,34.0,T. Horton-Tucker,UTA,Horton-Tucker 27' 3PT Jump Shot (6 PTS) (Yurtseven 3 AST),Made Shot,Jump Shot,-163,209,27,1,3.0,3.0,h
