game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0620,1,04:06,WAS,15.0,MIN,21.0,M. Bagley III,WAS,Bagley III 5' Turnaround Hook Shot (2 PTS) (Jones 1 AST),Made Shot,Turnaround Hook Shot,-37,34,5,1,2.0,2.0,h
S2324-G0620,1,03:27,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,1,03:17,WAS,17.0,MIN,21.0,M. Bagley III,WAS,Bagley III 2' Cutting Dunk Shot (4 PTS) (Coulibaly 1 AST),Made Shot,Cutting Dunk Shot,-16,7,2,1,2.0,2.0,h
S2324-G0620,1,01:20,WAS,21.0,MIN,28.0,M. Bagley III,WAS,Bagley III 2' Cutting Dunk Shot (6 PTS) (Poole 2 AST),Made Shot,Cutting Dunk Shot,-23,4,2,1,2.0,2.0,h
S2324-G0620,1,00:54,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0620,1,00:54,WAS,22.0,MIN,30.0,M. Bagley III,WAS,Bagley III Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0620,1,00:35.800000,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,09:44,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,-54,34,6,1,2.0,0.0,h
S2324-G0620,2,09:26,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,07:07,WAS,,MIN,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0620,2,06:57,WAS,,MIN,,M. Bagley III,WAS,Bagley III S.FOUL (P1.T2) (L.Wood),Foul,Shooting,0,0,0,0,,,h
S2324-G0620,2,06:57,WAS,,MIN,,M. Bagley III,WAS,SUB: Jones FOR Bagley III,Substitution,,0,0,0,0,,,h
S2324-G0620,2,01:14,WAS,,MIN,,M. Bagley III,WAS,MISS Bagley III Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
