game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0150,1,06:48,LAC,,OKC,,A. Caruso,OKC,MISS Caruso 26' 3PT Jump Shot,Missed Shot,Jump Shot,-112,234,26,1,3.0,0.0,v
S2425-G0150,1,05:37,LAC,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P1.T3) (E.Malloy),Foul,Personal,0,0,0,0,,,v
S2425-G0150,1,03:33,LAC,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0150,1,03:20,LAC,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P2.T4) (A.Abazi),Foul,Personal,0,0,0,0,,,v
S2425-G0150,1,02:18,LAC,22.0,OKC,17.0,A. Caruso,OKC,Caruso 24' 3PT Jump Shot (3 PTS) (Williams 2 AST),Made Shot,Jump Shot,239,36,24,1,3.0,3.0,v
S2425-G0150,2,08:03,LAC,,OKC,,A. Caruso,OKC,MISS Caruso 3PT Jump Shot,Missed Shot,Jump Shot,227,31,0,1,3.0,0.0,v
S2425-G0150,2,07:41,LAC,,OKC,,A. Caruso,OKC,MISS Caruso 26' 3PT Jump Shot,Missed Shot,Jump Shot,-116,234,26,1,3.0,0.0,v
S2425-G0150,2,07:31,LAC,,OKC,,A. Caruso,OKC,Caruso STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0150,2,07:00,LAC,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0150,2,06:29,LAC,,OKC,,A. Caruso,OKC,Caruso S.FOUL (P3.PN) (A.Abazi),Foul,Shooting,0,0,0,0,,,v
S2425-G0150,2,06:09,LAC,45.0,OKC,35.0,A. Caruso,OKC,Caruso 2' Cutting Layup Shot (5 PTS) (Gilgeous-Alexander 2 AST),Made Shot,Cutting Layup Shot,21,4,2,1,2.0,2.0,v
S2425-G0150,2,05:48,LAC,,OKC,,A. Caruso,OKC,SUB: Dort FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0150,2,00:54.400000,LAC,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P4.PN) (E.Malloy),Foul,Personal,0,0,0,0,,,v
S2425-G0150,2,00:54.400000,LAC,,OKC,,A. Caruso,OKC,SUB: Joe FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0150,3,05:35,LAC,,OKC,,A. Caruso,OKC,MISS Caruso 28' 3PT Jump Shot,Missed Shot,Jump Shot,129,246,28,1,3.0,0.0,v
S2425-G0150,3,01:58,LAC,,OKC,,A. Caruso,OKC,SUB: Dort FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0150,4,03:45,LAC,,OKC,,A. Caruso,OKC,Caruso STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0150,4,03:24,LAC,,OKC,,A. Caruso,OKC,SUB: Jones FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0192,1,03:25,OKC,,HOU,,A. Caruso,OKC,Caruso STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0192,1,03:19,OKC,27.0,HOU,25.0,A. Caruso,OKC,Caruso 27' 3PT Jump Shot (3 PTS) (Wiggins 1 AST),Made Shot,Jump Shot,143,225,27,1,3.0,3.0,h
S2425-G0192,1,00:28.700000,OKC,,HOU,,A. Caruso,OKC,MISS Caruso 25' 3PT Jump Shot,Missed Shot,Jump Shot,-219,122,25,1,3.0,0.0,h
S2425-G0192,2,06:36,OKC,,HOU,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0192,2,06:28,OKC,53.0,HOU,38.0,A. Caruso,OKC,Caruso 28' 3PT Jump Shot (6 PTS) (Joe 1 AST),Made Shot,Jump Shot,-53,270,28,1,3.0,3.0,h
S2425-G0192,2,05:58,OKC,,HOU,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0192,2,04:51,OKC,,HOU,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0192,2,04:17,OKC,,HOU,,A. Caruso,OKC,SUB: Holmgren FOR Caruso,Substitution,,0,0,0,0,,,h
S2425-G0192,3,04:22,OKC,93.0,HOU,68.0,A. Caruso,OKC,Caruso 3' Layup (8 PTS) (Gilgeous-Alexander 4 AST),Made Shot,Layup Shot,-17,20,3,1,2.0,2.0,h
S2425-G0192,3,03:52,OKC,,HOU,,A. Caruso,OKC,Caruso S.FOUL (P1.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0192,3,03:15,OKC,,HOU,,A. Caruso,OKC,MISS Caruso 6' Driving Layup,Missed Shot,Driving Layup Shot,44,45,6,1,2.0,0.0,h
S2425-G0192,3,02:20,OKC,,HOU,,A. Caruso,OKC,Caruso P.FOUL (P2.PN) (E.Scott),Foul,Personal,0,0,0,0,,,h
S2425-G0192,3,01:39,OKC,,HOU,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0192,3,00:48.800000,OKC,97.0,HOU,76.0,A. Caruso,OKC,Caruso Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0192,3,00:48.800000,OKC,98.0,HOU,76.0,A. Caruso,OKC,Caruso Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,1,01:25,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,00:48.800000,DEN,,OKC,,A. Caruso,OKC,Caruso S.FOUL (P1.PN) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,2,10:58,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,10:18,DEN,,OKC,,A. Caruso,OKC,MISS Caruso 25' 3PT Jump Shot,Missed Shot,Jump Shot,174,185,25,1,3.0,0.0,v
S2425-G0075,2,09:57,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,09:56,DEN,,OKC,,A. Caruso,OKC,MISS Caruso 1' Putback Layup,Missed Shot,Putback Layup Shot,-1,6,1,1,2.0,0.0,v
S2425-G0075,2,09:41,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,06:46,DEN,,OKC,,A. Caruso,OKC,SUB: Dort FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0075,3,01:55,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,01:40,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,10:41,DEN,,OKC,,A. Caruso,OKC,Caruso Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0075,4,09:16,DEN,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P2.T1) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0075,4,07:52,DEN,,OKC,,A. Caruso,OKC,SUB: Wallace FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0091,1,03:07,CHI,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P1.T3) (A.Nagy),Foul,Personal,0,0,0,0,,,v
S2425-G0091,1,01:35,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 26' 3PT Jump Shot,Missed Shot,Jump Shot,-131,227,26,1,3.0,0.0,v
S2425-G0091,1,00:19.100000,CHI,,OKC,,A. Caruso,OKC,SUB: Mitchell FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0091,2,11:39,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 1' Running Layup,Missed Shot,Running Layup Shot,9,11,1,1,2.0,0.0,v
S2425-G0091,2,10:10,CHI,,OKC,,A. Caruso,OKC,Caruso L.B.FOUL (P2.T2) (I.Hwang),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0091,2,07:56,CHI,31.0,OKC,35.0,A. Caruso,OKC,Caruso 26' 3PT Jump Shot (3 PTS) (Williams 5 AST),Made Shot,Jump Shot,-137,225,26,1,3.0,3.0,v
