game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0024,4,06:34,DAL,,NOP,,A. Reeves,NOP,Reeves Lost Ball Turnover (P1.T15),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0024,4,04:11,DAL,119.0,NOP,85.0,A. Reeves,NOP,Reeves 26' 3PT Pullup Jump Shot (3 PTS) (Nowell 3 AST),Made Shot,Pullup Jump shot,74,245,26,1,3.0,3.0,v
S2425-G0024,4,03:43,DAL,,NOP,,A. Reeves,NOP,Reeves Bad Pass Turnover (P2.T17),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0024,4,03:27,DAL,,NOP,,A. Reeves,NOP,MISS Reeves 22' Step Back Jump Shot,Missed Shot,Step Back Jump shot,140,166,22,1,2.0,0.0,v
S2425-G0024,4,03:11,DAL,,NOP,,A. Reeves,NOP,Reeves S.FOUL (P1.PN) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2425-G0024,4,02:51,DAL,,NOP,,A. Reeves,NOP,MISS Reeves 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,31,29,4,1,2.0,0.0,v
S2425-G0024,4,02:21,DAL,126.0,NOP,87.0,A. Reeves,NOP,Reeves 3' Running Layup (5 PTS),Made Shot,Running Layup Shot,28,10,3,1,2.0,2.0,v
S2425-G0024,4,02:21,DAL,126.0,NOP,88.0,A. Reeves,NOP,Reeves Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0024,4,01:55,DAL,127.0,NOP,91.0,A. Reeves,NOP,Reeves 3PT Jump Shot (9 PTS) (Nowell 4 AST),Made Shot,Jump Shot,-223,10,0,1,3.0,3.0,v
S2425-G0032,1,02:11,NOP,,GSW,,A. Reeves,NOP,MISS Reeves 16' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,55,153,16,1,2.0,0.0,h
S2425-G0032,1,01:14,NOP,,GSW,,A. Reeves,NOP,MISS Reeves 26' 3PT Jump Shot,Missed Shot,Jump Shot,237,100,26,1,3.0,0.0,h
S2425-G0032,1,01:03,NOP,,GSW,,A. Reeves,NOP,SUB: Payton FOR Reeves,Substitution,,0,0,0,0,,,h
S2425-G0032,3,05:13,NOP,,GSW,,A. Reeves,NOP,Reeves REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,3,04:15,NOP,,GSW,,A. Reeves,NOP,MISS Reeves 3PT Running Jump Shot,Missed Shot,Running Jump Shot,232,6,0,1,3.0,0.0,h
S2425-G0032,3,03:44,NOP,,GSW,,A. Reeves,NOP,MISS Reeves 2' Driving Layup,Missed Shot,Driving Layup Shot,-5,16,2,1,2.0,0.0,h
S2425-G0032,3,03:44,NOP,,GSW,,A. Reeves,NOP,Reeves REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,3,03:44,NOP,75.0,GSW,77.0,A. Reeves,NOP,Reeves Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0032,3,03:44,NOP,,GSW,,A. Reeves,NOP,MISS Reeves Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0032,3,02:45,NOP,,GSW,,A. Reeves,NOP,Reeves S.FOUL (P1.PN) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2425-G0032,3,02:45,NOP,,GSW,,A. Reeves,NOP,SUB: Hawkins FOR Reeves,Substitution,,0,0,0,0,,,h
S2425-G0032,4,07:08,NOP,,GSW,,A. Reeves,NOP,MISS Reeves 3PT Jump Shot,Missed Shot,Jump Shot,225,6,0,1,3.0,0.0,h
S2425-G0032,4,06:57,NOP,,GSW,,A. Reeves,NOP,SUB: Robinson-Earl FOR Reeves,Substitution,,0,0,0,0,,,h
S2425-G0069,4,00:49.600000,NOP,,CHI,,A. Reeves,NOP,MISS Reeves 4' Driving Layup,Missed Shot,Driving Layup Shot,28,26,4,1,2.0,0.0,h
S2425-G0069,4,00:37.200000,NOP,,CHI,,A. Reeves,NOP,MISS Reeves 26' 3PT Jump Shot,Missed Shot,Jump Shot,218,148,26,1,3.0,0.0,h
S2425-G0069,4,00:14.200000,NOP,,CHI,,A. Reeves,NOP,MISS Reeves 3PT Jump Shot,Missed Shot,Jump Shot,-227,25,0,1,3.0,0.0,h
S2425-G0069,4,00:03.100000,NOP,,CHI,,A. Reeves,NOP,Reeves Lost Ball Turnover (P1.T12),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0099,4,02:49,POR,,,,A. Reeves,NOP,Reeves REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0099,4,01:01,POR,,,,A. Reeves,NOP,MISS Reeves 25' 3PT Jump Shot,Missed Shot,Jump Shot,-179,178,25,1,3.0,0.0,v
S2425-G0099,4,00:44.800000,POR,,,,A. Reeves,NOP,MISS Reeves 5' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,13,52,5,1,2.0,0.0,v
S2425-G0099,4,00:24.100000,POR,,,,A. Reeves,NOP,MISS Reeves 3PT Jump Shot,Missed Shot,Jump Shot,225,11,0,1,3.0,0.0,v
S2425-G0152,4,02:43,NOP,,ATL,,A. Reeves,NOP,MISS Reeves 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,89,248,26,1,3.0,0.0,h
