game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0019,1,11:48,GSW,,MEM,,A. Wiggins,GSW,Wiggins P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0019,1,09:44,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-39,177,18,1,2.0,0.0,h
S2425-G0019,1,08:59,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 25' 3PT Jump Shot,Missed Shot,Jump Shot,-71,243,25,1,3.0,0.0,h
S2425-G0019,1,08:09,GSW,8.0,MEM,10.0,A. Wiggins,GSW,Wiggins 26' 3PT Jump Shot (3 PTS) (Jackson-Davis 1 AST),Made Shot,Jump Shot,123,224,26,1,3.0,3.0,h
S2425-G0019,1,07:49,GSW,10.0,MEM,10.0,A. Wiggins,GSW,Wiggins 6' Running Layup (5 PTS) (Curry 1 AST),Made Shot,Running Layup Shot,10,58,6,1,2.0,2.0,h
S2425-G0019,1,06:57,GSW,14.0,MEM,10.0,A. Wiggins,GSW,Wiggins 2' Cutting Dunk Shot (7 PTS) (Green 3 AST),Made Shot,Cutting Dunk Shot,-10,13,2,1,2.0,2.0,h
S2425-G0019,1,06:25,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-202,143,25,1,3.0,0.0,h
S2425-G0019,1,06:09,GSW,16.0,MEM,12.0,A. Wiggins,GSW,Wiggins 2' Dunk (9 PTS) (Waters III 1 AST),Made Shot,Dunk Shot,-15,6,2,1,2.0,2.0,h
S2425-G0019,1,04:20,GSW,,MEM,,A. Wiggins,GSW,Wiggins STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0019,1,04:16,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 4' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,-22,38,4,1,2.0,0.0,h
S2425-G0019,1,02:35,GSW,,MEM,,A. Wiggins,GSW,SUB: Kuminga FOR Wiggins,Substitution,,0,0,0,0,,,h
S2425-G0019,2,05:40,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,42,164,17,1,2.0,0.0,h
S2425-G0019,2,04:53,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-10,99,10,1,2.0,0.0,h
S2425-G0019,2,03:46,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 5' Driving Layup,Missed Shot,Driving Layup Shot,-7,46,5,1,2.0,0.0,h
S2425-G0019,2,01:46,GSW,,MEM,,A. Wiggins,GSW,Wiggins BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0019,2,01:21,GSW,,MEM,,A. Wiggins,GSW,Wiggins REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,2,00:59.200000,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 27' 3PT Jump Shot,Missed Shot,Jump Shot,156,221,27,1,3.0,0.0,h
S2425-G0019,2,00:52.200000,GSW,,MEM,,A. Wiggins,GSW,SUB: Podziemski FOR Wiggins,Substitution,,0,0,0,0,,,h
S2425-G0019,3,08:07,GSW,,MEM,,A. Wiggins,GSW,Wiggins S.FOUL (P2.T2) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2425-G0019,3,07:40,GSW,69.0,MEM,58.0,A. Wiggins,GSW,Wiggins Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0019,3,07:40,GSW,70.0,MEM,58.0,A. Wiggins,GSW,Wiggins Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0019,3,06:30,GSW,,MEM,,A. Wiggins,GSW,Wiggins REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,3,06:17,GSW,,MEM,,A. Wiggins,GSW,MISS Wiggins 9' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-93,15,9,1,2.0,0.0,h
S2425-G0019,3,06:13,GSW,72.0,MEM,61.0,A. Wiggins,GSW,Wiggins 3' Cutting Layup Shot (13 PTS) (Green 5 AST),Made Shot,Cutting Layup Shot,15,22,3,1,2.0,2.0,h
S2425-G0019,3,05:38,GSW,,MEM,,A. Wiggins,GSW,SUB: Payton II FOR Wiggins,Substitution,,0,0,0,0,,,h
S2425-G0150,1,11:37,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 14' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,116,82,14,1,2.0,0.0,v
S2425-G0150,1,06:30,LAC,,OKC,,A. Wiggins,OKC,Wiggins REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0150,1,04:52,LAC,,OKC,,A. Wiggins,OKC,Wiggins REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0150,1,04:42,LAC,,OKC,,A. Wiggins,OKC,SUB: Dieng FOR Wiggins,Substitution,,0,0,0,0,,,v
S2425-G0150,2,07:02,LAC,,OKC,,A. Wiggins,OKC,Wiggins S.FOUL (P1.PN) (A.Abazi),Foul,Shooting,0,0,0,0,,,v
S2425-G0150,2,06:34,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 3' Driving Layup,Missed Shot,Driving Layup Shot,-29,8,3,1,2.0,0.0,v
S2425-G0150,2,04:42,LAC,,OKC,,A. Wiggins,OKC,Wiggins STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0150,2,03:42,LAC,47.0,OKC,45.0,A. Wiggins,OKC,Wiggins 3' Driving Finger Roll Layup (2 PTS) (Dort 2 AST),Made Shot,Driving Finger Roll Layup Shot,2,30,3,1,2.0,2.0,v
S2425-G0150,2,01:30,LAC,,OKC,,A. Wiggins,OKC,SUB: Caruso FOR Wiggins,Substitution,,0,0,0,0,,,v
S2425-G0150,3,03:16,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 28' 3PT Jump Shot,Missed Shot,Jump Shot,96,267,28,1,3.0,0.0,v
S2425-G0150,3,01:29,LAC,,OKC,,A. Wiggins,OKC,Wiggins REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0150,3,01:25,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 5' Running Layup,Missed Shot,Running Layup Shot,-20,43,5,1,2.0,0.0,v
S2425-G0150,3,00:28.600000,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,90,10,1,2.0,0.0,v
S2425-G0150,3,00:18.200000,LAC,78.0,OKC,81.0,A. Wiggins,OKC,Wiggins 26' 3PT Jump Shot (5 PTS) (Gilgeous-Alexander 9 AST),Made Shot,Jump Shot,151,211,26,1,3.0,3.0,v
S2425-G0150,4,10:56,LAC,,OKC,,A. Wiggins,OKC,Wiggins STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0150,4,10:53,LAC,,OKC,,A. Wiggins,OKC,MISS Wiggins 27' 3PT Jump Shot,Missed Shot,Jump Shot,77,257,27,1,3.0,0.0,v
S2425-G0150,4,07:53,LAC,80.0,OKC,90.0,A. Wiggins,OKC,Wiggins 1' Layup (7 PTS) (Holmgren 3 AST),Made Shot,Layup Shot,-4,13,1,1,2.0,2.0,v
S2425-G0150,4,07:26,LAC,,OKC,,A. Wiggins,OKC,Wiggins STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0150,4,04:28,LAC,84.0,OKC,100.0,A. Wiggins,OKC,Wiggins 26' 3PT Jump Shot (10 PTS) (Williams 4 AST),Made Shot,Jump Shot,-218,134,26,1,3.0,3.0,v
