game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,2,11:06,GSW,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,-161,214,27,1,3.0,0.0,v
S2425-G0126,2,10:09,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0126,2,10:07,GSW,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0126,2,10:07,GSW,32.0,NOP,24.0,B. Boston Jr.,NOP,Boston Jr. Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0126,2,09:22,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,2,08:14,GSW,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 4' Running Layup,Missed Shot,Running Layup Shot,-33,25,4,1,2.0,0.0,v
S2425-G0126,2,06:53,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,2,06:00,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0126,2,05:55,GSW,,NOP,,B. Boston Jr.,NOP,SUB: Alvarado FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2425-G0126,4,10:52,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,4,09:12,GSW,,NOP,,B. Boston Jr.,NOP,Boston Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0126,4,09:12,GSW,,NOP,,B. Boston Jr.,NOP,SUB: Alvarado FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2425-G0126,4,01:11,GSW,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2,152,15,1,2.0,0.0,v
S2425-G0024,1,07:35,DAL,,NOP,,B. Boston Jr.,NOP,Boston Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0024,1,07:00,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,11,101,10,1,2.0,0.0,v
S2425-G0024,1,04:13,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-17,84,9,1,2.0,0.0,v
S2425-G0024,1,03:54,DAL,,NOP,,B. Boston Jr.,NOP,SUB: Cain FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2425-G0024,2,07:05,DAL,55.0,NOP,35.0,B. Boston Jr.,NOP,Boston Jr. 7' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,7,70,7,1,2.0,2.0,v
S2425-G0024,2,06:30,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,-219,126,25,1,3.0,0.0,v
S2425-G0024,2,03:33,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-99,33,10,1,2.0,0.0,v
S2425-G0024,2,02:46,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-16,248,25,1,3.0,0.0,v
S2425-G0024,2,00:09.900000,DAL,,NOP,,B. Boston Jr.,NOP,Boston Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0024,3,11:20,DAL,,NOP,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0024,3,07:56,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 2' Driving Layup,Missed Shot,Driving Layup Shot,21,11,2,1,2.0,0.0,v
S2425-G0024,3,06:50,DAL,76.0,NOP,59.0,B. Boston Jr.,NOP,Boston Jr. 25' 3PT Pullup Jump Shot (5 PTS) (Ingram 4 AST),Made Shot,Pullup Jump shot,184,163,25,1,3.0,3.0,v
S2425-G0024,3,04:29,DAL,,NOP,,B. Boston Jr.,NOP,Boston Jr. STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0024,3,03:55,DAL,,NOP,,B. Boston Jr.,NOP,MISS Boston Jr. 3PT Jump Shot,Missed Shot,Jump Shot,-225,1,0,1,3.0,0.0,v
S2425-G0024,3,03:08,DAL,,NOP,,B. Boston Jr.,NOP,SUB: Nowell FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2425-G0024,4,11:08,DAL,,NOP,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0024,4,10:10,DAL,99.0,NOP,72.0,B. Boston Jr.,NOP,Boston Jr. 16' Step Back Jump Shot (7 PTS),Made Shot,Step Back Jump shot,7,157,16,1,2.0,2.0,v
S2425-G0024,4,08:41,DAL,105.0,NOP,75.0,B. Boston Jr.,NOP,Boston Jr. 25' 3PT Step Back Jump Shot (10 PTS),Made Shot,Step Back Jump shot,-12,247,25,1,3.0,3.0,v
S2425-G0024,4,07:04,DAL,,NOP,,B. Boston Jr.,NOP,SUB: Cain FOR Boston Jr.,Substitution,,0,0,0,0,,,v
S2425-G0032,1,05:13,NOP,,GSW,,B. Boston Jr.,NOP,MISS Boston Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-72,252,26,1,3.0,0.0,h
S2425-G0032,1,04:39,NOP,25.0,GSW,23.0,B. Boston Jr.,NOP,Boston Jr. 1' Driving Dunk (2 PTS) (Ingram 2 AST),Made Shot,Driving Dunk Shot,7,10,1,1,2.0,2.0,h
S2425-G0032,1,03:35,NOP,,GSW,,B. Boston Jr.,NOP,MISS Boston Jr. 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-230,46,0,1,3.0,0.0,h
S2425-G0032,1,03:07,NOP,,GSW,,B. Boston Jr.,NOP,Boston Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0032,1,03:07,NOP,,GSW,,B. Boston Jr.,NOP,Boston Jr. Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0032,2,10:36,NOP,,GSW,,B. Boston Jr.,NOP,Boston Jr. STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0032,2,09:39,NOP,,GSW,,B. Boston Jr.,NOP,Boston Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0032,2,05:55,NOP,48.0,GSW,46.0,B. Boston Jr.,NOP,Boston Jr. Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0032,2,05:55,NOP,49.0,GSW,46.0,B. Boston Jr.,NOP,Boston Jr. Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0032,2,04:58,NOP,,GSW,,B. Boston Jr.,NOP,Boston Jr. OFF.Foul (P1) (S.Jelks),Foul,Offensive,0,0,0,0,,,h
