game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0023,1,11:13,MEM,2.0,DEN,3.0,B. Clarke,MEM,Clarke 3' Layup (2 PTS) (Pippen Jr. 1 AST),Made Shot,Layup Shot,13,27,3,1,2.0,2.0,h
S2425-G0023,1,07:16,MEM,,DEN,,B. Clarke,MEM,SUB: Bane FOR Clarke,Substitution,,0,0,0,0,,,h
S2425-G0023,2,10:35,MEM,,DEN,,B. Clarke,MEM,Clarke S.FOUL (P1.T3) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2425-G0023,2,09:58,MEM,,DEN,,B. Clarke,MEM,Clarke REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0023,2,08:52,MEM,,DEN,,B. Clarke,MEM,Clarke Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0023,2,07:53,MEM,,DEN,,B. Clarke,MEM,Clarke REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0023,2,07:53,MEM,31.0,DEN,41.0,B. Clarke,MEM,Clarke Putback Layup (4 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0023,2,07:46,MEM,,DEN,,B. Clarke,MEM,Clarke STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0023,2,07:31,MEM,,DEN,,B. Clarke,MEM,Clarke REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0023,2,07:31,MEM,,DEN,,B. Clarke,MEM,MISS Clarke Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0023,2,06:53,MEM,,DEN,,B. Clarke,MEM,Clarke S.FOUL (P2.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
