game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0003,2,07:27,ORL,,CHA,,C. Anthony,ORL,Anthony Lost Ball Turnover (P1.T5),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0003,2,06:52,ORL,,CHA,,C. Anthony,ORL,SUB: Suggs FOR Anthony,Substitution,,0,0,0,0,,,h
S2425-G0003,4,07:13,ORL,100.0,CHA,70.0,C. Anthony,ORL,Anthony 18' Pullup Jump Shot (2 PTS) (Black 2 AST),Made Shot,Pullup Jump shot,-93,154,18,1,2.0,2.0,h
S2425-G0003,4,06:50,ORL,,CHA,,C. Anthony,ORL,Anthony P.FOUL (P1.T2) (T.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0003,4,06:04,ORL,,CHA,,C. Anthony,ORL,MISS Anthony 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-17,84,9,1,2.0,0.0,h
S2425-G0003,4,04:32,ORL,105.0,CHA,79.0,C. Anthony,ORL,Anthony Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0003,4,04:32,ORL,,CHA,,C. Anthony,ORL,MISS Anthony Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0003,4,04:21,ORL,,CHA,,C. Anthony,ORL,Anthony STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0003,4,03:53,ORL,108.0,CHA,82.0,C. Anthony,ORL,Anthony 30' 3PT Jump Shot (6 PTS) (Black 3 AST),Made Shot,Jump Shot,-110,278,30,1,3.0,3.0,h
S2425-G0003,4,02:38,ORL,,CHA,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,4,02:11,ORL,,CHA,,C. Anthony,ORL,MISS Anthony 29' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-132,254,29,1,3.0,0.0,h
S2425-G0003,4,01:21,ORL,,CHA,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,4,01:17,ORL,,CHA,,C. Anthony,ORL,MISS Anthony 3' Running Layup,Missed Shot,Running Layup Shot,25,15,3,1,2.0,0.0,h
S2425-G0003,4,01:15,ORL,,CHA,,C. Anthony,ORL,Anthony REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,4,00:02.400000,ORL,,CHA,,C. Anthony,ORL,Anthony P.FOUL (P2.PN) (C.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0204,2,11:09,ORL,27.0,WAS,25.0,C. Anthony,ORL,Anthony Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2425-G0204,2,09:36,ORL,30.0,WAS,31.0,C. Anthony,ORL,Anthony Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0204,2,09:36,ORL,31.0,WAS,31.0,C. Anthony,ORL,Anthony Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0204,2,09:20,ORL,,WAS,,C. Anthony,ORL,Anthony S.FOUL (P1.T2) (B.Barnaky),Foul,Shooting,0,0,0,0,,,h
S2425-G0204,2,09:07,ORL,,WAS,,C. Anthony,ORL,MISS Anthony 25' 3PT Jump Shot,Missed Shot,Jump Shot,189,169,25,1,3.0,0.0,h
S2425-G0204,2,08:41,ORL,,WAS,,C. Anthony,ORL,SUB: da Silva FOR Anthony,Substitution,,0,0,0,0,,,h
S2425-G0204,4,11:25,ORL,93.0,WAS,72.0,C. Anthony,ORL,Anthony 2' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,18,16,2,1,2.0,2.0,h
S2425-G0204,4,11:25,ORL,94.0,WAS,72.0,C. Anthony,ORL,Anthony Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0204,4,10:58,ORL,95.0,WAS,74.0,C. Anthony,ORL,Anthony Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0204,4,10:58,ORL,96.0,WAS,74.0,C. Anthony,ORL,Anthony Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0204,4,09:22,ORL,,WAS,,C. Anthony,ORL,Anthony S.FOUL (P2.T3) (M.Kallio),Foul,Shooting,0,0,0,0,,,h
S2425-G0204,4,08:41,ORL,,WAS,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
