game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0130,1,04:08,UTA,,SAS,,D. Eubanks,UTA,Eubanks REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0130,1,02:47,UTA,,SAS,,D. Eubanks,UTA,Eubanks S.FOUL (P1.T2) (B.Adair),Foul,Shooting,0,0,0,0,,,h
S2425-G0130,1,02:27,UTA,,SAS,,D. Eubanks,UTA,Eubanks BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0130,1,01:19,UTA,,SAS,,D. Eubanks,UTA,Eubanks BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0130,1,00:42.200000,UTA,,SAS,,D. Eubanks,UTA,Eubanks REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0130,2,10:36,UTA,,SAS,,D. Eubanks,UTA,Eubanks REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0130,2,10:09,UTA,32.0,SAS,26.0,D. Eubanks,UTA,Eubanks 3' Cutting Dunk Shot (2 PTS) (Collins 2 AST),Made Shot,Cutting Dunk Shot,27,3,3,1,2.0,2.0,h
S2425-G0130,2,09:16,UTA,,SAS,,D. Eubanks,UTA,Eubanks OFF.Foul (P2) (C.Blair),Foul,Offensive,0,0,0,0,,,h
S2425-G0130,2,09:16,UTA,,SAS,,D. Eubanks,UTA,Eubanks Offensive Foul Turnover (P1.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0130,2,09:02,UTA,,SAS,,D. Eubanks,UTA,Eubanks P.FOUL (P3.T1) (C.Blair),Foul,Personal,0,0,0,0,,,h
S2425-G0130,2,08:44,UTA,33.0,SAS,32.0,D. Eubanks,UTA,Eubanks Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0130,2,08:44,UTA,34.0,SAS,32.0,D. Eubanks,UTA,Eubanks Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0130,2,07:44,UTA,,SAS,,D. Eubanks,UTA,SUB: George FOR Eubanks,Substitution,,0,0,0,0,,,h
S2425-G0130,3,05:24,UTA,,SAS,,D. Eubanks,UTA,MISS Eubanks 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-4,89,9,1,2.0,0.0,h
S2425-G0130,3,05:10,UTA,,SAS,,D. Eubanks,UTA,Eubanks S.FOUL (P4.T4) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2425-G0130,3,03:51,UTA,63.0,SAS,71.0,D. Eubanks,UTA,Eubanks 7' Driving Hook Shot (6 PTS) (Collins 3 AST),Made Shot,Driving Hook Shot,11,68,7,1,2.0,2.0,h
S2425-G0130,3,01:54,UTA,,SAS,,D. Eubanks,UTA,Eubanks REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0130,3,00:04.200000,UTA,,SAS,,D. Eubanks,UTA,Eubanks REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0130,3,00:01,UTA,,SAS,,D. Eubanks,UTA,Eubanks Lost Ball Turnover (P2.T22),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0130,4,06:40,UTA,,SAS,,D. Eubanks,UTA,Eubanks Lost Ball Turnover (P3.T25),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0130,4,06:37,UTA,,SAS,,D. Eubanks,UTA,SUB: Kessler FOR Eubanks,Substitution,,0,0,0,0,,,h
S2425-G0160,1,01:18,CHI,24.0,UTA,28.0,D. Eubanks,UTA,Eubanks 6' Turnaround Hook Shot (2 PTS),Made Shot,Turnaround Hook Shot,12,57,6,1,2.0,2.0,v
S2425-G0160,1,00:49.500000,CHI,,UTA,,D. Eubanks,UTA,MISS Eubanks 9' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,92,17,9,1,2.0,0.0,v
S2425-G0160,2,10:35,CHI,,UTA,,D. Eubanks,UTA,Eubanks REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
