game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0151,1,07:23,BKN,,DET,,D. Schröder,BKN,MISS Schröder 28' 3PT Jump Shot,Missed Shot,Jump Shot,-114,258,28,1,3.0,0.0,h
S2425-G0151,1,07:16,BKN,,DET,,D. Schröder,BKN,Schröder STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0151,1,06:49,BKN,,DET,,D. Schröder,BKN,Schröder S.FOUL (P1.T2) (J.Schroeder),Foul,Shooting,0,0,0,0,,,h
S2425-G0151,1,06:17,BKN,,DET,,D. Schröder,BKN,Schröder REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,1,05:20,BKN,,DET,,D. Schröder,BKN,Schröder REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,1,05:08,BKN,,DET,,D. Schröder,BKN,SUB: Wilson FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0151,1,02:26,BKN,,DET,,D. Schröder,BKN,Schröder REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,1,01:03,BKN,,DET,,D. Schröder,BKN,Schröder STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0151,1,00:00.800000,BKN,,DET,,D. Schröder,BKN,MISS Schröder 3' Driving Layup,Missed Shot,Driving Layup Shot,27,17,3,1,2.0,0.0,h
S2425-G0151,2,09:57,BKN,32.0,DET,34.0,D. Schröder,BKN,Schröder 26' 3PT Jump Shot (3 PTS) (Clowney 1 AST),Made Shot,Jump Shot,-130,228,26,1,3.0,3.0,h
S2425-G0151,2,08:15,BKN,,DET,,D. Schröder,BKN,SUB: Finney-Smith FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0151,2,02:22,BKN,,DET,,D. Schröder,BKN,Schröder P.FOUL (P2.PN) (K.Lane),Foul,Personal,0,0,0,0,,,h
S2425-G0151,2,01:18,BKN,,DET,,D. Schröder,BKN,Schröder STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0151,2,01:17,BKN,,DET,,D. Schröder,BKN,Schröder Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0151,2,00:35.700000,BKN,57.0,DET,52.0,D. Schröder,BKN,Schröder 7' Driving Floating Bank Jump Shot (5 PTS),Made Shot,Driving Floating Bank Jump Shot,54,37,7,1,2.0,2.0,h
S2425-G0151,2,00:04.300000,BKN,,DET,,D. Schröder,BKN,MISS Schröder 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-123,233,26,1,3.0,0.0,h
S2425-G0151,2,00:03.800000,BKN,,DET,,D. Schröder,BKN,SUB: K. Johnson FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0151,3,08:43,BKN,,DET,,D. Schröder,BKN,Schröder REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,3,07:26,BKN,69.0,DET,61.0,D. Schröder,BKN,Schröder 15' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,88,127,15,1,2.0,2.0,h
S2425-G0151,3,07:24,BKN,,DET,,D. Schröder,BKN,SUB: Wilson FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0151,3,03:52,BKN,,DET,,D. Schröder,BKN,MISS Schröder 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-5,53,5,1,2.0,0.0,h
S2425-G0151,3,00:01.100000,BKN,,DET,,D. Schröder,BKN,Schröder Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0151,4,10:55,BKN,,DET,,D. Schröder,BKN,Schröder REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,4,08:43,BKN,,DET,,D. Schröder,BKN,Schröder L.B.FOUL (P3.T2) (D.Taylor),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0151,4,08:43,BKN,,DET,,D. Schröder,BKN,SUB: Simmons FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0151,4,01:36,BKN,,DET,,D. Schröder,BKN,SUB: Milton FOR Schröder,Substitution,,0,0,0,0,,,h
S2425-G0014,1,06:44,NYK,15.0,BKN,19.0,D. Schröder,BKN,Schröder 25' 3PT Running Jump Shot (3 PTS) (Simmons 3 AST),Made Shot,Running Jump Shot,-216,124,25,1,3.0,3.0,v
