game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0170,1,09:49,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,1,09:32,IND,,ORL,,G. Bitadze,ORL,Bitadze S.FOUL (P1.T1) (C.Kirkland),Foul,Shooting,0,0,0,0,,,v
S2425-G0170,1,08:51,IND,,ORL,,G. Bitadze,ORL,MISS Bitadze 27' 3PT Jump Shot,Missed Shot,Jump Shot,103,248,27,1,3.0,0.0,v
S2425-G0170,1,08:02,IND,13.0,ORL,10.0,G. Bitadze,ORL,Bitadze 4' Cutting Layup Shot (2 PTS) (da Silva 1 AST),Made Shot,Cutting Layup Shot,-36,22,4,1,2.0,2.0,v
S2425-G0170,1,07:26,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,1,07:13,IND,15.0,ORL,12.0,G. Bitadze,ORL,Bitadze 4' Dunk (4 PTS) (F. Wagner 1 AST),Made Shot,Dunk Shot,-39,19,4,1,2.0,2.0,v
S2425-G0170,1,06:36,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,1,05:28,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,1,05:15,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,1,05:15,IND,,ORL,,G. Bitadze,ORL,MISS Bitadze Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0170,1,03:34,IND,,ORL,,G. Bitadze,ORL,SUB: M. Wagner FOR Bitadze,Substitution,,0,0,0,0,,,v
S2425-G0170,2,09:26,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,2,08:17,IND,,ORL,,G. Bitadze,ORL,Bitadze OFF.Foul (P2) (D.Taylor),Foul,Offensive,0,0,0,0,,,v
S2425-G0170,2,08:17,IND,,ORL,,G. Bitadze,ORL,Bitadze Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0170,2,06:53,IND,,ORL,,G. Bitadze,ORL,Bitadze Lost Ball Turnover (P2.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0170,2,06:46,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,2,06:26,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,2,06:06,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,2,05:26,IND,,ORL,,G. Bitadze,ORL,Bitadze BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0170,2,04:26,IND,,ORL,,G. Bitadze,ORL,Bitadze BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0170,2,04:26,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,2,04:09,IND,,ORL,,G. Bitadze,ORL,Bitadze STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0170,2,04:04,IND,51.0,ORL,49.0,G. Bitadze,ORL,Bitadze 1' Running Alley Oop Dunk Shot (6 PTS) (Suggs 4 AST),Made Shot,Running Alley Oop Dunk Shot,7,-4,1,1,2.0,2.0,v
S2425-G0170,2,00:56.800000,IND,,ORL,,G. Bitadze,ORL,MISS Bitadze 3' Layup,Missed Shot,Layup Shot,-10,32,3,1,2.0,0.0,v
S2425-G0170,3,11:13,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:4 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,3,11:13,IND,63.0,ORL,59.0,G. Bitadze,ORL,Bitadze Putback Layup (8 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0170,3,09:56,IND,,ORL,,G. Bitadze,ORL,MISS Bitadze 3PT Jump Shot,Missed Shot,Jump Shot,-229,8,0,1,3.0,0.0,v
S2425-G0170,3,09:24,IND,65.0,ORL,63.0,G. Bitadze,ORL,Bitadze 5' Hook Shot (10 PTS) (Suggs 5 AST),Made Shot,Hook Shot,38,39,5,1,2.0,2.0,v
S2425-G0170,3,09:10,IND,,ORL,,G. Bitadze,ORL,Bitadze S.FOUL (P3.T2) (C.Kirkland),Foul,Shooting,0,0,0,0,,,v
S2425-G0170,3,08:49,IND,,ORL,,G. Bitadze,ORL,MISS Bitadze 5' Hook Shot,Missed Shot,Hook Shot,-1,49,5,1,2.0,0.0,v
S2425-G0170,3,07:02,IND,,ORL,,G. Bitadze,ORL,Bitadze S.FOUL (P4.T4) (D.Taylor),Foul,Shooting,0,0,0,0,,,v
S2425-G0170,3,07:01,IND,,ORL,,G. Bitadze,ORL,Bitadze REBOUND (Off:4 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0170,3,06:17,IND,,ORL,,G. Bitadze,ORL,SUB: M. Wagner FOR Bitadze,Substitution,,0,0,0,0,,,v
S2425-G0170,4,04:03,IND,,ORL,,G. Bitadze,ORL,Bitadze BLOCK (3 BLK),,,0,0,0,0,,,v
S2425-G0170,4,03:50,IND,,ORL,,G. Bitadze,ORL,Bitadze P.FOUL (P5.T2) (D.Taylor),Foul,Personal,0,0,0,0,,,v
