game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,4,07:28,WAS,,BOS,,J. Davison,BOS,Davison Out of Bounds - Bad Pass Turnover Turnover (P1.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0073,4,04:07,WAS,,BOS,,J. Davison,BOS,Davison Lost Ball Turnover (P2.T12),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0073,4,03:20,WAS,,BOS,,J. Davison,BOS,Davison S.FOUL (P1.T3) (J.Reneau),Foul,Shooting,0,0,0,0,,,v
S2425-G0073,4,01:22,WAS,,BOS,,J. Davison,BOS,Davison Bad Pass Turnover (P3.T14),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0073,4,01:10,WAS,,BOS,,J. Davison,BOS,MISS Davison 31' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-98,293,31,1,3.0,0.0,v
S2425-G0073,4,00:21.600000,WAS,,BOS,,J. Davison,BOS,Davison REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0157,4,05:26,ATL,,BOS,,J. Davison,BOS,Davison Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0157,4,04:55,ATL,,BOS,,J. Davison,BOS,Davison STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0157,4,04:44,ATL,,BOS,,J. Davison,BOS,MISS Davison 26' 3PT Jump Shot,Missed Shot,Jump Shot,97,236,26,1,3.0,0.0,v
S2425-G0157,4,02:28,ATL,88.0,BOS,120.0,J. Davison,BOS,Davison 3' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,-18,23,3,1,2.0,2.0,v
S2425-G0157,4,02:05,ATL,88.0,BOS,121.0,J. Davison,BOS,Davison Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0157,4,02:05,ATL,,BOS,,J. Davison,BOS,MISS Davison Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0157,4,01:16,ATL,,BOS,,J. Davison,BOS,MISS Davison 2' Driving Layup,Missed Shot,Driving Layup Shot,6,20,2,1,2.0,0.0,v
