game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0192,4,04:57,OKC,,HOU,,J. McVeigh,HOU,McVeigh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0192,4,04:56,OKC,,HOU,,J. McVeigh,HOU,McVeigh Lost Ball Turnover (P1.T14),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0192,4,04:44,OKC,,HOU,,J. McVeigh,HOU,MISS McVeigh 3PT Jump Shot,Missed Shot,Jump Shot,-229,-13,0,1,3.0,0.0,v
S2425-G0192,4,02:43,OKC,125.0,HOU,102.0,J. McVeigh,HOU,McVeigh 27' 3PT Jump Shot (3 PTS) (Sheppard 3 AST),Made Shot,Jump Shot,-162,214,27,1,3.0,3.0,v
S2425-G0192,4,01:43,OKC,,HOU,,J. McVeigh,HOU,McVeigh REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0031,4,03:11,HOU,,POR,,J. McVeigh,HOU,MISS McVeigh 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,-16,24,1,3.0,0.0,h
S2425-G0031,4,02:36,HOU,,POR,,J. McVeigh,HOU,McVeigh REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0031,4,00:40.700000,HOU,,POR,,J. McVeigh,HOU,McVeigh REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0031,4,00:10.500000,HOU,115.0,POR,88.0,J. McVeigh,HOU,McVeigh 3PT Jump Shot (3 PTS) (Holiday 2 AST),Made Shot,Jump Shot,230,6,0,1,3.0,3.0,h
S2425-G0016,4,02:14,HOU,,LAC,,J. McVeigh,HOU,McVeigh S.FOUL (P1.PN) (M.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0173,4,01:36,HOU,,SAS,,J. McVeigh,HOU,MISS McVeigh 26' 3PT Jump Shot,Missed Shot,Jump Shot,213,157,26,1,3.0,0.0,h
S2425-G0173,4,01:32,HOU,,SAS,,J. McVeigh,HOU,MISS McVeigh 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,189,39,19,1,2.0,0.0,h
S2425-G0173,4,00:45.400000,HOU,,SAS,,J. McVeigh,HOU,MISS McVeigh 6' Running Alley Oop Layup Shot,Missed Shot,Running Alley Oop Layup Shot,26,49,6,1,2.0,0.0,h
