game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0018,1,11:38,OKC,0.0,PHX,2.0,J. Okogie,PHX,Okogie 1' Driving Dunk (2 PTS) (Booker 1 AST),Made Shot,Driving Dunk Shot,1,6,1,1,2.0,2.0,v
S2425-G0018,1,11:18,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,1,07:34,OKC,9.0,PHX,6.0,J. Okogie,PHX,Okogie Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0018,1,07:34,OKC,9.0,PHX,7.0,J. Okogie,PHX,Okogie Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0018,1,06:19,OKC,14.0,PHX,10.0,J. Okogie,PHX,Okogie 3PT Jump Shot (7 PTS) (O'Neale 1 AST),Made Shot,Jump Shot,-224,-17,0,1,3.0,3.0,v
S2425-G0018,1,06:01,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,1,04:21,OKC,,PHX,,J. Okogie,PHX,SUB: Morris FOR Okogie,Substitution,,0,0,0,0,,,v
S2425-G0018,2,11:02,OKC,,PHX,,J. Okogie,PHX,Okogie STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0018,2,11:00,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 2' Running Layup,Missed Shot,Running Layup Shot,21,9,2,1,2.0,0.0,v
S2425-G0018,2,10:53,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,2,10:49,OKC,29.0,PHX,16.0,J. Okogie,PHX,Okogie 1' Driving Finger Roll Layup (9 PTS),Made Shot,Driving Finger Roll Layup Shot,10,11,1,1,2.0,2.0,v
S2425-G0018,2,09:04,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 3' Driving Layup,Missed Shot,Driving Layup Shot,-5,31,3,1,2.0,0.0,v
S2425-G0018,2,08:59,OKC,33.0,PHX,18.0,J. Okogie,PHX,Okogie Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0018,2,08:59,OKC,,PHX,,J. Okogie,PHX,MISS Okogie Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0018,2,08:37,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,2,06:06,OKC,,PHX,,J. Okogie,PHX,Okogie Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0018,2,05:28,OKC,43.0,PHX,27.0,J. Okogie,PHX,Okogie 4' Driving Layup (12 PTS) (Jones 2 AST),Made Shot,Driving Layup Shot,22,35,4,1,2.0,2.0,v
S2425-G0018,2,05:28,OKC,,PHX,,J. Okogie,PHX,MISS Okogie Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0018,2,04:17,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-233,26,0,1,3.0,0.0,v
S2425-G0018,2,03:06,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,2,02:43,OKC,,PHX,,J. Okogie,PHX,SUB: Dunn FOR Okogie,Substitution,,0,0,0,0,,,v
S2425-G0018,3,10:50,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,5,27,3,1,2.0,0.0,v
S2425-G0018,3,10:04,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 2' Running Layup,Missed Shot,Running Layup Shot,0,16,2,1,2.0,0.0,v
S2425-G0018,3,10:02,OKC,,PHX,,J. Okogie,PHX,Okogie P.FOUL (P1.T2) (M.Ervin),Foul,Personal,0,0,0,0,,,v
S2425-G0018,3,09:37,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 26' 3PT Jump Shot,Missed Shot,Jump Shot,-154,206,26,1,3.0,0.0,v
S2425-G0018,3,08:41,OKC,,PHX,,J. Okogie,PHX,MISS Okogie 6' Driving Layup,Missed Shot,Driving Layup Shot,33,49,6,1,2.0,0.0,v
S2425-G0018,3,08:39,OKC,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0018,3,07:26,OKC,,PHX,,J. Okogie,PHX,Okogie S.FOUL (P2.T3) (M.Ervin),Foul,Shooting,0,0,0,0,,,v
S2425-G0018,3,06:49,OKC,,PHX,,J. Okogie,PHX,Okogie Offensive Charge Foul (P3) (M.Ervin),Foul,Offensive Charge,0,0,0,0,,,v
