game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0023,1,04:40,MEM,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0023,1,03:27,MEM,,DEN,,J. Strawther,DEN,Strawther S.FOUL (P1.T2) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2425-G0023,1,02:10,MEM,,DEN,,J. Strawther,DEN,Strawther REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0023,1,01:48,MEM,,DEN,,J. Strawther,DEN,MISS Strawther 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,32,92,10,1,2.0,0.0,v
S2425-G0023,1,01:42,MEM,,DEN,,J. Strawther,DEN,Strawther STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0023,1,00:25.100000,MEM,,DEN,,J. Strawther,DEN,SUB: Watson FOR Strawther,Substitution,,0,0,0,0,,,v
S2425-G0023,2,11:48,MEM,24.0,DEN,34.0,J. Strawther,DEN,Strawther 27' 3PT Jump Shot (3 PTS) (Braun 1 AST),Made Shot,Jump Shot,-165,217,27,1,3.0,3.0,v
S2425-G0023,2,11:16,MEM,,DEN,,J. Strawther,DEN,MISS Strawther Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0023,2,11:16,MEM,25.0,DEN,35.0,J. Strawther,DEN,Strawther Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0023,2,10:01,MEM,,DEN,,J. Strawther,DEN,MISS Strawther 3PT Jump Shot,Missed Shot,Jump Shot,-233,2,0,1,3.0,0.0,v
S2425-G0023,2,09:33,MEM,,DEN,,J. Strawther,DEN,Strawther BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0023,2,09:14,MEM,,DEN,,J. Strawther,DEN,MISS Strawther 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-159,214,27,1,3.0,0.0,v
