game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0150,4,01:07,LAC,,OKC,,K. Brown,LAC,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0179,4,03:11,LAC,108.0,PHI,87.0,K. Brown,LAC,Brown 1' Layup (2 PTS),Made Shot,Layup Shot,-10,-7,1,1,2.0,2.0,h
S2425-G0016,4,08:26,HOU,102.0,LAC,83.0,K. Brown,LAC,Brown 3' Driving Layup (2 PTS) (Miller 1 AST),Made Shot,Driving Layup Shot,22,22,3,1,2.0,2.0,v
S2425-G0016,4,07:03,HOU,,LAC,,K. Brown,LAC,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0016,4,06:53,HOU,,LAC,,K. Brown,LAC,MISS Brown 6' Driving Layup,Missed Shot,Driving Layup Shot,-61,20,6,1,2.0,0.0,v
S2425-G0016,4,06:30,HOU,,LAC,,K. Brown,LAC,MISS Brown 25' 3PT Jump Shot,Missed Shot,Jump Shot,-18,252,25,1,3.0,0.0,v
S2425-G0016,4,06:18,HOU,,LAC,,K. Brown,LAC,Brown REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0016,4,05:07,HOU,,LAC,,K. Brown,LAC,MISS Brown 26' 3PT Jump Shot,Missed Shot,Jump Shot,-7,260,26,1,3.0,0.0,v
S2425-G0016,4,05:05,HOU,,LAC,,K. Brown,LAC,Brown REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0016,4,05:03,HOU,110.0,LAC,90.0,K. Brown,LAC,Brown 6' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-7,55,6,1,2.0,2.0,v
S2425-G0016,4,04:15,HOU,,LAC,,K. Brown,LAC,MISS Brown 3' Running Layup,Missed Shot,Running Layup Shot,-7,31,3,1,2.0,0.0,v
S2425-G0016,4,02:41,HOU,,LAC,,K. Brown,LAC,Brown S.FOUL (P1.T3) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0016,4,01:17,HOU,,LAC,,K. Brown,LAC,Brown REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0016,4,01:13,HOU,,LAC,,K. Brown,LAC,MISS Brown 4' Driving Layup,Missed Shot,Driving Layup Shot,23,27,4,1,2.0,0.0,v
S2425-G0016,4,00:29.200000,HOU,,LAC,,K. Brown,LAC,Brown STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0016,4,00:26.900000,HOU,125.0,LAC,104.0,K. Brown,LAC,Brown Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0016,4,00:26.900000,HOU,,LAC,,K. Brown,LAC,MISS Brown Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
