game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,05:24,TOR,,PHI,,K. Martin,PHI,K. Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,03:38,TOR,,PHI,,K. Martin,PHI,K. Martin BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0078,1,01:52,TOR,,PHI,,K. Martin,PHI,K. Martin STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,1,01:42,TOR,25.0,PHI,27.0,K. Martin,PHI,K. Martin 1' Cutting Layup Shot (2 PTS) (Maxey 4 AST),Made Shot,Cutting Layup Shot,-5,9,1,1,2.0,2.0,v
S2425-G0078,1,00:32.600000,TOR,,PHI,,K. Martin,PHI,SUB: Maxey FOR K. Martin,Substitution,,0,0,0,0,,,v
S2425-G0078,2,06:38,TOR,,PHI,,K. Martin,PHI,K. Martin S.FOUL (P1.T4) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,2,04:54,TOR,,PHI,,K. Martin,PHI,K. Martin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,03:58,TOR,,PHI,,K. Martin,PHI,K. Martin S.FOUL (P2.PN) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,2,00:13.200000,TOR,,PHI,,K. Martin,PHI,SUB: Oubre Jr. FOR K. Martin,Substitution,,0,0,0,0,,,v
S2425-G0078,3,05:05,TOR,,PHI,,K. Martin,PHI,K. Martin S.FOUL (P3.PN) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,3,00:03.700000,TOR,,PHI,,K. Martin,PHI,K. Martin REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,4,09:37,TOR,,PHI,,K. Martin,PHI,SUB: Drummond FOR K. Martin,Substitution,,0,0,0,0,,,v
S2425-G0078,4,00:41.600000,TOR,,PHI,,K. Martin,PHI,K. Martin S.FOUL (P4.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0097,1,04:48,IND,,PHI,,K. Martin,PHI,K. Martin STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0097,1,02:06,IND,,PHI,,K. Martin,PHI,K. Martin S.FOUL (P1.T3) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2425-G0097,1,01:08,IND,,PHI,,K. Martin,PHI,K. Martin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,1,00:52.100000,IND,,PHI,,K. Martin,PHI,K. Martin REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,1,00:51.700000,IND,21.0,PHI,25.0,K. Martin,PHI,K. Martin 8' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,10,82,8,1,2.0,2.0,v
S2425-G0097,1,00:07,IND,,PHI,,K. Martin,PHI,MISS K. Martin Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0097,1,00:07,IND,21.0,PHI,28.0,K. Martin,PHI,K. Martin Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
