game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,1,12:00,NYK,,MIL,,K. Towns,NYK,Jump Ball Towns vs. Lopez: Tip to Antetokounmpo,Jump Ball,,0,0,0,0,,,h
S2425-G0189,1,10:49,NYK,3.0,MIL,0.0,K. Towns,NYK,Towns 26' 3PT Jump Shot (3 PTS) (Bridges 1 AST),Made Shot,Jump Shot,-151,217,26,1,3.0,3.0,h
S2425-G0189,1,10:17,NYK,6.0,MIL,2.0,K. Towns,NYK,Towns 26' 3PT Jump Shot (6 PTS) (Brunson 1 AST),Made Shot,Jump Shot,81,244,26,1,3.0,3.0,h
S2425-G0189,1,09:07,NYK,,MIL,,K. Towns,NYK,Towns REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,08:00,NYK,,MIL,,K. Towns,NYK,MISS Towns 2' Driving Layup,Missed Shot,Driving Layup Shot,-15,5,2,1,2.0,0.0,h
S2425-G0189,1,07:37,NYK,15.0,MIL,6.0,K. Towns,NYK,Towns 26' 3PT Jump Shot (9 PTS) (Hart 1 AST),Made Shot,Jump Shot,-21,262,26,1,3.0,3.0,h
S2425-G0189,1,07:14,NYK,,MIL,,K. Towns,NYK,Towns REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,07:07,NYK,17.0,MIL,6.0,K. Towns,NYK,Towns Driving Dunk (11 PTS) (Brunson 2 AST),Made Shot,Driving Dunk Shot,0,-4,0,1,2.0,2.0,h
S2425-G0189,1,06:18,NYK,,MIL,,K. Towns,NYK,Towns Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0189,1,05:43,NYK,,MIL,,K. Towns,NYK,MISS Towns 3' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,32,11,3,1,2.0,0.0,h
S2425-G0189,1,05:26,NYK,,MIL,,K. Towns,NYK,SUB: McBride FOR Towns,Substitution,,0,0,0,0,,,h
S2425-G0189,1,00:58.500000,NYK,31.0,MIL,21.0,K. Towns,NYK,Towns Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
