game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0193,4,03:24,MIN,,POR,,L. Garza,MIN,MISS Garza 26' 3PT Jump Shot,Missed Shot,Jump Shot,-38,253,26,1,3.0,0.0,h
S2425-G0193,4,01:41,MIN,123.0,POR,95.0,L. Garza,MIN,Garza 1' Running Dunk (2 PTS) (Dozier 1 AST),Made Shot,Running Dunk Shot,2,13,1,1,2.0,2.0,h
S2425-G0193,4,01:22,MIN,,POR,,L. Garza,MIN,MISS Garza 25' 3PT Jump Shot,Missed Shot,Jump Shot,-15,253,25,1,3.0,0.0,h
S2425-G0193,4,01:08,MIN,125.0,POR,97.0,L. Garza,MIN,Garza 1' Running Dunk (4 PTS) (Shannon Jr. 2 AST),Made Shot,Running Dunk Shot,-4,13,1,1,2.0,2.0,h
S2425-G0193,4,00:49.800000,MIN,,POR,,L. Garza,MIN,MISS Garza 24' 3PT Jump Shot,Missed Shot,Jump Shot,74,233,24,1,3.0,0.0,h
S2425-G0193,4,00:44.600000,MIN,127.0,POR,99.0,L. Garza,MIN,Garza 3' Cutting Layup Shot (6 PTS) (Dozier 2 AST),Made Shot,Cutting Layup Shot,13,27,3,1,2.0,2.0,h
S2425-G0193,4,00:44.600000,MIN,,POR,,L. Garza,MIN,MISS Garza Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2425-G0146,4,02:00,SAS,,MIN,,L. Garza,MIN,MISS Garza 25' 3PT Jump Shot,Missed Shot,Jump Shot,32,248,25,1,3.0,0.0,v
S2425-G0146,4,00:11,SAS,,MIN,,L. Garza,MIN,Garza REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0181,4,00:38.200000,CHI,,MIN,,L. Garza,MIN,MISS Garza 2' Driving Layup,Missed Shot,Driving Layup Shot,21,13,2,1,2.0,0.0,v
S2425-G0181,4,00:35.200000,CHI,,MIN,,L. Garza,MIN,Garza REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0181,4,00:35.200000,CHI,,MIN,,L. Garza,MIN,MISS Garza Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0162,4,06:16,MIN,,CHA,,L. Garza,MIN,MISS Garza 3' Layup,Missed Shot,Layup Shot,9,26,3,1,2.0,0.0,h
S2425-G0162,4,06:03,MIN,,CHA,,L. Garza,MIN,Garza REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0162,4,04:44,MIN,,CHA,,L. Garza,MIN,Garza REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0162,4,04:17,MIN,110.0,CHA,82.0,L. Garza,MIN,Garza 2' Cutting Layup Shot (2 PTS) (Dillingham 2 AST),Made Shot,Cutting Layup Shot,9,15,2,1,2.0,2.0,h
S2425-G0162,4,03:03,MIN,,CHA,,L. Garza,MIN,Garza 3 Second Violation Turnover (P1.T12),Turnover,3 Second Violation,0,0,0,0,,,h
S2425-G0162,4,02:32,MIN,,CHA,,L. Garza,MIN,Garza Bad Pass Turnover (P2.T13),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0162,4,01:28,MIN,,CHA,,L. Garza,MIN,Garza REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0162,4,01:05,MIN,,CHA,,L. Garza,MIN,Garza P.FOUL (P1.T4) (G.Petraitis),Foul,Personal,0,0,0,0,,,h
