game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,4,08:11,NYK,,MIL,,L. Robbins,MIL,MISS Robbins 25' 3PT Jump Shot,Missed Shot,Jump Shot,58,247,25,1,3.0,0.0,v
S2425-G0189,4,06:46,NYK,,MIL,,L. Robbins,MIL,Robbins REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0189,4,02:24,NYK,,MIL,,L. Robbins,MIL,Robbins REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0189,4,02:15,NYK,113.0,MIL,91.0,L. Robbins,MIL,Robbins 1' Cutting Dunk Shot (2 PTS) (Rollins 3 AST),Made Shot,Cutting Dunk Shot,-6,6,1,1,2.0,2.0,v
S2425-G0189,4,01:16,NYK,,MIL,,L. Robbins,MIL,Robbins P.FOUL (P1.T4) (J.Goble),Foul,Personal,0,0,0,0,,,v
S2425-G0189,4,00:29.700000,NYK,,MIL,,L. Robbins,MIL,Robbins REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0182,4,03:13,MIL,,UTA,,L. Robbins,MIL," Foul : Double Personal - Robbins (1 PF), Eubanks (1 PF) (K.Lane)",Foul,Double Personal,0,0,0,0,,,
S2425-G0182,4,02:32,MIL,,UTA,,L. Robbins,MIL,MISS Robbins Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0182,4,02:32,MIL,116.0,UTA,91.0,L. Robbins,MIL,Robbins Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0182,4,00:25.200000,MIL,,UTA,,L. Robbins,MIL,Robbins S.FOUL (P2.PN) (J.Sterling),Foul,Shooting,0,0,0,0,,,h
S2425-G0128,4,03:35,MEM,,MIL,,L. Robbins,MIL,MISS Robbins Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0128,4,03:35,MEM,,MIL,,L. Robbins,MIL,MISS Robbins Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0128,4,01:33,MEM,120.0,MIL,98.0,L. Robbins,MIL,Robbins 5' Floating Jump Shot (2 PTS) (Rollins 1 AST),Made Shot,Floating Jump shot,1,53,5,1,2.0,2.0,v
