game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0034,1,02:38,LAC,,SAC,,M. Bamba,LAC,Bamba L.B.FOUL (P1.T3) (P.Ransom),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0034,1,01:58,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,1,00:55.200000,LAC,,SAC,,M. Bamba,LAC,Bamba P.FOUL (P2.T4) (S.Corbin),Foul,Personal,0,0,0,0,,,h
S2425-G0034,1,00:17.900000,LAC,,SAC,,M. Bamba,LAC,MISS Bamba 3PT Jump Shot,Missed Shot,Jump Shot,230,17,0,1,3.0,0.0,h
S2425-G0034,1,00:01.500000,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,2,11:32,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,2,11:08,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,2,09:57,LAC,,SAC,,M. Bamba,LAC,MISS Bamba 26' 3PT Jump Shot,Missed Shot,Jump Shot,132,225,26,1,3.0,0.0,h
S2425-G0034,2,09:38,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,2,09:22,LAC,,SAC,,M. Bamba,LAC,Bamba OFF.Foul (P3) (K.Lane),Foul,Offensive,0,0,0,0,,,h
S2425-G0034,2,09:22,LAC,,SAC,,M. Bamba,LAC,Bamba Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0034,2,09:22,LAC,,SAC,,M. Bamba,LAC,SUB: Dunn FOR Bamba,Substitution,,0,0,0,0,,,h
S2425-G0034,3,04:31,LAC,68.0,SAC,55.0,M. Bamba,LAC,Bamba 3PT Jump Shot (3 PTS) (Harden 6 AST),Made Shot,Jump Shot,-222,-4,0,1,3.0,3.0,h
S2425-G0034,3,04:19,LAC,,SAC,,M. Bamba,LAC,Bamba BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0034,3,03:59,LAC,70.0,SAC,55.0,M. Bamba,LAC,Bamba 3' Layup (5 PTS) (Coffey 2 AST),Made Shot,Layup Shot,4,32,3,1,2.0,2.0,h
S2425-G0034,3,03:59,LAC,71.0,SAC,55.0,M. Bamba,LAC,Bamba Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0034,3,02:48,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,3,02:28,LAC,,SAC,,M. Bamba,LAC,Bamba S.FOUL (P4.PN) (P.Ransom),Foul,Shooting,0,0,0,0,,,h
S2425-G0034,3,01:54,LAC,,SAC,,M. Bamba,LAC,Bamba STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0034,3,01:23,LAC,,SAC,,M. Bamba,LAC,Bamba Offensive Charge Foul (P5) (P.Ransom),Foul,Offensive Charge,0,0,0,0,,,h
S2425-G0034,3,01:23,LAC,,SAC,,M. Bamba,LAC,Bamba Offensive Foul Turnover (P2.T8),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0034,3,00:40.400000,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,3,00:33.700000,LAC,,SAC,,M. Bamba,LAC,MISS Bamba 28' 3PT Jump Shot,Missed Shot,Jump Shot,-65,277,28,1,3.0,0.0,h
S2425-G0034,3,00:00.200000,LAC,,SAC,,M. Bamba,LAC,Bamba Double Dribble Turnover (P3.T9),Turnover,Double Dribble,0,0,0,0,,,h
S2425-G0034,4,09:54,LAC,,SAC,,M. Bamba,LAC,Bamba REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0034,4,07:17,LAC,,SAC,,M. Bamba,LAC,MISS Bamba 26' 3PT Jump Shot,Missed Shot,Jump Shot,-99,241,26,1,3.0,0.0,h
S2425-G0034,4,06:43,LAC,,SAC,,M. Bamba,LAC,SUB: Dunn FOR Bamba,Substitution,,0,0,0,0,,,h
