game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0148,2,09:41,DEN,42.0,UTA,36.0,S. Mykhailiuk,UTA,Mykhailiuk 26' 3PT Step Back Jump Shot (3 PTS) (Sexton 1 AST),Made Shot,Step Back Jump shot,-205,157,26,1,3.0,3.0,v
S2425-G0148,2,08:46,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0148,2,07:11,DEN,,UTA,,S. Mykhailiuk,UTA,MISS Mykhailiuk 31' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,67,304,31,1,3.0,0.0,v
S2425-G0148,2,04:58,DEN,,UTA,,S. Mykhailiuk,UTA,MISS Mykhailiuk 10' Floating Jump Shot,Missed Shot,Floating Jump shot,-31,94,10,1,2.0,0.0,v
S2425-G0148,2,04:10,DEN,,UTA,,S. Mykhailiuk,UTA,SUB: Collins FOR Mykhailiuk,Substitution,,0,0,0,0,,,v
S2425-G0148,4,10:49,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0148,4,10:43,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk P.FOUL (P1.T1) (M.Kallio),Foul,Personal,0,0,0,0,,,v
S2425-G0148,4,09:27,DEN,106.0,UTA,84.0,S. Mykhailiuk,UTA,Mykhailiuk 3PT Step Back Jump Shot (6 PTS) (George 6 AST),Made Shot,Step Back Jump shot,-234,-7,0,1,3.0,3.0,v
S2425-G0148,4,09:12,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk S.FOUL (P2.T3) (M.Lindsay),Foul,Shooting,0,0,0,0,,,v
S2425-G0148,4,08:08,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0148,4,06:39,DEN,,UTA,,S. Mykhailiuk,UTA,MISS Mykhailiuk 26' 3PT Jump Shot,Missed Shot,Jump Shot,-70,255,26,1,3.0,0.0,v
S2425-G0148,4,06:19,DEN,,UTA,,S. Mykhailiuk,UTA,Mykhailiuk Out of Bounds - Bad Pass Turnover Turnover (P2.T19),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0148,4,05:00,DEN,,UTA,,S. Mykhailiuk,UTA,MISS Mykhailiuk 27' 3PT Jump Shot,Missed Shot,Jump Shot,-156,225,27,1,3.0,0.0,v
S2425-G0148,4,04:08,DEN,,UTA,,S. Mykhailiuk,UTA,SUB: Williams FOR Mykhailiuk,Substitution,,0,0,0,0,,,v
