game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0023,3,00:23.200000,MEM,76.0,DEN,92.0,Z. Nnaji,DEN,Nnaji 1' Running Alley Oop Dunk Shot (2 PTS) (Westbrook 10 AST),Made Shot,Running Alley Oop Dunk Shot,4,13,1,1,2.0,2.0,v
S2425-G0023,4,10:16,MEM,,DEN,,Z. Nnaji,DEN,MISS Nnaji 26' 3PT Jump Shot,Missed Shot,Jump Shot,-191,176,26,1,3.0,0.0,v
S2425-G0023,4,09:18,MEM,,DEN,,Z. Nnaji,DEN,SUB: Šarić FOR Nnaji,Substitution,,0,0,0,0,,,v
S2425-G0166,2,08:05,DEN,,TOR,,Z. Nnaji,DEN,MISS Nnaji 26' 3PT Jump Shot,Missed Shot,Jump Shot,225,132,26,1,3.0,0.0,h
S2425-G0166,2,05:49,DEN,,TOR,,Z. Nnaji,DEN,Nnaji REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0166,2,03:09,DEN,,TOR,,Z. Nnaji,DEN,SUB: Westbrook FOR Nnaji,Substitution,,0,0,0,0,,,h
S2425-G0166,3,01:19,DEN,,TOR,,Z. Nnaji,DEN,Nnaji BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0166,3,00:42.800000,DEN,,TOR,,Z. Nnaji,DEN,MISS Nnaji 3' Running Dunk,Missed Shot,Running Dunk Shot,-20,22,3,1,2.0,0.0,h
S2425-G0166,4,11:20,DEN,90.0,TOR,93.0,Z. Nnaji,DEN,Nnaji 2' Cutting Dunk Shot (2 PTS) (Strawther 3 AST),Made Shot,Cutting Dunk Shot,-18,16,2,1,2.0,2.0,h
S2425-G0166,4,08:21,DEN,,TOR,,Z. Nnaji,DEN,SUB: Jokić FOR Nnaji,Substitution,,0,0,0,0,,,h
S2425-G0075,4,01:04,DEN,,OKC,,Z. Nnaji,DEN,MISS Nnaji 3PT Jump Shot,Missed Shot,Jump Shot,-229,17,0,1,3.0,0.0,h
S2425-G0177,2,11:29,DEN,,OKC,,Z. Nnaji,DEN,MISS Nnaji Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0177,2,11:29,DEN,31.0,OKC,32.0,Z. Nnaji,DEN,Nnaji Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0177,2,09:59,DEN,,OKC,,Z. Nnaji,DEN,Nnaji REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0177,2,09:59,DEN,33.0,OKC,36.0,Z. Nnaji,DEN,Nnaji Putback Layup (3 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0177,2,09:46,DEN,,OKC,,Z. Nnaji,DEN,Nnaji REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0177,2,07:05,DEN,,OKC,,Z. Nnaji,DEN,SUB: Braun FOR Nnaji,Substitution,,0,0,0,0,,,h
S2425-G0177,3,01:10,DEN,,OKC,,Z. Nnaji,DEN,MISS Nnaji 25' 3PT Jump Shot,Missed Shot,Jump Shot,-228,102,25,1,3.0,0.0,h
S2425-G0177,4,08:43,DEN,,OKC,,Z. Nnaji,DEN,SUB: Jokić FOR Nnaji,Substitution,,0,0,0,0,,,h
S2425-G0194,2,10:19,DEN,,MIA,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0194,2,08:52,DEN,,MIA,,Z. Nnaji,DEN,SUB: Murray FOR Nnaji,Substitution,,0,0,0,0,,,h
S2425-G0148,4,02:40,DEN,123.0,UTA,95.0,Z. Nnaji,DEN,Nnaji 3' Running Layup (2 PTS) (Tyson 3 AST),Made Shot,Running Layup Shot,13,32,3,1,2.0,2.0,h
S2425-G0148,4,01:44,DEN,,UTA,,Z. Nnaji,DEN,Nnaji S.FOUL (P1.PN) (M.Kallio),Foul,Shooting,0,0,0,0,,,h
S2425-G0148,4,01:33,DEN,125.0,UTA,99.0,Z. Nnaji,DEN,Nnaji 19' Jump Shot (4 PTS),Made Shot,Jump Shot,-77,169,19,1,2.0,2.0,h
S2425-G0148,4,01:18,DEN,,UTA,,Z. Nnaji,DEN,Nnaji BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0148,4,01:18,DEN,,UTA,,Z. Nnaji,DEN,Nnaji S.FOUL (P2.PN) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2425-G0148,4,00:43.400000,DEN,,UTA,,Z. Nnaji,DEN,Nnaji S.FOUL (P3.PN) (M.Lindsay),Foul,Shooting,0,0,0,0,,,h
S2425-G0148,4,00:18.200000,DEN,129.0,UTA,103.0,Z. Nnaji,DEN,Nnaji 2' Running Dunk (6 PTS) (Tyson 4 AST),Made Shot,Running Dunk Shot,-6,17,2,1,2.0,2.0,h
S2425-G0017,1,01:58,NOP,,DEN,,Z. Nnaji,DEN,Nnaji STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0017,1,01:23,NOP,,DEN,,Z. Nnaji,DEN,MISS Nnaji 3PT Jump Shot,Missed Shot,Jump Shot,-232,6,0,1,3.0,0.0,v
S2425-G0017,1,00:32.400000,NOP,,DEN,,Z. Nnaji,DEN,MISS Nnaji 6' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,43,38,6,1,2.0,0.0,v
