game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0003,1,12:00,ORL,0.0,CHA,0.0,,,Start of 1st Period (7:11 PM EST),period,start,0,0,0,0,,,
S2425-G0003,1,12:00,ORL,,CHA,,G. Bitadze,ORL,Jump Ball Bitadze vs. Gibson: Tip to Suggs,Jump Ball,,0,0,0,0,,,h
S2425-G0003,1,11:43,ORL,2.0,CHA,0.0,F. Wagner,ORL,F. Wagner 16' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,61,147,16,1,2.0,2.0,h
S2425-G0003,1,11:29,ORL,2.0,CHA,2.0,T. Gibson,CHA,Gibson 1' Cutting Dunk Shot (2 PTS) (Ball 1 AST),Made Shot,Cutting Dunk Shot,-1,6,1,1,2.0,2.0,v
S2425-G0003,1,11:11,ORL,,CHA,,T. Gibson,CHA,Gibson S.FOUL (P1.T1) (T.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0003,1,11:11,ORL,3.0,CHA,2.0,G. Bitadze,ORL,Bitadze Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0003,1,11:11,ORL,,CHA,,G. Bitadze,ORL,MISS Bitadze Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0003,1,11:07,ORL,,CHA,,T. Gibson,CHA,Gibson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,1,11:01,ORL,,CHA,,J. Suggs,ORL,Suggs P.FOUL (P1.T1) (E.Malloy),Foul,Personal,0,0,0,0,,,h
S2425-G0003,1,10:55,ORL,3.0,CHA,5.0,L. Ball,CHA,Ball 28' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,23,278,28,1,3.0,3.0,v
S2425-G0003,1,10:34,ORL,,CHA,,F. Wagner,ORL,MISS F. Wagner 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-6,61,6,1,2.0,0.0,h
S2425-G0003,1,10:33,ORL,,CHA,,,,Hornets Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,1,10:23,ORL,3.0,CHA,8.0,L. Ball,CHA,Ball 26' 3PT Jump Shot (6 PTS) (Williams 1 AST),Made Shot,Jump Shot,161,207,26,1,3.0,3.0,v
S2425-G0003,1,10:08,ORL,5.0,CHA,8.0,J. Suggs,ORL,Suggs 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-33,124,13,1,2.0,2.0,h
S2425-G0003,1,09:47,ORL,,CHA,,G. Williams,CHA,MISS Williams 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,13,130,13,1,2.0,0.0,v
S2425-G0003,1,09:47,ORL,,CHA,,J. Suggs,ORL,Suggs BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0003,1,09:44,ORL,,CHA,,F. Wagner,ORL,F. Wagner REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,1,09:32,ORL,8.0,CHA,8.0,J. Suggs,ORL,Suggs 3PT Jump Shot (5 PTS),Made Shot,Jump Shot,227,17,0,1,3.0,3.0,h
S2425-G0003,1,09:24,ORL,,CHA,,J. Green,CHA,MISS Green 5' Driving Layup,Missed Shot,Driving Layup Shot,12,50,5,1,2.0,0.0,v
S2425-G0003,1,09:24,ORL,,CHA,,G. Bitadze,ORL,Bitadze BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0003,1,09:20,ORL,,CHA,,J. Suggs,ORL,Suggs REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0003,1,09:12,ORL,11.0,CHA,8.0,J. Suggs,ORL,Suggs 30' 3PT Jump Shot (8 PTS) (da Silva 1 AST),Made Shot,Jump Shot,-76,289,30,1,3.0,3.0,h
S2425-G0003,1,09:11,ORL,,CHA,,,,Hornets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,0,0,,,v
S2425-G0003,1,08:50,ORL,11.0,CHA,10.0,T. Gibson,CHA,Gibson 15' Jump Shot (4 PTS) (Miller 1 AST),Made Shot,Jump Shot,-65,138,15,1,2.0,2.0,v
S2425-G0003,1,08:30,ORL,13.0,CHA,10.0,J. Suggs,ORL,Suggs 19' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,64,176,19,1,2.0,2.0,h
S2425-G0003,1,08:03,ORL,13.0,CHA,12.0,L. Ball,CHA,Ball 2' Driving Finger Roll Layup (8 PTS),Made Shot,Driving Finger Roll Layup Shot,6,18,2,1,2.0,2.0,v
S2425-G0003,1,07:41,ORL,,CHA,,K. Caldwell-Pope,ORL,MISS Caldwell-Pope 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,26,95,10,1,2.0,0.0,h
S2425-G0003,1,07:39,ORL,,CHA,,T. Gibson,CHA,Gibson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0003,1,07:36,ORL,,CHA,,J. Suggs,ORL,Suggs S.FOUL (P2.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0003,1,07:36,ORL,13.0,CHA,13.0,G. Williams,CHA,Williams Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
