game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0019,1,12:00,GSW,0.0,MEM,0.0,,,Start of 1st Period (10:15 PM EST),period,start,0,0,0,0,,,
S2425-G0019,1,12:00,GSW,,MEM,,T. Jackson-Davis,GSW,Jump Ball Jackson-Davis vs. Jackson Jr.: Tip to Pippen Jr.,Jump Ball,,0,0,0,0,,,h
S2425-G0019,1,11:48,GSW,,MEM,,A. Wiggins,GSW,Wiggins P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0019,1,11:39,GSW,,MEM,,J. Jackson Jr.,MEM,MISS Jackson Jr. 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-158,205,26,1,3.0,0.0,v
S2425-G0019,1,11:34,GSW,,MEM,,S. Curry,GSW,Curry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,1,11:24,GSW,,MEM,,D. Green,GSW,MISS Green 25' 3PT Jump Shot,Missed Shot,Jump Shot,110,227,25,1,3.0,0.0,h
S2425-G0019,1,11:20,GSW,,MEM,,J. Jackson Jr.,MEM,Jackson Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0019,1,11:15,GSW,,MEM,,L. Waters III,GSW,Waters III S.FOUL (P1.T2) (B.Forte),Foul,Shooting,0,0,0,0,,,h
S2425-G0019,1,11:15,GSW,0.0,MEM,1.0,J. Wells,MEM,Wells Free Throw 1 of 3 (1 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,v
S2425-G0019,1,11:15,GSW,0.0,MEM,2.0,J. Wells,MEM,Wells Free Throw 2 of 3 (2 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,v
S2425-G0019,1,11:15,GSW,,MEM,,J. Wells,MEM,MISS Wells Free Throw 3 of 3,Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,0.0,v
S2425-G0019,1,11:12,GSW,,MEM,,B. Clarke,MEM,Clarke REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0019,1,11:09,GSW,,MEM,,D. Green,GSW,WARRIORS T.Foul (Def. 3 Sec Green ) (B.Kennedy),Foul,Defense 3 Second,0,0,0,0,,,h
S2425-G0019,1,11:09,GSW,0.0,MEM,3.0,S. Pippen Jr.,MEM,Pippen Jr. Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2425-G0019,1,10:55,GSW,,MEM,,B. Clarke,MEM,MISS Clarke 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,6,99,10,1,2.0,0.0,v
S2425-G0019,1,10:52,GSW,,MEM,,T. Jackson-Davis,GSW,Jackson-Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0019,1,10:44,GSW,3.0,MEM,3.0,L. Waters III,GSW,Waters III 3PT Pullup Jump Shot (3 PTS) (Green 1 AST),Made Shot,Pullup Jump shot,229,46,0,1,3.0,3.0,h
S2425-G0019,1,10:33,GSW,,MEM,,S. Aldama,MEM,MISS Aldama 26' 3PT Jump Shot,Missed Shot,Jump Shot,-162,207,26,1,3.0,0.0,v
