game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0151,2,11:41,BKN,27.0,DET,29.0,K. Johnson,BKN,K. Johnson 1' Driving Reverse Layup (2 PTS) (Claxton 2 AST),Made Shot,Driving Reverse Layup Shot,-9,11,1,1,2.0,2.0,h
S2425-G0151,2,08:15,BKN,,DET,,K. Johnson,BKN,K. Johnson S.FOUL (P1.T2) (K.Lane),Foul,Shooting,0,0,0,0,,,h
S2425-G0151,2,07:52,BKN,,DET,,K. Johnson,BKN,MISS K. Johnson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,2,07:52,BKN,37.0,DET,37.0,K. Johnson,BKN,K. Johnson Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0151,2,07:43,BKN,,DET,,K. Johnson,BKN,K. Johnson P.FOUL (P2.T3) (D.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0151,2,07:43,BKN,,DET,,K. Johnson,BKN,SUB: C. Johnson FOR K. Johnson,Substitution,,0,0,0,0,,,h
S2425-G0151,4,11:07,BKN,,DET,,K. Johnson,BKN,K. Johnson BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0151,4,08:39,BKN,,DET,,K. Johnson,BKN,K. Johnson P.FOUL (P3.T3) (K.Lane),Foul,Personal,0,0,0,0,,,h
S2425-G0151,4,06:16,BKN,,DET,,K. Johnson,BKN,K. Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,4,05:01,BKN,,DET,,K. Johnson,BKN,SUB: Thomas FOR K. Johnson,Substitution,,0,0,0,0,,,h
S2425-G0151,4,00:58,BKN,,DET,,K. Johnson,BKN,K. Johnson STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0151,4,00:54.500000,BKN,91.0,DET,104.0,K. Johnson,BKN,K. Johnson Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
