game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0151,1,03:18,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,1,03:18,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,1,02:09,BKN,24.0,DET,25.0,N. Claxton,BKN,Claxton 8' Floating Jump Shot (2 PTS) (Schröder 2 AST),Made Shot,Floating Jump shot,-22,73,8,1,2.0,2.0,h
S2425-G0151,1,01:49,BKN,,DET,,N. Claxton,BKN,Claxton L.B.FOUL (P1.T4) (K.Lane),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0151,2,10:39,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,2,10:39,BKN,28.0,DET,31.0,N. Claxton,BKN,Claxton Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0151,2,10:01,BKN,29.0,DET,34.0,N. Claxton,BKN,Claxton Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0151,2,10:01,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,2,09:44,BKN,,DET,,N. Claxton,BKN,Claxton STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0151,2,09:04,BKN,,DET,,N. Claxton,BKN,Claxton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0151,2,08:57,BKN,36.0,DET,34.0,N. Claxton,BKN,Claxton Alley Oop Dunk (6 PTS) (Schröder 3 AST),Made Shot,Alley Oop Dunk Shot,2,2,0,1,2.0,2.0,h
S2425-G0151,2,08:24,BKN,,DET,,N. Claxton,BKN,MISS Claxton 10' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-20,100,10,1,2.0,0.0,h
S2425-G0151,2,08:15,BKN,,DET,,N. Claxton,BKN,SUB: Simmons FOR Claxton,Substitution,,0,0,0,0,,,h
S2425-G0151,2,02:05,BKN,,DET,,N. Claxton,BKN,Claxton Traveling Turnover (P1.T6),Turnover,Traveling,0,0,0,0,,,h
S2425-G0151,3,01:11,BKN,,DET,,N. Claxton,BKN,Claxton OFF.Foul (P2) (D.Taylor),Foul,Offensive,0,0,0,0,,,h
S2425-G0151,3,01:11,BKN,,DET,,N. Claxton,BKN,Claxton Offensive Foul Turnover (P2.T11),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0151,3,00:43.800000,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,3,00:43.800000,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,4,10:58,BKN,,DET,,N. Claxton,BKN,Claxton S.FOUL (P3.T1) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0151,4,10:46,BKN,78.0,DET,86.0,N. Claxton,BKN,Claxton Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0151,4,10:46,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,4,09:13,BKN,,DET,,N. Claxton,BKN,Claxton T.FOUL (P3.T1) (K.Lane),Foul,Technical,0,0,0,0,,,h
S2425-G0151,4,09:13,BKN,,DET,,N. Claxton,BKN,MISS Claxton Free Throw Flagrant 1 of 2,Free Throw,Free Throw Flagrant 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0151,4,09:13,BKN,83.0,DET,90.0,N. Claxton,BKN,Claxton Free Throw Flagrant 2 of 2 (8 PTS),Free Throw,Free Throw Flagrant 2 of 2,0,0,0,0,1.0,1.0,h
